good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Son muayenede hastayla sakince konuşan doktor herkesin ilgisini çekti.;Son muayenede hastanın sakince konuşan doktor herkesin ilgisini çekti.;hastayla;hastanın;konuşan;relative_clauses
Sabah otobüse binmeden annesine sıkıca sarılan çocuğu muavin tanıyormuş.;Sabah otobüse binmeden annesinin sıkıca sarılan çocuğu muavin tanıyormuş.;annesine;annesinin;sarılan;relative_clauses
Bir sınavda gözetmenin sessizce uyardığı öğrenciyi herkes gördü.;Bir sınavda gözetmeni sessizce uyardığı öğrenciyi herkes gördü.;gözetmenin;gözetmeni;uyardığı öğrenciyi;relative_clauses
İki koltukta uyumasın diye Ece’nin yatağına kadar taşıdığı kardeşine annesi çarşaf çıkardı.;İki koltukta uyumasın diye Ece’yi yatağına kadar taşıdığı kardeşine annesi çarşaf çıkardı.;Ece’nin;Ece’yi;taşıdığı kardeşine;relative_clauses
İlk yemekte onu yakından tanıyan kişiler söz aldı.;İlk yemekte onun yakından tanıyan kişiler söz aldı.;onu;onun;tanıyan;relative_clauses
Kanal geçtiğimiz ay ünlü yazarla nişanlanan muhabir kanala davetiye gönderdi.;Kanal geçtiğimiz ay ünlü yazarın nişanlanan muhabir kanala davetiye gönderdi.;ünlü yazarla;ünlü yazarın;nişanlanan;relative_clauses
Bu arka bahçede kedinin sürekli kovaladığı köpek aslında oyun oynuyor.;Bu arka bahçede kediyi sürekli kovaladığı köpek aslında oyun oynuyor.;kedinin;kediyi;kovaladığı köpek;relative_clauses
Bu sabah annesinin hastanede gördüğü küçük kızı bir türlü teselli edemediler.;Bu sabah annesini hastanede gördüğü küçük kızı bir türlü teselli edemediler.;annesinin;annesini;gördüğü küçük kızı;relative_clauses
Küçük koltukta uyumasın diye Ece’yi yatağına kadar taşıyan kardeşine annesi çarşaf çıkardı.;Küçük koltukta uyumasın diye Ece’nin yatağına kadar taşıyan kardeşine annesi çarşaf çıkardı.;Ece’yi;Ece’nin;taşıyan;relative_clauses
Bir sokağın başında berberi uzaktan gören terziyi müşterisi lafa tutuyordu.;Bir sokağın başında berberin uzaktan gören terziyi müşterisi lafa tutuyordu.;berberi;berberin;gören;relative_clauses
