good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon;subtype
Herkes bu olaya çok üzüldüler.;Herkes bu olayı çok üzüldüler.;olaya;olayı;üzüldüler;argument_structure;transitive
İl müdürümüz bize çok kızdı.;İl müdürümüz bizi çok kızdı.;bize;bizi;kızdı;argument_structure;transitive
Peki bu müjdeye çok sevindim.;Peki bu müjdeyi çok sevindim.;müjdeye;müjdeyi;sevindim;argument_structure;transitive
Yine bu türküye bayılıyorum.;Yine bu türküyü bayılıyorum.;türküye;türküyü;bayılıyorum;argument_structure;transitive
İşte bu habere çok sevindim.;İşte bu haberi çok sevindim.;habere;haberi;sevindim;argument_structure;transitive
Herkes ona büyük saygı duyuyorum.;Herkes onu büyük saygı duyuyorum.;ona;onu;duyuyorum;argument_structure;transitive
Ve kedim balkondan düştü.;Ve kedim balkonu düştü.;balkondan;balkonu;düştü;argument_structure;transitive
Hemen bu diziye bayılıyoruz.;Hemen bu diziyi bayılıyoruz.;diziye;diziyi;bayılıyoruz;argument_structure;transitive
İşte zorlu bir süreçten sonra elde ettiğin bu başarıya sevindim.;İşte zorlu bir süreçten sonra elde ettiğin bu başarıyı sevindim.;başarıya;başarıyı;sevindim;argument_structure;transitive
Yeni bir işe girdim.;Yeni bir işi girdim.;işe;işi;girdim;argument_structure;transitive
Şube müdürümüz bize çok kızdı.;Şube müdürümüz bizi çok kızdı.;bize;bizi;kızdı;argument_structure;transitive
Ve onun tepkisine çok şaşırdım.;Ve onun tepkisini çok şaşırdım.;tepkisine;tepkisini;şaşırdım;argument_structure;transitive
Fakat onun tepkisine çok şaşırdım.;Fakat onun tepkisini çok şaşırdım.;tepkisine;tepkisini;şaşırdım;argument_structure;transitive
Kaba müşteri genç garsonla resmen dalga geçti.;Kaba müşteri genç garsona resmen dalga geçti.;garsonla;garsona;dalga geçti;argument_structure;transitive
Onun doğruyu söylediğine inanıyorum.;Onun doğruyu söylediğini inanıyorum.;söylediğine;söylediğini;inanıyorum;argument_structure;transitive
Yalnız sana her zaman güveniyorum.;Yalnız seni her zaman güveniyorum.;sana;seni;güveniyorum;argument_structure;transitive
Yaşlı hemşire hanım yaşlı hastayla özel olarak ilgileniyor.;Yaşlı hemşire hanım yaşlı hastayı özel olarak ilgileniyor.;hastayla;hastayı;ilgileniyor;argument_structure;transitive
Annemin sözlerine kulak verdim.;Annemin sözlerini kulak verdim.;sözlerine;sözlerini;verdim;argument_structure;transitive
Yine tatile çıkma fikrine çok ısındım.;Yine tatile çıkma fikrini çok ısındım.;fikrine;fikrini;ısındım;argument_structure;transitive
5- i̇nternette her gördüğün habere körü körüne inanma.;5- i̇nternette her gördüğün haberi körü körüne inanma.;habere;haberi;inanma;argument_structure;transitive
Tatil için Bodrum'da karar kılmışlar.;Tatil için Bodrum'a karar kılmışlar.;Bodrum'da;Bodrum'a;karar kılmışlar;argument_structure;transitive
Gerçekten bu gözlüğü çok beğendim.;Gerçekten bu gözlüğe çok beğendim.;gözlüğü;gözlüğe;beğendim;argument_structure;transitive
Önce annemin sözlerine kulak verdim.;Önce annemin sözlerini kulak verdim.;sözlerine;sözlerini;verdim;argument_structure;transitive
Yine bu konuya çok kafa yordum.;Yine bu konuyu çok kafa yordum.;konuya;konuyu;yordum;argument_structure;transitive
Çünkü ben artık ona sadece gülüyorum.;Çünkü ben artık onu sadece gülüyorum.;ona;onu;gülüyorum;argument_structure;transitive
4- kumara fazla kapılmamalısın.;4- kumarı fazla kapılmamalısın.;kumara;kumarı;kapılmamalısın;argument_structure;transitive
İki arkadaşımın doğum gününü unuttum.;İki arkadaşımın doğum gününe unuttum.;doğum gününü;doğum gününe;unuttum;argument_structure;transitive
Bu soruna çok kafa yordum.;Bu sorunu çok kafa yordum.;soruna;sorunu;yordum;argument_structure;transitive
Yine bu heykellere hayran kaldım.;Yine bu heykelleri hayran kaldım.;heykellere;heykelleri;hayran kaldım;argument_structure;transitive
Şimdi ben artık ona sadece gülüyorum.;Şimdi ben artık onu sadece gülüyorum.;ona;onu;gülüyorum;argument_structure;transitive
İşte annemin sözlerine kulak verdim.;İşte annemin sözlerini kulak verdim.;sözlerine;sözlerini;verdim;argument_structure;transitive
Bu bu fikre sıcak baktı.;Bu bu fikri sıcak baktı.;fikre;fikri;baktı;argument_structure;transitive
Çok gözden kaçan hataya çok üzüldüm.;Çok gözden kaçan hatayı çok üzüldüm.;hataya;hatayı;üzüldüm;argument_structure;transitive
Şimdi yeni projeye başlamaya karar verdiler.;Şimdi yeni projeye başlamayı karar verdiler.;başlamaya;başlamayı;karar verdiler;argument_structure;transitive
Ve köpeğim merdivenlerden düştü.;Ve köpeğim merdivenleri düştü.;merdivenlerden;merdivenleri;düştü;argument_structure;transitive
İnternette her okuduğun şeye körü körüne inanma.;İnternette her okuduğun şeyi körü körüne inanma.;şeye;şeyi;inanma;argument_structure;transitive
Ben bu soruna çok kafa yordum.;Ben bu sorunu çok kafa yordum.;soruna;sorunu;yordum;argument_structure;transitive
Ben babamın öğütlerine kulak verdim.;Ben babamın öğütlerini kulak verdim.;öğütlerine;öğütlerini;verdim;argument_structure;transitive
Valla bu kasabayı çok seviyorum.;Valla bu kasabaya çok seviyorum.;kasabayı;kasabaya;seviyorum;argument_structure;transitive
Ben eşimin kararlarına çok güvenirim.;Ben eşimin kararlarını çok güvenirim.;kararlarına;kararlarını;güvenirim;argument_structure;transitive
Şimdi bu habere çok sevindim.;Şimdi bu haberi çok sevindim.;habere;haberi;sevindim;argument_structure;transitive
En muhalefet partisi erken seçimde hala ısrar ediyor.;En muhalefet partisi erken seçimi hala ısrar ediyor.;seçimde;seçimi;ısrar ediyor;argument_structure;transitive
Hele dün yaptıklarından sonra sana çok kırıldım.;Hele dün yaptıklarından sonra seni çok kırıldım.;sana;seni;kırıldım;argument_structure;transitive
4 muhalefet partisi erken seçimde hala ısrar ediyor.;4 muhalefet partisi erken seçimi hala ısrar ediyor.;seçimde;seçimi;ısrar ediyor;argument_structure;transitive
Sadece onun doğruyu söylediğine inanıyorum.;Sadece onun doğruyu söylediğini inanıyorum.;söylediğine;söylediğini;inanıyorum;argument_structure;transitive
Burada hemşire hanım yaşlı hastayla özel olarak ilgileniyor.;Burada hemşire hanım yaşlı hastayı özel olarak ilgileniyor.;hastayla;hastayı;ilgileniyor;argument_structure;transitive
Ben bu heykellere hayran kaldım.;Ben bu heykelleri hayran kaldım.;heykellere;heykelleri;hayran kaldım;argument_structure;transitive
Şimdi bu diziye bayılıyoruz.;Şimdi bu diziyi bayılıyoruz.;diziye;diziyi;bayılıyoruz;argument_structure;transitive
Evet bu konuya çok kafa yordum.;Evet bu konuyu çok kafa yordum.;konuya;konuyu;yordum;argument_structure;transitive
Evet bu yarışmaya günlerce çalıştım.;Evet bu yarışmayı günlerce çalıştım.;yarışmaya;yarışmayı;çalıştım;argument_structure;transitive
Ben bu olaya çok üzüldüler.;Ben bu olayı çok üzüldüler.;olaya;olayı;üzüldüler;argument_structure;transitive
