good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Kız ablasına hediyeyi hiç beklemeden verirken gitti.,Kız ablasından hediyeyi hiç beklemeden verirken gitti.,ablasına,ablasından,verirken,argument_structure,ditransitive
Doğum günüm diye barmen bana bira ısmarlarken gitti.,Doğum günüm diye barmen beni bira ısmarlarken gitti.,bana,beni,ısmarlarken,argument_structure,ditransitive
Küçük çocuk annesine vitrindeki oyuncağı gösterirken gitti.,Küçük çocuk annesini vitrindeki oyuncağı gösterirken gitti.,annesine,annesini,gösterirken,argument_structure,ditransitive
Babam bugün markette ilkokul öğretmenime rastlarken gitti.,Babam bugün marketi ilkokul öğretmenime rastlarken gitti.,markette,marketi,rastlarken,argument_structure,ditransitive
Annem kekin içine biraz tarçın koyarken gitti.,Annem kekin içini biraz tarçın koyarken gitti.,içine,içini,koyarken,argument_structure,ditransitive
Dün gece oğlanı apar topar hastaneye götürürken gitti.,Dün gece oğlana apar topar hastaneye götürürken gitti.,oğlanı,oğlana,götürürken,argument_structure,ditransitive
Asistanı dosyaları masasına getirirken gitti.,Asistanı dosyalarla masasına getirirken gitti.,dosyaları,dosyalarla,getirirken,argument_structure,ditransitive
Takı töreninde damadın yakasına çeyrek altın takarken gitti.,Takı töreninde damadın yakasını çeyrek altın takarken gitti.,yakasına,yakasını,takarken,argument_structure,ditransitive
Üzerime koca bir fincan kahveyi dökerken gitti.,Üzerimde koca bir fincan kahveyi dökerken gitti.,Üzerime,Üzerimde,dökerken,argument_structure,ditransitive
Yanlış politikalar halkı yoksulluğa mahkum ederken gitti.,Yanlış politikalar halkla yoksulluğa mahkum ederken gitti.,halkı,halkla,mahkum ederken,argument_structure,ditransitive
Mahalledeki çocuklar dükkanın camına yine top atarken gitti.,Mahalledeki çocuklar dükkanın camını yine top atarken gitti.,camına,camını,atarken,argument_structure,ditransitive
Dün ekmeği ben aldığım için annem bakkala kardeşimi yollarken gitti.,Dün ekmeği ben aldığım için annem bakkalda kardeşimi yollarken gitti.,bakkala,bakkalda,yollarken,argument_structure,ditransitive
Evlerinin bahçesine zeytin ağacı dikerken gitti.,Evlerinin bahçesinden zeytin ağacı dikerken gitti.,bahçesine,bahçesinden,dikerken,argument_structure,ditransitive
Belki sana bu konudaki fikirlerinden bahsederken gitti.,Belki seni bu konudaki fikirlerinden bahsederken gitti.,sana,seni,bahsederken,argument_structure,ditransitive
Yıllardır kendini sadece işine adarken gitti.,Yıllardır kendinden sadece işine adarken gitti.,kendini,kendinden,adarken,argument_structure,ditransitive
Bu ödülü düzen bozan kadınlara ithaf ederken gitti.,Bu ödüle düzen bozan kadınlara ithaf ederken gitti.,ödülü,ödüle,ithaf ederken,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki vestiyere asarken gitti.,Ayakkabılarını çıkarıp paltosuna girişteki vestiyere asarken gitti.,paltosunu,paltosuna,asarken,argument_structure,ditransitive
Küçükken ekmeğimi hep salatanın suyuna banarken gitti.,Küçükken ekmeğimde hep salatanın suyuna banarken gitti.,ekmeğimi,ekmeğimde,banarken,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın dalına bağlarken gitti.,Dileklerini yazdığı kağıda bir ağacın dalına bağlarken gitti.,kağıdı,kağıda,bağlarken,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta ununa bularken gitti.,Kılçıklarını temizlediğiniz mezgite galeta ununa bularken gitti.,mezgiti,mezgite,bularken,argument_structure,ditransitive
Öğretmen öğrencilere yeni konuyu anlatırken gitti.,Öğretmen öğrencileri yeni konuyu anlatırken gitti.,öğrencilere,öğrencileri,anlatırken,argument_structure,ditransitive
