good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Yine kızıma o masalı daha önce anlatmıştım.;Yine kızıma o masalı daha önce hiç anlatmıştım.;∅;hiç;anlatmıştım;npi_licensing
Ve bana anahtarları evde unuttuğunu söyle.;Ve bana sakın anahtarları evde unuttuğunu söyle.;∅;sakın;söyle;npi_licensing
Yine toplantıda biri itiraz etti.;Yine toplantıda kimse itiraz etti.;biri;kimse;etti;npi_licensing
Bu alt dönemden birine tavsiye verdim.;Bu alt dönemden hiç kimseye tavsiye verdim.;birine;hiç kimseye;verdim;npi_licensing
Bak seni dün biri aradı.;Bak seni dün hiç kimse aradı.;biri;hiç kimse;aradı;npi_licensing
Aslında çocukluğuma dair bir şey hatırlıyorum.;Aslında çocukluğuma dair hiçbir şey hatırlıyorum.;bir şey;hiçbir şey;hatırlıyorum;npi_licensing
O kreşte bir öğrenci uyuyordu.;O kreşte hiçbir öğrenci uyuyordu.;bir;hiçbir;uyuyordu;npi_licensing
Yine birileri kapının zilini çaldı.;Yine kimse kapının zilini çaldı.;Birileri;Kimse;çaldı;npi_licensing
Bu sırrı ona söyleyebilirsin.;Bu sırrı ona asla söyleyebilirsin.;∅;asla;söyleyebilirsin;npi_licensing
Anne anneleri o çocukla görüşmelerine izin verir.;Anne anneleri o çocukla görüşmelerine asla izin verir.;∅;asla;verir;npi_licensing
Benim hayatımı değiştiren bir film izledim.;Benim hayatımı değiştiren hiçbir film izledim.;bir;hiçbir;izledim;npi_licensing
Şimdi bu sırrı ona söyleyebilirsin.;Şimdi bu sırrı ona asla söyleyebilirsin.;∅;asla;söyleyebilirsin;npi_licensing
Sonra onu sahneye çıkmaya ikna edebilirsin.;Sonra onu sahneye çıkmaya asla ikna edebilirsin.;∅;asla;edebilirsin;npi_licensing
Ben fransa'da yaşadığı sırada müzeleri gezmiş.;Ben fransa'da yaşadığı sırada müzeleri hiç gezmiş.;∅;hiç;gezmiş;npi_licensing
Büyük palyaçonun şakalarına çocuk güldü.;Büyük palyaçonun şakalarına hiçbir çocuk güldü.;∅;hiçbir;güldü;npi_licensing
Bir öğrenci öğretmenler odasına gidip soru sordu.;Hiçbir öğrenci öğretmenler odasına gidip soru sordu.;Bir;Hiçbir;sordu;npi_licensing
Sonra i̇htiyaç molası için şoför durdu.;Sonra i̇htiyaç molası için şoför hiç durdu.;∅;hiç;durdu;npi_licensing
Bugün bu planı uygulayabiliriz.;Bugün bu planı asla uygulayabiliriz.;∅;asla;uygulayabiliriz;npi_licensing
Sadece bu ilacı kullanabilir.;Sadece bu ilacı asla kullanabilir.;∅;asla;kullanabilir;npi_licensing
Küçük yüzüklerin Efendisi serisini okumuş.;Küçük yüzüklerin Efendisi serisini hiç okumuş.;∅;hiç;okumuş;npi_licensing
Ben doğum yaptıktan sonra misafir geldi.;Ben doğum yaptıktan sonra hiçbir misafir geldi.;∅;hiçbir;geldi;npi_licensing
Onu sahneye çıkmaya ikna edebilirsin.;Onu sahneye çıkmaya asla ikna edebilirsin.;∅;asla;edebilirsin;npi_licensing
Yine balıkçıda denediğim mezeyi beğendim.;Yine balıkçıda denediğim hiçbir mezeyi beğendim.;∅;hiçbir;beğendim;npi_licensing
Bak bana anahtarları evde unuttuğunu söyle.;Bak bana sakın anahtarları evde unuttuğunu söyle.;∅;sakın;söyle;npi_licensing
Sen bana anahtarları evde unuttuğunu söyle.;Sen bana sakın anahtarları evde unuttuğunu söyle.;∅;sakın;söyle;npi_licensing
Ünlü bir şarkıcı konser çıkışında imza verdi.;Ünlü hiçbir şarkıcı konser çıkışında imza verdi.;Bir;Hiçbir;verdi;npi_licensing
