good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Kızın ablasına hediyeyi hiç beklemeden verdiğini sanıyor.,Kızın ablasından hediyeyi hiç beklemeden verdiğini sanıyor.,ablasına,ablasından,verdiğini,argument_structure,ditransitive
Doğum günüm diye barmenin bana bira ısmarladığını sanıyor.,Doğum günüm diye barmenin beni bira ısmarladığını sanıyor.,bana,beni,ısmarladığını,argument_structure,ditransitive
Küçük çocuğun annesine vitrindeki oyuncağı gösterdiğini sanıyor.,Küçük çocuğun annesini vitrindeki oyuncağı gösterdiğini sanıyor.,annesine,annesini,gösterdiğini,argument_structure,ditransitive
Babamın bugün markette ilkokul öğretmenime rastladığını sanıyor.,Babamın bugün marketi ilkokul öğretmenime rastladığını sanıyor.,markette,marketi,rastladığını,argument_structure,ditransitive
Annemin kekin içine biraz tarçın koyduğunu sanıyor.,Annemin kekin içini biraz tarçın koyduğunu sanıyor.,içine,içini,koyduğunu,argument_structure,ditransitive
Dün gece oğlanı apar topar hastaneye götürdüğümüzü sanıyor.,Dün gece oğlana apar topar hastaneye götürdüğümüzü sanıyor.,oğlanı,oğlana,götürdüğümüzü,argument_structure,ditransitive
Asistanın dosyaları masasına getirdiğini sanıyor.,Asistanın dosyalarla masasına getirdiğini sanıyor.,dosyaları,dosyalarla,getirdiğini,argument_structure,ditransitive
Takı töreninde damadın yakasına çeyrek altın taktıklarını sanıyor.,Takı töreninde damadın yakasını çeyrek altın taktıklarını sanıyor.,yakasına,yakasını,taktıklarını,argument_structure,ditransitive
Üzerime koca bir fincan kahveyi döktüğümü sanıyor.,Üzerimde koca bir fincan kahveyi döktüğümü sanıyor.,Üzerime,Üzerimde,döktüğümü,argument_structure,ditransitive
Yanlış politikaların halkı yoksulluğa mahkum ettiğini sanıyor.,Yanlış politikaların halkla yoksulluğa mahkum ettiğini sanıyor.,halkı,halkla,mahkum ettiğini,argument_structure,ditransitive
Mahalledeki çocukların dükkanın camına yine top attığını sanıyor.,Mahalledeki çocukların dükkanın camını yine top attığını sanıyor.,camına,camını,attığını,argument_structure,ditransitive
Dün ekmeği ben aldığım için annemin bakkala kardeşimi yolladığını sanıyor.,Dün ekmeği ben aldığım için annemin bakkalda kardeşimi yolladığını sanıyor.,bakkala,bakkalda,yolladığını,argument_structure,ditransitive
Evlerinin bahçesine zeytin ağacı diktiklerini sanıyor.,Evlerinin bahçesinden zeytin ağacı diktiklerini sanıyor.,bahçesine,bahçesinden,diktiklerini,argument_structure,ditransitive
Belki sana bu konudaki fikirlerinden bahsettiğini sanıyor.,Belki seni bu konudaki fikirlerinden bahsettiğini sanıyor.,sana,seni,bahsettiğini,argument_structure,ditransitive
Yıllardır kendini sadece işine adadığını sanıyor.,Yıllardır kendinden sadece işine adadığını sanıyor.,kendini,kendinden,adadığını,argument_structure,ditransitive
Bu ödülü düzen bozan kadınlara ithaf ettiğini sanıyor.,Bu ödüle düzen bozan kadınlara ithaf ettiğini sanıyor.,ödülü,ödüle,ithaf ettiğini,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki vestiyere astığını sanıyor.,Ayakkabılarını çıkarıp paltosuna girişteki vestiyere astığını sanıyor.,paltosunu,paltosuna,astığını,argument_structure,ditransitive
Küçükken ekmeğimi hep salatanın suyuna bandırdığımı sanıyor.,Küçükken ekmeğimde hep salatanın suyuna bandırdığımı sanıyor.,ekmeğimi,ekmeğimde,bandırdığımı,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın dalına bağladığını sanıyor.,Dileklerini yazdığı kağıda bir ağacın dalına bağladığını sanıyor.,kağıdı,kağıda,bağladığını,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta ununa buladığınızı sanıyor.,Kılçıklarını temizlediğiniz mezgite galeta ununa buladığınızı sanıyor.,mezgiti,mezgite,buladığınızı,argument_structure,ditransitive
Öğretmenin öğrencilere yeni konuyu anlattığını sanıyor.,Öğretmenin öğrencileri yeni konuyu anlattığını sanıyor.,öğrencilere,öğrencileri,anlattığını,argument_structure,ditransitive
Çocuğun babasına en sevdiği oyuncağı verdiğini sanıyor.,Çocuğun babasını en sevdiği oyuncağı verdiğini sanıyor.,babasına,babasını,verdiğini,argument_structure,ditransitive
Arkadaşımın bana doğum günü hediyesi aldığını sanıyor.,Arkadaşımın beni doğum günü hediyesi aldığını sanıyor.,bana,beni,aldığını,argument_structure,ditransitive
Garsonun müşterilere yemekleri servis ettiğini sanıyor.,Garsonun müşterileri yemekleri servis ettiğini sanıyor.,müşterilere,müşterileri,servis ettiğini,argument_structure,ditransitive
Şirketin çalışanlarına yeni görevler verdiğini sanıyor.,Şirketin çalışanlarını yeni görevler verdiğini sanıyor.,çalışanlarına,çalışanlarını,verdiğini,argument_structure,ditransitive
Yönetmenin oyunculara rollerini dağıttığını sanıyor.,Yönetmenin oyuncuları rollerini dağıttığını sanıyor.,oyunculara,oyuncuları,dağıttığını,argument_structure,ditransitive
Annenin bebeğine sütü biberonla verdiğini sanıyor.,Annenin bebeğini sütü biberonla verdiğini sanıyor.,bebeğine,bebeğini,verdiğini,argument_structure,ditransitive
Dedemin torunlarına masallar anlattığını sanıyor.,Dedemin torunlarını masallar anlattığını sanıyor.,torunlarına,torunlarını,anlattığını,argument_structure,ditransitive
Yazarın okurlarına yeni kitabını tanıttığını sanıyor.,Yazarın okurlarını yeni kitabını tanıttığını sanıyor.,okurlarına,okurlarını,tanıttığını,argument_structure,ditransitive
Antrenörün sporculara yeni taktikler öğrettiğini sanıyor.,Antrenörün sporcuları yeni taktikler öğrettiğini sanıyor.,sporculara,sporcuları,öğrettiğini,argument_structure,ditransitive
Çocuğun annesine yeni bir şarkı söylediğini sanıyor.,Çocuğun annesini yeni bir şarkı söylediğini sanıyor.,annesine,annesini,söylediğini,argument_structure,ditransitive
Arkadaşımın bana en son haberleri verdiğini sanıyor.,Arkadaşımın beni en son haberleri verdiğini sanıyor.,bana,beni,verdiğini,argument_structure,ditransitive
Yönetmenin oyunculara son talimatları verdiğini sanıyor.,Yönetmenin oyuncuları son talimatları verdiğini sanıyor.,oyunculara,oyuncuları,verdiğini,argument_structure,ditransitive
Antrenörün sporculara antrenman programı hazırladığını sanıyor.,Antrenörün sporcuları antrenman programı hazırladığını sanıyor.,sporculara,sporcuları,hazırladığını,argument_structure,ditransitive
