good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Sadece deniz kenarında serinleten bir rüzgar hissettik.;Sadece deniz kenarında serinleten rüzgar hissettik.;bir;∅;rüzgar;determiners
Sabah otobüste okumak için eğlenceli bir dergi aldım.;Sabah otobüste okumak için eğlenceli dergi aldım.;bir;∅;dergi;determiners
Onların i̇çinde bol miktarda badem ve kakao olan bir pasta yaptılar.;Onların i̇çinde bol miktarda badem ve kakao olan pasta yaptılar.;bir;∅;pasta;determiners
Gece ders çalışırken sessiz ve ferah bir kafe tercih ediyorum.;Gece ders çalışırken sessiz ve ferah kafe tercih ediyorum.;bir;∅;kafe;determiners
Ben otobüste okumak için eğlenceli bir dergi aldım.;Ben otobüste okumak için eğlenceli dergi aldım.;bir;∅;dergi;determiners
Dün marketten indirimde olan bir deterjan aldım.;Dün marketten indirimde olan deterjan aldım.;bir;∅;deterjan;determiners
Online ders çalışmak için sabahları kalabalık olmayan bir kafe arıyorum.;Online ders çalışmak için sabahları kalabalık olmayan kafe arıyorum.;bir;∅;kafe;determiners
Şimdi düğün hediyesi olarak bütçemizi zorlamayan bir takı alacağız.;Şimdi düğün hediyesi olarak bütçemizi zorlamayan takı alacağız.;bir;∅;takı;determiners
Hemen kütüphaneden herkesin önerdiği bir kitap aldım.;Hemen kütüphaneden herkesin önerdiği kitap aldım.;bir;∅;kitap;determiners
Yine konferansta ilginç bir sunum dinledik.;Yine konferansta ilginç sunum dinledik.;bir;∅;sunum;determiners
Uzun yolda dikkatle yürüyen bir adam gördüm.;Uzun yolda dikkatle yürüyen adam gördüm.;bir;∅;adam;determiners
Ona doğum günü hediyesi olarak fiyatı bize makul gelen bir bileklik seçtik.;Ona doğum günü hediyesi olarak fiyatı bize makul gelen bileklik seçtik.;bir;∅;bileklik;determiners
Ve doğum günü hediyesi olarak fiyatı bize makul gelen bir bileklik seçtik.;Ve doğum günü hediyesi olarak fiyatı bize makul gelen bileklik seçtik.;bir;∅;bileklik;determiners
Dün akşam izlemek için herkesin merakla beklediği bir dizi seçtiler.;Dün akşam izlemek için herkesin merakla beklediği dizi seçtiler.;bir;∅;dizi;determiners
Ben evde huzurlu bir atmosfer yaratmak için hoş bir mum yaktım.;Ben evde huzurlu bir atmosfer yaratmak için hoş mum yaktım.;bir;∅;mum;determiners
İlk sergide sanatçının ustalıkla çizdiği bir portre gördük.;İlk sergide sanatçının ustalıkla çizdiği portre gördük.;bir;∅;portre;determiners
Dönerken götürmek için çok tüketilen bir peynir seçtim.;Dönerken götürmek için çok tüketilen peynir seçtim.;bir;∅;peynir;determiners
Bugün düğün hediyesi olarak bütçemizi zorlamayan bir takı alacağız.;Bugün düğün hediyesi olarak bütçemizi zorlamayan takı alacağız.;bir;∅;takı;determiners
Ve evde huzurlu bir atmosfer yaratmak için hoş bir mum yaktım.;Ve evde huzurlu bir atmosfer yaratmak için hoş mum yaktım.;bir;∅;mum;determiners
Sonra bahçede büyüyen rengarenk bir çiçek kopardım.;Sonra bahçede büyüyen rengarenk çiçek kopardım.;bir;∅;çiçek;determiners
Sabah ofise mis gibi kokan bir çiçek geldi.;Sabah ofise mis gibi kokan çiçek geldi.;bir;∅;çiçek;determiners
Ben geçen hafta indirime giren bir bilgisayar satın aldım.;Ben geçen hafta indirime giren bilgisayar satın aldım.;bir;∅;bilgisayar;determiners
Cumartesi seyretmek için arkadaşların tavsiye ettiği bir dizi seçtik.;Cumartesi seyretmek için arkadaşların tavsiye ettiği dizi seçtik.;bir;∅;dizi;determiners
Otobüste okumak için eğlenceli bir dergi aldım.;Otobüste okumak için eğlenceli dergi aldım.;bir;∅;dergi;determiners
Bu butikte göz kamaştıran ince askılı bir elbise gördüm.;Bu butikte göz kamaştıran ince askılı elbise gördüm.;bir;∅;elbise;determiners
Şimdi duvarda asılı duran bir resim inceledik.;Şimdi duvarda asılı duran resim inceledik.;bir;∅;resim;determiners
Her kütüphanede sessizce çalışan bir öğrenci vardı.;Her kütüphanede sessizce çalışan öğrenci vardı.;bir;∅;öğrenci;determiners
Yine bu sabah beni ayıltan lezzetli bir kahve içtim.;Yine bu sabah beni ayıltan lezzetli kahve içtim.;bir;∅;kahve;determiners
Ve geçen hafta indirime giren bir bilgisayar satın aldım.;Ve geçen hafta indirime giren bilgisayar satın aldım.;bir;∅;bilgisayar;determiners
Bahçede büyüyen rengarenk bir çiçek kopardım.;Bahçede büyüyen rengarenk çiçek kopardım.;bir;∅;çiçek;determiners
Kendisi merve rengi griye çalan modern bir hırka seçti.;Kendisi merve rengi griye çalan modern hırka seçti.;bir;∅;hırka;determiners
Sonra ormanda hızlıca koşan bir geyik fark ettik.;Sonra ormanda hızlıca koşan geyik fark ettik.;bir;∅;geyik;determiners
Milli parkta heyecan verici bir yarış izledik.;Milli parkta heyecan verici yarış izledik.;bir;∅;yarış;determiners
Bugün pazar sabahı ailece keyif aldığımız bir kahvaltı yaptık.;Bugün pazar sabahı ailece keyif aldığımız kahvaltı yaptık.;bir;∅;kahvaltı;determiners
Sabahları içimi ısıtan bir çorba içmeyi seviyorum.;Sabahları içimi ısıtan çorba içmeyi seviyorum.;bir;∅;çorba;determiners
İkinci sömestr tatilinde sürükleyici bir roman okudum.;İkinci sömestr tatilinde sürükleyici roman okudum.;bir;∅;roman;determiners
Küçük bahçede büyüyen rengarenk bir çiçek kopardım.;Küçük bahçede büyüyen rengarenk çiçek kopardım.;bir;∅;çiçek;determiners
</s> i̇nternette çok beğenilen bir yemek tarifi denedim.;</s> i̇nternette çok beğenilen yemek tarifi denedim.;bir;∅;yemek tarifi;determiners
Yine bol fındık ve tarçın içeren enfes bir kek yaptılar.;Yine bol fındık ve tarçın içeren enfes kek yaptılar.;bir;∅;kek;determiners
Ayrıca yeni açılan butikten ustanın tasarladığı bir kolye seçtik.;Ayrıca yeni açılan butikten ustanın tasarladığı kolye seçtik.;bir;∅;kolye;determiners
