good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Genç öğrenciler laboratuvarda deney yaptı.;Genç öğrenciler laboratuvarda çoğu deney yaptı.;∅;çoğu;deney;quantifiers  
Sonra elimizi silerken peçete kullandık.;Sonra elimizi silerken çoğu peçete kullandık.;∅;çoğu;peçete;quantifiers
Biz akşam yürüyüşünde yıldız gördük.;Biz akşam yürüyüşünde çoğu yıldız gördük.;∅;çoğu;yıldız;quantifiers  
Bir kütüphanede roman okudum.;Bir kütüphanede çoğu roman okudum.;∅;çoğu;roman;quantifiers  
Yine çiftlikte çocuklar yumurta topladı.;Yine çiftlikte çocuklar her yumurta topladı.;∅;her;yumurta;quantifiers
Sınıfta öğretmen tahta sildi.;Sınıfta öğretmen her tahta sildi.;∅;her;tahta;quantifiers
Akşam kütüphanede roman okudum.;Akşam kütüphanede çoğu roman okudum.;∅;çoğu;roman;quantifiers  
Bir ünlü eleştirmen restoranda menü inceledi.;Bir ünlü eleştirmen restoranda her menü inceledi.;∅;her;menü;quantifiers
Sergide ressam tablo sergiledi.;Sergide ressam çoğu tablo sergiledi.;∅;çoğu;tablo;quantifiers  
İşte konser sonrası poster aldık.;İşte konser sonrası her poster aldık.;∅;her;poster;quantifiers
İnşaatta tuğla taşıdılar.;İnşaatta çoğu tuğla taşıdılar.;∅;çoğu;tuğla;quantifiers  
Bütün millet sıkılınca çalma listesinde şarkı atladı.;Bütün millet sıkılınca çalma listesinde çoğu şarkı atladı.;∅;çoğu;şarkı;quantifiers
Ama kedim açıkta bulursa süt içer.;Ama kedim açıkta bulursa her süt içer.;∅;her;süt;quantifiers  
Akşam yemekten sonra tatlı yedik.;Akşam yemekten sonra çoğu tatlı yedik.;∅;çoğu;tatlı;quantifiers  
Markette kasa açtılar.;Markette her kasa açtılar.;∅;her;kasa;quantifiers
İstanbul sergide ressam tablo sergiledi.;İstanbul sergide ressam çoğu tablo sergiledi.;∅;çoğu;tablo;quantifiers  
Antik müzede tarihi eser inceledik.;Antik müzede çoğu tarihi eser inceledik.;∅;çoğu;eser;quantifiers  
7. sınıfta öğretmen tahta sildi.;7. sınıfta öğretmen her tahta sildi.;∅;her;tahta;quantifiers
Yeni sergide tablo beğendik.;Yeni sergide her tablo beğendik.;∅;her;tablo;quantifiers
Küçük çiftlikte çocuklar yumurta topladı.;Küçük çiftlikte çocuklar her yumurta topladı.;∅;her;yumurta;quantifiers
Bazı konuklar düğünde fotoğraf çekti.;Bazı konuklar düğünde her fotoğraf çekti.;∅;her;fotoğraf;quantifiers
Öğrenciler laboratuvarda deney yaptı.;Öğrenciler laboratuvarda çoğu deney yaptı.;∅;çoğu;deney;quantifiers  
Burada atölyede mobilya yaptık.;Burada atölyede çoğu mobilya yaptık.;∅;çoğu;mobilya;quantifiers
4 restoranda menü karıştırdık.;4 restoranda her menü karıştırdık.;∅;her;menü;quantifiers  
Bugün akşam yürüyüşünde yıldız gördük.;Bugün akşam yürüyüşünde çoğu yıldız gördük.;∅;çoğu;yıldız;quantifiers  
Genç çocuklar parkta oyun oynadı.;Genç çocuklar parkta her oyun oynadı.;∅;her;oyun;quantifiers  
Önce mutfakta bulaşık yıkadım.;Önce mutfakta her bulaşık yıkadım.;∅;her;bulaşık;quantifiers  
Büyük kütüphanede görevli raf düzeltti.;Büyük kütüphanede görevli her raf düzeltti.;∅;her;raf;quantifiers
Atatürk zaten Fransa'da peynir tatmıştır.;Atatürk zaten Fransa'da çoğu peynir tatmıştır.;∅;çoğu;peynir;quantifiers
Herkes kamp ateşinde şarkı söyledik.;Herkes kamp ateşinde her şarkı söyledik.;∅;her;şarkı;quantifiers  
Sonra yol kenarından çiçek topladık.;Sonra yol kenarından çoğu çiçek topladık.;∅;çoğu;çiçek;quantifiers  
Kütüphanede öğrenci kitap okudu.;Kütüphanede öğrenci her kitap okudu.;∅;her;kitap;quantifiers
Halk kütüphanede öğrenci kitap okudu.;Halk kütüphanede öğrenci her kitap okudu.;∅;her;kitap;quantifiers
