good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Hediyeyi ablasına kız hiç beklemeden verdi.,Hediyeyi ablasından kız hiç beklemeden verdi.,ablasına,ablasından,verdi,argument_structure,ditransitive
Doğum günü diye kıza ilk birasını barmen ısmarladı.,Doğum günü diye kızı ilk birasını barmen ısmarladı.,kıza,kızı,ısmarladı,argument_structure,ditransitive
Vitrindeki oyuncağı annesine küçük çocuk gösterdi.,Vitrindeki oyuncağı annesini küçük çocuk gösterdi.,annesine,annesini,gösterdi,argument_structure,ditransitive
Bugün markette ilkokul öğretmenime babam rastlamış.,Bugün marketi ilkokul öğretmenime babam rastlamış.,markette,marketi,rastlamış,argument_structure,ditransitive
Tarçını kekin içine annem koyar.,Tarçını kekin içini annem koyar.,içine,içini,koyar,argument_structure,ditransitive
Oğlanı dün gece apar topar hastaneye biz götürdük.,Oğlanı dün gece apar topar hastaneye biz götürdük.,Oğlanı,Oğlana,götürdük,argument_structure,ditransitive
Dosyaları masasına asistan getirdi.,Dosyalarla masasına asistan getirdi.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Çeyrek altını damadın yakasına onlar taktılar.,Çeyrek altını damadın yakasını onlar taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Koca bir fincan kahveyi üzerime ben döktüm.,Koca bir fincan kahveyi üzerimde ben döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Halkı yoksulluğa yanlış politikalar mahkum etti.,Halkla yoksulluğa yanlış politikalar mahkum etti.,Halkı,Halkla,mahkum etti,argument_structure,ditransitive
Yine topu dükkanın camına mahalledeki çocuklar atıyor.,Yine topu dükkanın camını mahalledeki çocuklar atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Dün ekmeği ben aldığım için bakkala kardeşimi annem yolladı.,Dün ekmeği ben aldığım için bakkalda kardeşimi annem yolladı.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Zeytin ağacını evlerinin bahçesine onlar dikmişler.,Zeytin ağacını evlerinin bahçesinden onlar dikmişler.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Belki sana bu konudaki fikirlerinden o bahsetmiştir.,Belki seni bu konudaki fikirlerinden o bahsetmiştir.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Kendini işine yıllardır o adamış.,Kendini işine yıllardır o adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Bu ödülü düzen bozan kadınlara ben ithaf ediyorum.,Bu ödüle düzen bozan kadınlara ben ithaf ediyorum.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Paltosunu girişteki vestiyere Ahmet astı.,Paltosuna girişteki vestiyere Ahmet astı.,Paltosunu,Paltosuna,astı,argument_structure,ditransitive
Küçükken ekmeğimi salatanın suyuna hep ben banardım.,Küçükken ekmeğimde salatanın suyuna hep ben banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın dalına Melike bağladı.,Dileklerini yazdığı kağıda bir ağacın dalına Melike bağladı.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Kılçıkları temizlenen mezgiti galeta ununa siz bulayın.,Kılçıkları temizlenen mezgite galeta ununa siz bulayın.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Yeni konuyu öğrencilere öğretmen anlattı.,Yeni konuyu öğrencileri öğretmen anlattı.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
En sevdiği oyuncağı babasına çocuk verdi.,En sevdiği oyuncağı babasını çocuk verdi.,babasına,babasını,verdi,argument_structure,ditransitive
Doğum günüm için bana yeni albümlerini arkadaşım aldı.,Doğum günüm için beni yeni albümlerini arkadaşım aldı.,bana,beni,aldı,argument_structure,ditransitive
Yemekleri müşterilere garson servis etti.,Yemekleri müşterileri garson servis etti.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Yeni görevleri çalışanlarına şirket bildirdi.,Yeni görevleri çalışanlarını şirket bildirdi.,çalışanlarına,çalışanlarını,bildirdi,argument_structure,ditransitive
Rolleri oyunculara yönetmen dağıttı.,Rolleri oyuncuları yönetmen dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Biberonla sütü bebeğine anne verdi.,Biberonla sütü bebeğine anne verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Masallarını torunlarına dedem anlattı.,Masallarını torunlarını dedem anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Yeni kitabını okurlarına yazar tanıttı.,Yeni kitabını okurlarını yazar tanıttı.,okurlarına,okurlarını,tanıttı,argument_structure,ditransitive
Yeni taktikleri sporculara antrenör öğretti.,Yeni taktikleri sporcuları antrenör öğretti.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Yeni şarkıyı annesine çocuk söyledi.,Yeni şarkıyı annesini çocuk söyledi.,annesine,annesini,söyledi,argument_structure,ditransitive
Havadisleri bana arkadaşım verdi.,Havadisleri beni arkadaşım verdi.,bana,beni,verdi,argument_structure,ditransitive
Talimatlarını oyunculara yönetmen verdi.,Talimatlarını oyuncuları yönetmen verdi.,oyunculara,oyuncuları,verdi,argument_structure,ditransitive
Antrenman programını sporculara hoca anlattı.,Antrenman programını sporcuları hoca anlattı.,sporculara,sporcuları,anlattı,argument_structure,ditransitive
Yeni kitabı kardeşime annem aldı.,Yeni kitabı kardeşimi annem aldı.,kardeşime,kardeşimi,aldı,argument_structure,ditransitive
