good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Eda hediyesine resmen bayılınca gitti.,Eda hediyesini resmen bayılınca gitti.,hediyesine,hediyesini,bayılınca,argument_structure,transitive
İnternette her okuduğun şeye körü körüne inanmayınca gitti.,İnternette her okuduğun şeyi körü körüne inanmayınca gitti.,şeye,şeyi,inanmayınca,argument_structure,transitive
Eşimin zevkine çok güvenince gitti.,Eşimin zevkini çok güvenince gitti.,zevkine,zevkini,güvenince,argument_structure,transitive
Ben artık sana sadece acıyınca gitti.,Ben artık seni sadece acıyınca gitti.,sana,seni,acıyınca,argument_structure,transitive
Hemşire hanım yaşlı hastayla özel olarak ilgilenince gitti.,Hemşire hanım yaşlı hastayı özel olarak ilgilenince gitti.,hastayla,hastayı,ilgilenince,argument_structure,transitive
Bizim ufaklık sıra arkadaşından baya hoşlanınca gitti.,Bizim ufaklık sıra arkadaşını baya hoşlanınca gitti.,arkadaşından,arkadaşını,hoşlanınca,argument_structure,transitive
Muhalefet partisi erken seçimde hala ısrar edince gitti.,Muhalefet partisi erken seçimi hala ısrar edince gitti.,seçimde,seçimi,ısrar edince,argument_structure,transitive
Saygısız çalışan yaşlı kadınla resmen alay edince gitti.,Saygısız çalışan yaşlı kadına resmen alay edince gitti.,kadınla,kadına,alay edince,argument_structure,transitive
Senin bu hallerinden bıkınca gitti.,Senin bu hallerine bıkınca gitti.,hallerinden,hallerine,bıkınca,argument_structure,transitive
Balayı için Urla'da karar kılınca gitti.,Balayı için Urla'ya karar kılınca gitti.,Urla'da,Urla'ya,karar kılınca,argument_structure,transitive
Bu konuya çok kafa yorunca gitti.,Bu konuyu çok kafa yorunca gitti.,konuya,konuyu,yorunca,argument_structure,transitive
Bütün gün seni düşününce gitti.,Bütün gün senden düşününce gitti.,seni,senden,düşününce,argument_structure,transitive
Bu şarkıya bayılınca gitti.,Bu şarkıyı bayılınca gitti.,şarkıya,şarkıyı,bayılınca,argument_structure,transitive
Arkadaşımın doğum gününü unutunca gitti.,Arkadaşımın doğum gününe unutunca gitti.,doğum gününü,doğum gününe,unutunca,argument_structure,transitive
Yarın size de gelince gitti.,Yarın sizi de gelince gitti.,size,sizi,gelince,argument_structure,transitive
Bu habere çok sevinince gitti.,Bu haberi çok sevinince gitti.,habere,haberi,sevinince,argument_structure,transitive
Kedim balkondan düşünce gitti.,Kedim balkonu düşünce gitti.,balkondan,balkonu,düşünce,argument_structure,transitive
Annem her zaman bana destek olunca gitti.,Annem her zaman beni destek olunca gitti.,bana,beni,destek olunca,argument_structure,transitive
Öğretmenimiz bize çok kızınca gitti.,Öğretmenimiz bizi çok kızınca gitti.,bize,bizi,kızınca,argument_structure,transitive
Bu filme bayılınca gitti.,Bu filmi bayılınca gitti.,filme,filmi,bayılınca,argument_structure,transitive
Bu şehri çok sevince gitti.,Bu şehre çok sevince gitti.,şehri,şehre,sevince,argument_structure,transitive
Bu gözlüğü çok beğenince gitti.,Bu gözlüğe çok beğenince gitti.,gözlüğü,gözlüğe,beğenince,argument_structure,transitive
Yeni bir hobiye başlayınca gitti.,Yeni bir hobiyi başlayınca gitti.,hobiye,hobiyi,başlayınca,argument_structure,transitive
Bu öneriye sıcak bakınca gitti.,Bu öneriyi sıcak bakınca gitti.,öneriye,öneriyi,bakınca,argument_structure,transitive
Komşularımla iyi geçinince gitti.,Komşularımı iyi geçinince gitti.,komşularımla,komşularımı,geçinince,argument_structure,transitive
Bu kitap serisine bayılınca gitti.,Bu kitap serisini bayılınca gitti.,serisine,serisini,bayılınca,argument_structure,transitive
Onun doğruyu söylediğine inanınca gitti.,Onun doğruyu söylediğini inanınca gitti.,söylediğine,söylediğini,inanınca,argument_structure,transitive
Tatile çıkma fikrine çok ısınınca gitti.,Tatile çıkma fikrini çok ısınınca gitti.,fikrine,fikrini,ısınınca,argument_structure,transitive
Bu duruma çok üzülünce gitti.,Bu durumu çok üzülünce gitti.,duruma,durumu,üzülünce,argument_structure,transitive
