good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Verdi kız hediyeyi ablasına hiç beklemeden.,Verdi kız hediyeyi ablasından hiç beklemeden.,ablasına,ablasından,verdi,argument_structure,ditransitive
Ismarladı barmen doğum günü diye kıza ilk birasını.,Ismarladı barmen doğum günü diye kızı ilk birasını.,kıza,kızı,ısmarladı,argument_structure,ditransitive
Gösterdi küçük çocuk vitrindeki oyuncağı annesine.,Gösterdi küçük çocuk vitrindeki oyuncağı annesini.,annesine,annesini,gösterdi,argument_structure,ditransitive
Rastlamış babam bugün markette ilkokul öğretmenime.,Rastlamış babam bugün marketi ilkokul öğretmenime.,markette,marketi,rastlamış,argument_structure,ditransitive
Koyar annem tarçını kekin içine.,Koyar annem tarçını kekin içini.,içine,içini,koyar,argument_structure,ditransitive
Götürdük biz oğlanı dün gece apar topar hastaneye.,Götürdük biz oğlana dün gece apar topar hastaneye.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Getirdi asistan dosyaları masasına.,Getirdi asistan dosyalarla masasına.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Taktılar onlar çeyrek altını damadın yakasına.,Taktılar onlar çeyrek altını damadın yakasını.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Döktüm ben koca bir fincan kahveyi üzerime.,Döktüm ben koca bir fincan kahveyi üzerimde.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Mahkum etti yanlış politikalar halkı yoksulluğa.,Mahkum etti yanlış politikalar halkla yoksulluğa.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Atıyor mahalledeki çocuklar yine topu dükkanın camına.,Atıyor mahalledeki çocuklar yine topu dükkanın camını.,camına,camını,atıyor,argument_structure,ditransitive
Yolladı annem dün ekmeği ben aldığım için kardeşimi bakkala.,Yolladı annem dün ekmeği ben aldığım için kardeşimi bakkalda.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Dikmişler onlar zeytin ağacını evlerinin bahçesine.,Dikmişler onlar zeytin ağacını evlerinin bahçesinden.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Bahsetmiştir o belki sana bu konudaki fikirlerinden.,Bahsetmiştir o belki seni bu konudaki fikirlerinden.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Adamış o kendini yıllardır sadece işine.,Adamış o kendinden yıllardır sadece işine.,kendini,kendinden,adamış,argument_structure,ditransitive
Ithaf ediyorum ben bu ödülü düzen bozan kadınlara.,Ithaf ediyorum ben bu ödüle düzen bozan kadınlara.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Astı Ahmet ayakkabılarını çıkarıp paltosunu girişteki vestiyere.,Astı Ahmet ayakkabılarını çıkarıp paltosuna girişteki vestiyere.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Banardım ben ekmeğimi küçükken hep salatanın suyuna.,Banardım ben ekmeğimde küçükken hep salatanın suyuna.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Bağladı Melike dileklerini yazdığı kağıdı bir ağacın dalına.,Bağladı Melike dileklerini yazdığı kağıda bir ağacın dalına.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Bulayın siz kılçıklarını temizlediğiniz mezgiti galeta ununa.,Bulayın siz kılçıklarını temizlediğiniz mezgite galeta ununa.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
