good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Peki kimin yazdığı mektubu okudun?;Peki onun nasıl yazdığı mektubu okudun?;Kimin;Onun nasıl;mektubu;island_effects  
Peki neyi ağacın dallarına asan çocuk güldü?;Peki onu nasıl ağacın dallarına asan çocuk güldü?;Neyi;Onu nasıl;çocuk;island_effects
Kim kimi kapıda karşılayan kız aceleyle mutfağa girdi?;Kim onu nasıl kapıda karşılayan kız aceleyle mutfağa girdi?;Kimi;Onu nasıl;kız;island_effects
Daha neyi balkonundan atan komşu şikayet edildi?;Daha onu niçin balkonundan atan komşu şikayet edildi?;Neyi;Onu niçin;komşu;island_effects
Bugün kimin yaptığı heykel müzede sergileniyor?;Bugün onun niçin yaptığı heykel müzede sergileniyor?;Kimin;Onun niçin;heykel;island_effects
Peki neyi çantasına koymayı unutan kadın geri döndü?;Peki onu niçin çantasına koymayı unutan kadın geri döndü?;Neyi;Onu niçin;kadın;island_effects
Acaba kimi bahçede gören komşu telefon etti?;Acaba onu nasıl bahçede gören komşu telefon etti?;Kimi;Onu nasıl;komşu;island_effects
Kim kimi stadyumda gören taraftar bağırdı?;Kim onu nasıl stadyumda gören taraftar bağırdı?;Kimi;Onu nasıl;taraftar;island_effects  
Şimdi neyi ağacın dallarına asan çocuk sevindi?;Şimdi onu nasıl ağacın dallarına asan çocuk sevindi?;Neyi;Onu nasıl;çocuk;island_effects
Neden kimi bahçede gören komşu telefon etti?;Neden onu nasıl bahçede gören komşu telefon etti?;Kimi;Onu nasıl;komşu;island_effects
Kimin çizdiği resim sergileniyor?;Onun nasıl çizdiği resim sergileniyor?;Kimin;Onun nasıl;resim;island_effects
Burada kimin çaldığı piyanonun sesi geliyor?;Burada onun niye çaldığı piyanonun sesi geliyor?;Kimin;Onun niye;piyano;island_effects  
Ama neyi ağacın dallarına asan çocuk sevindi?;Ama onu nasıl ağacın dallarına asan çocuk sevindi?;Neyi;Onu nasıl;çocuk;island_effects
Kimi kapıda karşılayan kız aceleyle mutfağa girdi?;Onu nasıl kapıda karşılayan kız aceleyle mutfağa girdi?;Kimi;Onu nasıl;kız;island_effects
Neden kimi koridorda karşılayan müdür yardımcısı gergindi?;Neden onu niçin koridorda karşılayan müdür yardımcısı gergindi?;Kimi;Onu niçin;yardımcısı;island_effects
Bu neyi masaya bırakan garson düşürdü?;Bu onu nasıl masaya bırakan garson düşürdü?;Neyi;Onu nasıl;garson;island_effects  
Neyi parkta besleyen çocuk mutlu oldu?;Onu nasıl parkta besleyen çocuk mutlu oldu?;Neyi;Onu nasıl;çocuk;island_effects
Kim kimi konsere çağıran basçıyı beğeniyor?;Kim onu neden konsere çağıran basçıyı beğeniyor?;Kimi;Onu neden;basçıyı;island_effects
Evde neyi çöp kutusuna atan çocuk yakalandı?;Evde onu niçin çöp kutusuna atan çocuk yakalandı?;Neyi;Onu niçin;çocuk;island_effects  
Bak kimin kaybettiği anahtarı buldun?;Bak onun neden kaybettiği anahtarı buldun?;Kimin;Onun neden;anahtarı;island_effects  
Neden kimi okul bahçesinde gören müdür çağırdı?;Neden onu nasıl okul bahçesinde gören müdür çağırdı?;Kimi;Onu nasıl;müdür;island_effects
Şimdi kimin söylediği söz herkesi şaşırttı?;Şimdi onun niye söylediği söz herkesi şaşırttı?;Kimin;Onun niye;söz;island_effects
Kimi hastanede ziyaret eden doktor üzgündü?;Onu neden hastanede ziyaret eden doktor üzgündü?;Kimi;Onu neden;doktor;island_effects
Ve kimin yönettiği filmi izledin?;Ve onun nasıl yönettiği filmi izledin?;Kimin;Onun nasıl;filmi;island_effects
Peki kimi hastanede ziyaret eden doktor üzgündü?;Peki onu neden hastanede ziyaret eden doktor üzgündü?;Kimi;Onu neden;doktor;island_effects
Ama kimin çizdiği resim sergileniyor?;Ama onun nasıl çizdiği resim sergileniyor?;Kimin;Onun nasıl;resim;island_effects
