good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon;subtype
Müdür asistanı dosyaları masasına getirdi.;Müdür asistanı dosyalarla masasına getirdi.;dosyaları;dosyalarla;getirdi;argument_structure;ditransitive
Sonra kız kardeşim kediyi veterinere götürdü.;Sonra kız kardeşim kediye veterinere götürdü.;kediyi;kediye;götürdü;argument_structure;ditransitive
Uzun yıllardır kendini sadece sanatına adamış.;Uzun yıllardır kendinden sadece sanatına adamış.;kendini;kendinden;adamış;argument_structure;ditransitive
Ama kasap bana en güzel etlerden ayırdı.;Ama kasap beni en güzel etlerden ayırdı.;bana;benle;ayırdı;argument_structure;ditransitive
Anne kuzenim kediyi bahçeye götürdü.;Anne kuzenim kediye bahçeye götürdü.;kediyi;kediye;götürdü;argument_structure;ditransitive
Ve annem kardeşime yeni bir kitap aldı.;Ve annem kardeşimi yeni bir kitap aldı.;kardeşime;kardeşimi;aldı;argument_structure;ditransitive
Anne teyzem kitapları çocuklara dağıttı.;Anne teyzem kitaplara çocuklara dağıttı.;kitapları;kitaplara;dağıttı;argument_structure;ditransitive
3 çocuk annesine yeni bir şarkı söyledi.;3 çocuk annesini yeni bir şarkı söyledi.;annesine;annesini;söyledi;argument_structure;ditransitive
Bir arkadaşım bana konser bileti aldı.;Bir arkadaşım beni konser bileti aldı.;bana;beni;aldı;argument_structure;ditransitive
Ve bu ödülü düzen bozan kadınlara ithaf ediyorum.;Ve bu ödüle düzen bozan kadınlara ithaf ediyorum.;ödülü;ödüle;ithaf ediyorum;argument_structure;ditransitive
Fakat dün ekmeği ben aldığım için annem bakkala kardeşimi yolladı.;Fakat dün ekmeği ben aldığım için annem bakkalda kardeşimi yolladı.;bakkala;bakkalda;yolladı;argument_structure;ditransitive
Küçük kuzenim kediyi bahçeye götürdü.;Küçük kuzenim kediye bahçeye götürdü.;kediyi;kediye;götürdü;argument_structure;ditransitive
Dün arkadaşım bana en son haberleri verdi.;Dün arkadaşım beni en son haberleri verdi.;bana;beni;verdi;argument_structure;ditransitive
Ama mahalledeki çocuklar dükkanın camına yine top atıyor.;Ama mahalledeki çocuklar dükkanın camını yine top atıyor.;camına;camını;atıyor;argument_structure;ditransitive
Usta öğretmen öğrencilere bol bol kitap okumalarını tavsiye etti.;Usta öğretmen öğrencileri bol bol kitap okumalarını tavsiye etti.;öğrencilere;öğrencileri;tavsiye etti;argument_structure;ditransitive
İngiliz yazar okurlarına yeni kitabını tanıttı.;İngiliz yazar okurlarını yeni kitabını tanıttı.;okurlarına;okurlarını;tanıttı;argument_structure;ditransitive
Usta öğretmen öğrencilere yeni şarkıyı öğretti.;Usta öğretmen öğrencileri yeni şarkıyı öğretti.;öğrencilere;öğrencileri;öğretti;argument_structure;ditransitive
Daha dün ekmeği ben aldığım için annem bakkala kardeşimi yolladı.;Daha dün ekmeği ben aldığım için annem bakkalda kardeşimi yolladı.;bakkala;bakkalda;yolladı;argument_structure;ditransitive
Ve dün ekmeği ben aldığım için annem bakkala kardeşimi yolladı.;Ve dün ekmeği ben aldığım için annem bakkalda kardeşimi yolladı.;bakkala;bakkalda;yolladı;argument_structure;ditransitive
Bir anne bebeğine mamasını kaşıkla verdi.;Bir anne bebeğini mamasını kaşıkla verdi.;bebeğine;bebeğini;verdi;argument_structure;ditransitive
Sonra üzerime koca bir fincan kahveyi döktüm.;Sonra üzerimde koca bir fincan kahveyi döktüm.;Üzerime;Üzerimde;döktüm;argument_structure;ditransitive
Dün gece kızı apar topar kliniğe götürdük.;Dün gece kıza apar topar kliniğe götürdük.;kızı;kıza;götürdük;argument_structure;ditransitive
Ünlü yönetmen oyunculara son talimatları verdi.;Ünlü yönetmen oyuncuları son talimatları verdi.;oyunculara;oyuncuları;verdi;argument_structure;ditransitive
Eski annem pastanın üstüne biraz çikolata koyar.;Eski annem pastanın üstünü biraz çikolata koyar.;üstüne;üstünü;koyar;argument_structure;ditransitive
Usta yazar okurlarına yeni kitabını tanıttı.;Usta yazar okurlarını yeni kitabını tanıttı.;okurlarına;okurlarını;tanıttı;argument_structure;ditransitive
6- kılçıklarını temizlediğiniz balığı pane ununa bulayın.;6- kılçıklarını temizlediğiniz balığa pane ununa bulayın.;balığı;balığa;bulayın;argument_structure;ditransitive
İki öğretmen öğrencilere yeni konuyu anlattı.;İki öğretmen öğrencileri yeni konuyu anlattı.;öğrencilere;öğrencileri;anlattı;argument_structure;ditransitive
Bir küçük çocuk annesine vitrindeki oyuncağı gösterdi.;Bir küçük çocuk annesini vitrindeki oyuncağı gösterdi.;annesine;annesini;gösterdi;argument_structure;ditransitive
Küçük kız arkadaşına çikolatayı hiç düşünmeden verdi.;Küçük kız arkadaşından çikolatayı hiç düşünmeden verdi.;arkadaşına;arkadaşından;verdi;argument_structure;ditransitive
Burada dedem bana devrimci anılarını anlattı.;Burada dedem beni devrimci anılarını anlattı.;bana;beni;anlattı;argument_structure;ditransitive
Kürt yazar okurlarına yeni kitabını tanıttı.;Kürt yazar okurlarını yeni kitabını tanıttı.;okurlarına;okurlarını;tanıttı;argument_structure;ditransitive
Antrenör sporculara antrenman programı hazırladı.;Antrenör sporcuları antrenman programı hazırladı.;sporculara;sporcuları;hazırladı;argument_structure;ditransitive
Bir manav bize en lezzetli meyvelerden ayırdı.;Bir manav bizi en lezzetli meyvelerden ayırdı.;bize;bizi;ayırdı;argument_structure;ditransitive
</s> yanlış politikalar halkı yoksulluğa mahkum etti.;</s> yanlış politikalar halkla yoksulluğa mahkum etti.;halkı;halkla;mahkum etti;argument_structure;ditransitive
Eski dedem torunlarına masallar anlattı.;Eski dedem torunlarını masallar anlattı.;torunlarına;torunlarını;anlattı;argument_structure;ditransitive
Yine üzerime koca bir bardak çayı döktüm.;Yine üzerimde koca bir bardak çayı döktüm.;Üzerime;Üzerimde;döktüm;argument_structure;ditransitive
Benim doğum günüm diye garson bana limonata ısmarladı.;Benim doğum günüm diye garson beni limonata ısmarladı.;bana;beni;ısmarladı;argument_structure;ditransitive
Bir dedem torunlarına masallar anlattı.;Bir dedem torunlarını masallar anlattı.;torunlarına;torunlarını;anlattı;argument_structure;ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta ununa bulayın.;Kılçıklarını temizlediğiniz mezgite galeta ununa bulayın.;mezgiti;mezgite;bulayın;argument_structure;ditransitive
Bugün bu sergiyi neşesini kaybetmeyen kadınlara ithaf ediyorum.;Bugün bu sergiye neşesini kaybetmeyen kadınlara ithaf ediyorum.;sergiyi;sergiye;ithaf ediyorum;argument_structure;ditransitive
Genç antrenör takıma farklı stratejiler öğretti.;Genç antrenör takımı farklı stratejiler öğretti.;takıma;takımı;öğretti;argument_structure;ditransitive
Ve üzerime koca bir bardak çayı döktüm.;Ve üzerimde koca bir bardak çayı döktüm.;Üzerime;Üzerimde;döktüm;argument_structure;ditransitive
Dün annem kardeşime yeni bir kitap aldı.;Dün annem kardeşimi yeni bir kitap aldı.;kardeşime;kardeşimi;aldı;argument_structure;ditransitive
Okul arkadaşım bana doğum günü hediyesi aldı.;Okul arkadaşım beni doğum günü hediyesi aldı.;bana;beni;aldı;argument_structure;ditransitive
Ardından kasap bana en güzel etlerden ayırdı.;Ardından kasap beni en güzel etlerden ayırdı.;bana;benle;ayırdı;argument_structure;ditransitive
Antrenör sporculara yeni taktikler öğretti.;Antrenör sporcuları yeni taktikler öğretti.;sporculara;sporcuları;öğretti;argument_structure;ditransitive
Bugün arkadaşım bana doğum günü hediyesi aldı.;Bugün arkadaşım beni doğum günü hediyesi aldı.;bana;beni;aldı;argument_structure;ditransitive
Erkek arkadaşım bana doğum günü hediyesi aldı.;Erkek arkadaşım beni doğum günü hediyesi aldı.;bana;beni;aldı;argument_structure;ditransitive
Biz dün gece kızı apar topar kliniğe götürdük.;Biz dün gece kıza apar topar kliniğe götürdük.;kızı;kıza;götürdük;argument_structure;ditransitive
Önce ayakkabılarını çıkarıp paltosunu girişteki vestiyere astı.;Önce ayakkabılarını çıkarıp paltosuna girişteki vestiyere astı.;paltosunu;paltosuna;astı;argument_structure;ditransitive
Şair dinleyicilerine yeni şiir kitabını tanıttı.;Şair dinleyicilerini yeni şiir kitabını tanıttı.;dinleyicilerine;dinleyicilerini;tanıttı;argument_structure;ditransitive
Ve oğlum topu arkadaşına ödünç verdi.;Ve oğlum topla arkadaşına ödünç verdi.;topu;topla;ödünç verdi;argument_structure;ditransitive
Sonra halam bana eldiven hediye etti.;Sonra halam beni eldiven hediye etti.;bana;beni;hediye etti;argument_structure;ditransitive
Bir garson müşterilere yemekleri servis etti.;Bir garson müşterileri yemekleri servis etti.;müşterilere;müşterileri;servis etti;argument_structure;ditransitive
Ardından kılçıklarını temizlediğiniz balığı pane ununa bulayın.;Ardından kılçıklarını temizlediğiniz balığa pane ununa bulayın.;balığı;balığa;bulayın;argument_structure;ditransitive
Ama kasap bana en iyi biftekten ayırdı.;Ama kasap beni en iyi biftekten ayırdı.;bana;beni;ayırdı;argument_structure;ditransitive
Yakın arkadaşım bana yılbaşı hediyesi aldı.;Yakın arkadaşım beni yılbaşı hediyesi aldı.;bana;beni;aldı;argument_structure;ditransitive
Onlar evlerinin arka bahçesine elma ağacı dikmişler.;Onlar evlerinin arka bahçesinden elma ağacı dikmişler.;arka bahçesine;arka bahçesinden;dikmişler;argument_structure;ditransitive
Sayın öğretmen öğrencilere ödevleri zamanında yapmalarını nasihat etti.;Sayın öğretmen öğrencileri ödevleri zamanında yapmalarını nasihat etti.;öğrencilere;öğrencileri;nasihat etti;argument_structure;ditransitive
Daha küçükken ekmeğimi hep çorbaya banardım.;Daha küçükken ekmeğimde hep çorbaya banardım.;ekmeğimi;ekmeğimde;banardım;argument_structure;ditransitive
Erkek arkadaşım bana son gelişmeleri anlattı.;Erkek arkadaşım beni son gelişmeleri anlattı.;bana;beni;anlattı;argument_structure;ditransitive
Gelin altın bileziği görümcesine hediye etti.;Gelin altın bilezikle görümcesine hediye etti.;bileziği;bilezikle;hediye etti;argument_structure;ditransitive
En küçükken ekmeğimi hep salatanın suyuna banardım.;En küçükken ekmeğimde hep salatanın suyuna banardım.;ekmeğimi;ekmeğimde;banardım;argument_structure;ditransitive
Eski öğretmen öğrencilere yeni şarkıyı öğretti.;Eski öğretmen öğrencileri yeni şarkıyı öğretti.;öğrencilere;öğrencileri;öğretti;argument_structure;ditransitive
Mahalledeki çocuklar evin camına yine taş atıyor.;Mahalledeki çocuklar evin camını yine taş atıyor.;camına;camını;atıyor;argument_structure;ditransitive
Çocuk babasına en sevdiği oyuncağı verdi.;Çocuk babasını en sevdiği oyuncağı verdi.;babasına;babasını;verdi;argument_structure;ditransitive
Bu takı töreninde geline burma bilezik taktılar.;Bu takı töreninde gelini burma bilezik taktılar.;geline;gelini;taktılar;argument_structure;ditransitive
Bu manav bize en taze meyvelerden ayırdı.;Bu manav bizi en taze meyvelerden ayırdı.;bize;bizi;ayırdı;argument_structure;ditransitive
Kız kuzenim kediyi bahçeye götürdü.;Kız kuzenim kediye bahçeye götürdü.;kediyi;kediye;götürdü;argument_structure;ditransitive
İşte bu ödülü düzen bozan kadınlara ithaf ediyorum.;İşte bu ödüle düzen bozan kadınlara ithaf ediyorum.;ödülü;ödüle;ithaf ediyorum;argument_structure;ditransitive
Rektör asistanı belgeleri masasına getirdi.;Rektör asistanı belgelerle masasına getirdi.;belgeleri;belgelerle;getirdi;argument_structure;ditransitive
