good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Kız ablasına hediyeyi hiç beklemeden verince gitti.,Kız ablasından hediyeyi hiç beklemeden verince gitti.,ablasına,ablasından,verince,argument_structure,ditransitive
Doğum günüm diye barmen bana bira ısmarlayınca gitti.,Doğum günüm diye barmen beni bira ısmarlayınca gitti.,bana,beni,ısmarlayınca,argument_structure,ditransitive
Küçük çocuk annesine vitrindeki oyuncağı gösterince gitti.,Küçük çocuk annesini vitrindeki oyuncağı gösterince gitti.,annesine,annesini,gösterince,argument_structure,ditransitive
Babam bugün markette ilkokul öğretmenime rastlayınca gitti.,Babam bugün marketi ilkokul öğretmenime rastlayınca gitti.,markette,marketi,rastlayınca,argument_structure,ditransitive
Annem kekin içine biraz tarçın koyunca gitti.,Annem kekin içini biraz tarçın koyunca gitti.,içine,içini,koyunca,argument_structure,ditransitive
Dün gece oğlanı apar topar hastaneye götürünce gitti.,Dün gece oğlana apar topar hastaneye götürünce gitti.,oğlanı,oğlana,götürünce,argument_structure,ditransitive
Asistanı dosyaları masasına getirince gitti.,Asistanı dosyalarla masasına getirince gitti.,dosyaları,dosyalarla,getirince,argument_structure,ditransitive
Takı töreninde damadın yakasına çeyrek altın takınca gitti.,Takı töreninde damadın yakasını çeyrek altın takınca gitti.,yakasına,yakasını,takınca,argument_structure,ditransitive
Üzerime koca bir fincan kahveyi dökünce gitti.,Üzerimde koca bir fincan kahveyi dökünce gitti.,Üzerime,Üzerimde,dökünce,argument_structure,ditransitive
Yanlış politikalar halkı yoksulluğa mahkum edince gitti.,Yanlış politikalar halkla yoksulluğa mahkum edince gitti.,halkı,halkla,mahkum edince,argument_structure,ditransitive
Mahalledeki çocuklar dükkanın camına yine top atınca gitti.,Mahalledeki çocuklar dükkanın camını yine top atınca gitti.,camına,camını,atınca,argument_structure,ditransitive
Dün ekmeği ben aldığım için annem bakkala kardeşimi yollayınca gitti.,Dün ekmeği ben aldığım için annem bakkalda kardeşimi yollayınca gitti.,bakkala,bakkalda,yollayınca,argument_structure,ditransitive
Evlerinin bahçesine zeytin ağacı dikince gitti.,Evlerinin bahçesinden zeytin ağacı dikince gitti.,bahçesine,bahçesinden,dikince,argument_structure,ditransitive
Belki sana bu konudaki fikirlerinden bahsedince gitti.,Belki seni bu konudaki fikirlerinden bahsedince gitti.,sana,seni,bahsedince,argument_structure,ditransitive
Yıllardır kendini sadece işine adayınca gitti.,Yıllardır kendinden sadece işine adayınca gitti.,kendini,kendinden,adayınca,argument_structure,ditransitive
Bu ödülü düzen bozan kadınlara ithaf edince gitti.,Bu ödüle düzen bozan kadınlara ithaf edince gitti.,ödülü,ödüle,ithaf edince,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki vestiyere asınca gitti.,Ayakkabılarını çıkarıp paltosuna girişteki vestiyere asınca gitti.,paltosunu,paltosuna,asınca,argument_structure,ditransitive
Küçükken ekmeğimi hep salatanın suyuna banayınca gitti.,Küçükken ekmeğimde hep salatanın suyuna banayınca gitti.,ekmeğimi,ekmeğimde,banayınca,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın dalına bağlayınca gitti.,Dileklerini yazdığı kağıda bir ağacın dalına bağlayınca gitti.,kağıdı,kağıda,bağlayınca,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta ununa bulayınca gitti.,Kılçıklarını temizlediğiniz mezgite galeta ununa bulayınca gitti.,mezgiti,mezgite,bulayınca,argument_structure,ditransitive
Öğretmen öğrencilere yeni konuyu anlatınca gitti.,Öğretmen öğrencileri yeni konuyu anlatınca gitti.,öğrencilere,öğrencileri,anlatınca,argument_structure,ditransitive
Çocuk babasına en sevdiği oyuncağı verince gitti.,Çocuk babasını en sevdiği oyuncağı verince gitti.,babasına,babasını,verince,argument_structure,ditransitive
Arkadaşım bana doğum günü hediyesi alınca gitti.,Arkadaşım beni doğum günü hediyesi alınca gitti.,bana,beni,alınca,argument_structure,ditransitive
Garson müşterilere yemekleri servis edince gitti.,Garson müşterileri yemekleri servis edince gitti.,müşterilere,müşterileri,servis edince,argument_structure,ditransitive
Şirket çalışanlarına yeni görevler verince gitti.,Şirket çalışanlarını yeni görevler verince gitti.,çalışanlarına,çalışanlarını,verince,argument_structure,ditransitive
Yönetmen oyunculara rollerini dağıtınca gitti.,Yönetmen oyuncuları rollerini dağıtınca gitti.,oyunculara,oyuncuları,dağıtınca,argument_structure,ditransitive
Anne bebeğine sütü biberonla verince gitti.,Anne bebeğini sütü biberonla verince gitti.,bebeğine,bebeğini,verince,argument_structure,ditransitive
Dedem torunlarına masallar anlatınca gitti.,Dedem torunlarını masallar anlatınca gitti.,torunlarına,torunlarını,anlatınca,argument_structure,ditransitive
Yazar okurlarına yeni kitabını tanıtınca gitti.,Yazar okurlarını yeni kitabını tanıtınca gitti.,okurlarına,okurlarını,tanıtınca,argument_structure,ditransitive
Antrenör sporculara yeni taktikler öğretince gitti.,Antrenör sporcuları yeni taktikler öğretince gitti.,sporculara,sporcuları,öğretince,argument_structure,ditransitive
Çocuk annesine yeni bir şarkı söyleyince gitti.,Çocuk annesini yeni bir şarkı söyleyince gitti.,annesine,annesini,söyleyince,argument_structure,ditransitive
Arkadaşım bana en son haberleri verince gitti.,Arkadaşım beni en son haberleri verince gitti.,bana,beni,verince,argument_structure,ditransitive
Yönetmen oyunculara son talimatları verince gitti.,Yönetmen oyuncuları son talimatları verince gitti.,oyunculara,oyuncuları,verince,argument_structure,ditransitive
Antrenör sporculara antrenman programı hazırlayınca gitti.,Antrenör sporcuları antrenman programı hazırlayınca gitti.,sporculara,sporcuları,hazırlayınca,argument_structure,ditransitive
Annem kardeşime yeni bir kitap alınca gitti.,Annem kardeşimi yeni bir kitap alınca gitti.,kardeşime,kardeşimi,alınca,argument_structure,ditransitive
Arkadaşım bana doğum günü hediyesi alınca gitti.,Arkadaşım beni doğum günü hediyesi alınca gitti.,bana,beni,alınca,argument_structure,ditransitive
Kız kardeşim kediyi veterinere götürünce gitti.,Kız kardeşim kediye veterinere götürünce gitti.,kediyi,kediye,götürünce,argument_structure,ditransitive
Babam yeni telefonunu bana verince gitti.,Babam yeni telefonuna bana verince gitti.,telefonunu,telefonuna,verince,argument_structure,ditransitive
Dedem bana eski hikayeler anlatınca gitti.,Dedem beni eski hikayeler anlatınca gitti.,bana,beni,anlatınca,argument_structure,ditransitive
Halam bana el örgüsü bir kazak hediye edince gitti.,Halam beni el örgüsü bir kazak hediye edince gitti.,bana,beni,hediye edince,argument_structure,ditransitive
Teyzem oyuncakları çocuklara dağıtınca gitti.,Teyzem oyuncaklara çocuklara dağıtınca gitti.,oyuncakları,oyuncaklara,dağıtınca,argument_structure,ditransitive
Arkadaşım bana yeni bir film önerince gitti.,Arkadaşım benle yeni bir film önerince gitti.,bana,benle,önerince,argument_structure,ditransitive
Kuzenim köpeği parka götürünce gitti.,Kuzenim köpeğe parka götürünce gitti.,köpeği,köpeğe,götürünce,argument_structure,ditransitive
Komşumuz bize taze meyve getirince gitti.,Komşumuz bizi taze meyve getirince gitti.,bize,bizi,getirince,argument_structure,ditransitive
Öğretmen öğrencilere bol bol kitap okumalarını tavsiye edince gitti.,Öğretmen öğrencileri bol bol kitap okumalarını tavsiye edince gitti.,öğrencilere,öğrencileri,tavsiye edince,argument_structure,ditransitive
Gelin altın bileziği görümcesine hediye edince gitti.,Gelin altın bilezikle görümcesine hediye edince gitti.,bileziği,bilezikle,hediye edince,argument_structure,ditransitive
Oğlum topu arkadaşına ödünç verince gitti.,Oğlum topla arkadaşına ödünç verince gitti.,topu,topla,ödünç verince,argument_structure,ditransitive
Manav bize en taze meyvelerden ayırınca gitti.,Manav bizi en taze meyvelerden ayırınca gitti.,bize,bizi,ayırınca,argument_structure,ditransitive
Kasap bana en güzel etlerden ayırınca gitti.,Kasap beni en güzel etlerden ayırınca gitti.,bana,benle,ayırınca,argument_structure,ditransitive
Arkadaşım bana yeni bir şarkı önerince gitti.,Arkadaşım beni yeni bir şarkı önerince gitti.,bana,beni,önerince,argument_structure,ditransitive
Kız arkadaşına çikolatayı hiç düşünmeden verince gitti.,Kız arkadaşından çikolatayı hiç düşünmeden verince gitti.,arkadaşına,arkadaşından,verince,argument_structure,ditransitive
Doğum günüm diye garson bana limonata ısmarlayınca gitti.,Doğum günüm diye garson beni limonata ısmarlayınca gitti.,bana,beni,ısmarlayınca,argument_structure,ditransitive
Küçük çocuk teyzesine mağazadaki oyuncağı gösterince gitti.,Küçük çocuk teyzesini mağazadaki oyuncağı gösterince gitti.,teyzesine,teyzesini,gösterince,argument_structure,ditransitive
Babam bugün parkta lise öğretmenime rastlayınca gitti.,Babam bugün parkı lise öğretmenime rastlayınca gitti.,parkta,parkı,rastlayınca,argument_structure,ditransitive
Annem pastanın üstüne biraz çikolata koyunca gitti.,Annem pastanın üstünü biraz çikolata koyunca gitti.,üstüne,üstünü,koyunca,argument_structure,ditransitive
Dün gece kızı apar topar kliniğe götürünce gitti.,Dün gece kıza apar topar kliniğe götürünce gitti.,kızı,kıza,götürünce,argument_structure,ditransitive
Asistanı belgeleri masasına getirince gitti.,Asistanı belgelerle masasına getirince gitti.,belgeleri,belgelerle,getirince,argument_structure,ditransitive
Takı töreninde geline burma bilezik takınca gitti.,Takı töreninde gelini burma bilezik takınca gitti.,geline,gelini,takınca,argument_structure,ditransitive
Üzerime koca bir bardak çayı dökünce gitti.,Üzerimde koca bir bardak çayı dökünce gitti.,Üzerime,Üzerimde,dökünce,argument_structure,ditransitive
Yanlış kararlar halkı adaletsizliğe mahkum edince gitti.,Yanlış kararlar halkla adaletsizliğe mahkum edince gitti.,halkı,halkla,mahkum edince,argument_structure,ditransitive
Mahalledeki çocuklar evin camına yine taş atınca gitti.,Mahalledeki çocuklar evin camını yine taş atınca gitti.,camına,camını,atınca,argument_structure,ditransitive
Dün sütü ben aldığım için annem markete kardeşimi yollayınca gitti.,Dün sütü ben aldığım için annem markette kardeşimi yollayınca gitti.,markete,markette,yollayınca,argument_structure,ditransitive
