good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Eda hediyesine resmen bayıldı.,Eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Sen internette her okuduğun şeye körü körüne inanma.,Sen internette her okuduğun şeyi körü körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
Ben eşimin zevkine çok güvenirim.,Ben eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Ben sana artık sadece acıyorum.,Ben seni artık sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Bizim ufaklık sıra arkadaşından baya hoşlanıyormuş.,Bizim ufaklık sıra arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Muhalefet partisi erken seçimde ısrar ediyor.,Muhalefet partisi erken seçimi ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Saygısız çalışan yaşlı kadınla resmen alay etti.,Saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Ben senin bu hallerinden bıktım.,Ben senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Onlar balayı için Urla'da karar kılmışlar.,Onlar balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Ben bu konuya çok kafa yordum.,Ben bu konuyu çok kafa yordum.,konuya,konuyu,yordum,argument_structure,transitive
Ben seni bütün gün düşündüm.,Ben senden bütün gün düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Ben bu şarkıya bayılıyorum.,Ben bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Ben arkadaşımın doğum gününü unuttum.,Ben arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Ben size yarın de gelirim.,Ben sizi yarın de gelirim.,size,sizi,gelirim,argument_structure,transitive
Ben bu habere çok sevindim.,Ben bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Kedim balkondan düştü.,Kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Annem bana her zaman destek olur.,Annem beni her zaman destek olur.,bana,beni,destek olur,argument_structure,transitive
Öğretmenimiz bize çok kızdı.,Öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
