good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Hediyeyi ablasına hiç beklemeden verdi kız.,Hediyeyi ablasından hiç beklemeden verdi kız.,ablasına,ablasından,verdi,argument_structure,ditransitive
Doğum günü diye kıza ilk birasını ısmarladı barmen.,Doğum günü diye kızı ilk birasını ısmarladı barmen.,kıza,kızı,ısmarladı,argument_structure,ditransitive
Vitrindeki oyuncağı annesine gösterdi küçük çocuk.,Vitrindeki oyuncağı annesini gösterdi küçük çocuk.,annesine,annesini,gösterdi,argument_structure,ditransitive
Bugün markette ilkokul öğretmenime rastlamış babam.,Bugün marketi ilkokul öğretmenime rastlamış babam.,markette,marketi,rastlamış,argument_structure,ditransitive
Tarçını kekin içine koyar annem.,Tarçını kekin içini koyar annem.,içine,içini,koyar,argument_structure,ditransitive
Oğlanı dün gece apar topar hastaneye götürdük biz.,Oğlana dün gece apar topar hastaneye götürdük biz.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Dosyaları masasına getirdi asistan.,Dosyalarla masasına getirdi asistan.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Çeyrek altını damadın yakasına taktılar onlar.,Çeyrek altını damadın yakasını taktılar onlar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Koca bir fincan kahveyi üzerime döktüm ben.,Koca bir fincan kahveyi üzerimde döktüm ben.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Halkı yoksulluğa mahkum etti yanlış politikalar.,Halkla yoksulluğa mahkum etti yanlış politikalar.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Yine topu dükkanın camına atıyor mahalledeki çocuklar.,Yine topu dükkanın camını atıyor mahalledeki çocuklar.,camına,camını,atıyor,argument_structure,ditransitive
Dün ekmeği ben aldığım için kardeşimi bakkala yolladı annem.,Dün ekmeği ben aldığım için kardeşimi bakkalda yolladı annem.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Zeytin ağacını evlerinin bahçesine dikmişler onlar.,Zeytin ağacını evlerinin bahçesinden dikmişler onlar.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Belki sana bu konudaki fikirlerinden bahsetmiştir o.,Belki seni bu konudaki fikirlerinden bahsetmiştir o.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Kendini yıllardır sadece işine adamış o.,Kendinden yıllardır sadece işine adamış o.,kendini,kendinden,adamış,argument_structure,ditransitive
Bu ödülü düzen bozan kadınlara ithaf ediyorum ben.,Bu ödüle düzen bozan kadınlara ithaf ediyorum ben.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki vestiyere astı Ahmet.,Ayakkabılarını çıkarıp paltosuna girişteki vestiyere astı Ahmet.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Ekmeğimi küçükken hep salatanın suyuna banardım ben.,Ekmeğimde küçükken hep salatanın suyuna banardım ben.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın dalına bağladı Melike.,Dileklerini yazdığı kağıda bir ağacın dalına bağladı Melike.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta ununa bulayın siz.,Kılçıklarını temizlediğiniz mezgite galeta ununa bulayın siz.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Yeni konuyu öğrencilere anlattı öğretmen.,Yeni konuyu öğrencileri anlattı öğretmen.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
En sevdiği oyuncağı babasına verdi çocuk.,En sevdiği oyuncağı babasını verdi çocuk.,babasına,babasını,verdi,argument_structure,ditransitive
Doğum günüm için bana yeni albümlerini aldı arkadaşım.,Doğum günüm için beni yeni albümlerini aldı arkadaşım.,bana,beni,aldı,argument_structure,ditransitive
Yemekleri müşterilere servis etti garson.,Yemekleri müşterileri servis etti garson.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Yeni görevleri çalışanlarına bildirdi şirket.,Yeni görevleri çalışanlarını bildirdi şirket.,çalışanlarına,çalışanlarını,bildirdi,argument_structure,ditransitive
Rolleri oyunculara dağıttı yönetmen.,Rolleri oyuncuları dağıttı yönetmen.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Sütü bebeğine biberonla verdi anne.,Sütü bebeğini biberonla verdi anne.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Masallarını torunlarına anlattı dedem.,Masallarını torunlarını anlattı dedem.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Yeni kitabını okurlarına tanıttı yazar.,Yeni kitabını okurlarını tanıttı yazar.,okurlarına,okurlarını,tanıttı,argument_structure,ditransitive
Yeni taktikleri sporculara öğretti antrenör.,Yeni taktikleri sporcuları öğretti antrenör.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Yeni şarkıyı annesine söyledi çocuk.,Yeni şarkıyı annesini söyledi çocuk.,annesine,annesini,söyledi,argument_structure,ditransitive
Havadisleri bana verdi arkadaşım.,Havadisleri beni verdi arkadaşım.,bana,beni,verdi,argument_structure,ditransitive
Talimatlarını oyunculara verdi yönetmen.,Talimatlarını oyuncuları verdi yönetmen.,oyunculara,oyuncuları,verdi,argument_structure,ditransitive
Antrenman programını sporculara anlattı hoca.,Antrenman programını sporculara anlattı hoca.,sporculara,sporcuları,anlattı,argument_structure,ditransitive
Kardeşime yeni kitabı aldı annem.,Kardeşimi yeni kitabı aldı annem.,kardeşime,kardeşimi,aldı,argument_structure,ditransitive
Vitrinde beğendiğim fuları bana aldı arkadaşım.,Vitrinde beğendiğim fuları beni aldı arkadaşım.,bana,beni,aldı,argument_structure,ditransitive
Kediyi veterinere götürdü kız kardeşim.,Kediye veterinere götürdü kız kardeşim.,kediyi,kediye,götürdü,argument_structure,ditransitive
Yeni telefonunu bana verdi babam.,Yeni telefonuna bana verdi babam.,telefonunu,telefonuna,verdi,argument_structure,ditransitive
Eski hikayeleri bana anlattı dedem.,Eski hikayeleri beni anlattı dedem.,bana,beni,anlattı,argument_structure,ditransitive
El örgüsü kazağı bana hediye etti halam.,El örgüsü kazağı beni hediye etti halam.,bana,beni,hediye etti,argument_structure,ditransitive
Oyuncakları çocuklara dağıttı teyzem.,Oyuncaklara çocuklara dağıttı teyzem.,oyuncakları,oyuncaklara,dağıttı,argument_structure,ditransitive
Yeni filmi bana önerdi arkadaşım.,Yeni filmi benle önerdi arkadaşım.,bana,benle,önerdi,argument_structure,ditransitive
Köpeği parka götürdü kuzenim.,Köpeğe parka götürdü kuzenim.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Topladığı taze meyveleri bize getirdi komşumuz.,Topladığı taze meyveleri bizi getirdi komşumuz.,bize,bizi,getirdi,argument_structure,ditransitive
Öğrencilere bol bol kitap okumalarını tavsiye etti öğretmen.,Öğrencileri bol bol kitap okumalarını tavsiye etti öğretmen.,öğrencilere,öğrencileri,tavsiye etti,argument_structure,ditransitive
Altın bileziği görümcesine hediye etti gelin.,Altın bilezikle görümcesine hediye etti gelin.,bileziği,bilezikle,hediye etti,argument_structure,ditransitive
Topu arkadaşına ödünç verdi oğlum.,Topla arkadaşına ödünç verdi oğlum.,topu,topla,ödünç verdi,argument_structure,ditransitive
En taze meyveleri bize ayırdı manav.,En taze meyveleri bizi ayırdı manav.,bize,bizi,ayırdı,argument_structure,ditransitive
En güzel etleri bana ayırdı kasap.,En güzel etleri beni ayırdı kasap.,bana,beni,ayırdı,argument_structure,ditransitive
Yeni bir şarkıyı bana önerdi arkadaşım.,Yeni bir şarkıyı beni önerdi arkadaşım.,bana,beni,önerdi,argument_structure,ditransitive
Arkadaşına çikolatayı hiç düşünmeden verdi kız.,Arkadaşından çikolatayı hiç düşünmeden verdi kız.,arkadaşına,arkadaşından,verdi,argument_structure,ditransitive
Gitarını bana ödünç verdi amcam.,Gitarına bana ödünç verdi amcam.,gitarını,gitarına,ödünç verdi,argument_structure,ditransitive
Mağazadaki oyuncağı teyzesine gösterdi küçük çocuk.,Mağazadaki oyuncağı teyzesini gösterdi küçük çocuk.,teyzesine,teyzesini,gösterdi,argument_structure,ditransitive
Parkta lise öğretmenine rastlamış babam.,Parkı lise öğretmenine rastlamış babam.,parkta,parkı,rastlamış,argument_structure,ditransitive
Çikolatayı pastanın üstüne koyar annem.,Çikolatayı pastanın üstünü koyar annem.,üstüne,üstünü,koyar,argument_structure,ditransitive
Kızı dün gece apar topar kliniğe götürdük biz.,Kıza dün gece apar topar kliniğe götürdük biz.,kızı,kıza,götürdük,argument_structure,ditransitive
Belgeleri masasına getirdi asistan.,Belgelerle masasına getirdi asistan.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
Burma bileziği geline taktılar onlar.,Burma bileziği gelini taktılar onlar.,geline,gelini,taktılar,argument_structure,ditransitive
Koca bir bardak çayı üzerime döktüm ben.,Koca bir bardak çayı üzerimde döktüm ben.,üzerime,üzerimde,döktüm,argument_structure,ditransitive
Halkı adaletsizliğe mahkum etti yanlış kararlar.,Halkla adaletsizliğe mahkum etti yanlış kararlar.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Yine taşı evin camına attı mahalledeki çocuklar.,Yine taşı evin camını attı mahalledeki çocuklar.,camına,camını,attı,argument_structure,ditransitive
Dün sütü ben aldığım için kardeşimi markete yolladı annem.,Dün sütü ben aldığım için kardeşimi markette yolladı annem.,markete,markette,yolladı,argument_structure,ditransitive
Elma ağacını evlerinin arka bahçesine dikmişler onlar.,Elma ağacını evlerinin arka bahçesinden dikmişler onlar.,arka bahçesine,arka bahçesinden,dikmişler,argument_structure,ditransitive
Size bu konudaki düşüncelerinden bahsetmiştir o.,Sizi bu konudaki düşüncelerinden bahsetmiştir o.,size,sizi,bahsetmiştir,argument_structure,ditransitive
Kendini yıllardır sadece sanatına adamış o.,Kendinden yıllardır sadece sanatına adamış o.,kendini,kendinden,adamış,argument_structure,ditransitive
Bu sergiyi neşesini kaybetmeyen kadınlara ithaf ediyorum ben.,Bu sergiye neşesini kaybetmeyen kadınlara ithaf ediyorum ben.,sergiyi,sergiye,ithaf ediyorum,argument_structure,ditransitive
Şapkasını girişteki dolaba astı Uğur.,Şapkasına girişteki dolaba astı Uğur.,şapkasını,şapkasına,astı,argument_structure,ditransitive
Küçükken ekmeğimi çorbaya banardım ben.,Küçükken ekmeğimde çorbaya banardım ben.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Dileklerini yazdığı kartı bir ağacın dalına bağladı Selen.,Dileklerini yazdığı karta bir ağacın dalına bağladı Selen.,kartı,karta,bağladı,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane ununa bulayın siz.,Kılçıklarını temizlediğiniz balığa pane ununa bulayın siz.,balığı,balığa,bulayın,argument_structure,ditransitive
Yeni şarkıyı öğrencilere öğretti öğretmen.,Yeni şarkıyı öğrencileri öğretti öğretmen.,öğrencilere,öğrencileri,öğretti,argument_structure,ditransitive
En sevdiği kitabı dedesine verdi çocuk.,En sevdiği kitabı dedesini verdi çocuk.,dedesine,dedesini,verdi,argument_structure,ditransitive
Yılbaşı hediyesini bana verdi arkadaşım.,Yılbaşı hediyesini beni verdi arkadaşım.,bana,beni,verdi,argument_structure,ditransitive
Tatlıları misafirlerimize servis etti garson.,Tatlıları misafirlerimizi servis etti garson.,misafirlerimize,misafirlerimizi,servis etti,argument_structure,ditransitive
Yeni projeleri personeline dağıttı şirket.,Yeni projeleri personelini dağıttı şirket.,personeline,personelini,dağıttı,argument_structure,ditransitive
Rolleri sanatçılara dağıttı yönetmen.,Rolleri sanatçıları dağıttı yönetmen.,sanatçılara,sanatçıları,dağıttı,argument_structure,ditransitive
Bebeğe mamasını yedirdi anne.,Bebeği mamasını yedirdi anne.,bebeğe,bebeği,yedirdi,argument_structure,ditransitive
Bildiği fıkraları torunlarına anlattı dedem.,Bildiği fıkraları torunlarını anlattı dedem.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Yeni şiir kitabını dinleyicilerine tanıttı şair.,Yeni şiir kitabını dinleyicilerini tanıttı şair.,dinleyicilerine,dinleyicilerini,tanıttı,argument_structure,ditransitive
Kendi stratejilerini takıma öğretti antrenör.,Kendi stratejilerini takımı öğretti antrenör.,takıma,takımı,öğretti,argument_structure,ditransitive
Okulda öğrendiği şiiri babasına okudu çocuk.,Okulda öğrendiği şiiri babasını okudu çocuk.,babasına,babasını,okudu,argument_structure,ditransitive
Son gelişmeleri bana anlattı arkadaşım.,Son gelişmeleri beni anlattı arkadaşım.,bana,beni,anlattı,argument_structure,ditransitive
Son direktifleri ekibine verdi yönetmen.,Son direktifleri ekibini verdi yönetmen.,ekibine,ekibini,verdi,argument_structure,ditransitive
Beslenme planını atletlere anlattı antrenör.,Beslenme planını atletleri anlattı antrenör.,atletlere,atletleri,anlattı,argument_structure,ditransitive
Gardırobu abime almış annem.,Gardırobu abimi almış annem.,abime,abimi,almış,argument_structure,ditransitive
İstediğim konser biletini bana aldı arkadaşım.,İstediğim konser biletini beni aldı arkadaşım.,bana,beni,aldı,argument_structure,ditransitive
Kediyi komşuya götürdü kız kardeşim.,Kediye komşuya götürdü kız kardeşim.,kediyi,kediye,götürdü,argument_structure,ditransitive
Yeni saatini bana verdi babam.,Yeni saatine bana verdi babam.,saatini,saatine,verdi,argument_structure,ditransitive
Devrimci anılarını bana anlattı dedem.,Devrimci anılarını beni anlattı dedem.,bana,beni,anlattı,argument_structure,ditransitive
Eldiveni bana hediye etti halam.,Eldiveni beni hediye etti halam.,bana,beni,hediye etti,argument_structure,ditransitive
Kitapları çocuklara dağıttı teyzem.,Kitaplara çocuklara dağıttı teyzem.,kitapları,kitaplara,dağıttı,argument_structure,ditransitive
Diziyi bana önerdi arkadaşım.,Diziyi benle önerdi arkadaşım.,bana,benle,önerdi,argument_structure,ditransitive
Kediyi bahçeye götürdü kuzenim.,Kediye bahçeye götürdü kuzenim.,kediyi,kediye,götürdü,argument_structure,ditransitive
Taze sebzeleri bize getirdi komşumuz.,Taze sebzeleri bizi getirdi komşumuz.,bize,bizi,getirdi,argument_structure,ditransitive
