good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Hediyesine Eda resmen bayıldı.,Hediyesini Eda resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
İnternette her okuduğun şeye sen körü körüne inanma.,İnternette her okuduğun şeyi sen körü körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
Eşimin zevkine ben çok güvenirim.,Eşimin zevkini ben çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Sana ben artık sadece acıyorum.,Seni ben artık sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Yaşlı hastayla hemşire hanım özel olarak ilgileniyor.,Yaşlı hastayı hemşire hanım özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Sıra arkadaşından bizim ufaklık baya hoşlanıyormuş.,Sıra arkadaşını bizim ufaklık baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Erken seçimde muhalefet partisi ısrar ediyor.,Erken seçimi muhalefet partisi ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Yaşlı kadınla saygısız çalışan resmen alay etti.,Yaşlı kadına saygısız çalışan resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Senin bu hallerinden ben bıktım.,Senin bu hallerine ben bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Balayı için Urla'da onlar karar kılmışlar.,Balayı için Urla'ya onlar karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Bu konuya ben çok kafa yordum.,Bu konuyu ben çok kafa yordum.,konuya,konuyu,yordum,argument_structure,transitive
Seni ben bütün gün düşündüm.,Senden ben bütün gün düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Bu şarkıya ben bayılıyorum.,Bu şarkıyı ben bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Arkadaşımın doğum gününü ben unuttum.,Arkadaşımın doğum gününe ben unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Size ben yarın gelirim.,Sizi ben yarın gelirim.,size,sizi,gelirim,argument_structure,transitive
Bu habere ben çok sevindim.,Bu haberi ben çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Balkondan kedim düştü.,Balkonu kedim düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Bana annem her zaman destek olur.,Beni annem her zaman destek olur.,bana,beni,destek olur,argument_structure,transitive
Bize öğretmenimiz çok kızdı.,Bizi öğretmenimiz çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Bu filme biz bayılıyoruz.,Bu filmi biz bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Bu şehri ben çok seviyorum.,Bu şehre ben çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Bu gözlüğü ben çok beğendim.,Bu gözlüğe ben çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Yeni bir hobiye biz başladık.,Yeni bir hobiyi biz başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
Bu öneriye Kerem sıcak baktı.,Bu öneriyi Kerem sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Komşularımla ben iyi geçiniyorum.,Komşularımı ben iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Bu kitap serisine ben bayıldım.,Bu kitap serisini ben bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Onun doğruyu söylediğine ben inanıyorum.,Onun doğruyu söylediğini ben inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Tatile çıkma fikrine ben çok ısındım.,Tatile çıkma fikrini ben çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Bu duruma onlar çok üzüldüler.,Bu durumu onlar çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Yeni projeye başlamaya onlar karar verdiler.,Yeni projeye başlamayı onlar karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Onun tepkisine ben çok şaşırdım.,Onun tepkisini ben çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Bu tabloya ben hayran kaldım.,Bu tabloyu ben hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Ona ben büyük saygı duyuyorum.,Onu ben büyük saygı duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Yeni bir işe ben girdim.,Yeni bir işi ben girdim.,işe,işi,girdim,argument_structure,transitive
Ona ben koşulsuz destek oluyorum.,Onu ben koşulsuz destek oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Bu projeye biz çok önem veriyoruz.,Bu projeyi biz çok önem veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Son duruma patron çok şaşırdı.,Son durumu patron çok şaşırdı.,duruma,durumu,şaşırdı,argument_structure,transitive
Sana biz her zaman güveniyoruz.,Seni biz her zaman güveniyoruz.,sana,seni,güveniyoruz,argument_structure,transitive
Bu sınava ben günlerce çalıştım.,Bu sınavı ben günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Onun söylediklerine ben katılıyorum.,Onun söylediklerini ben katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Şu değişikliklere ben oldum olası alışamadım.,Şu değişiklikleri ben oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Annemin sözlerine ben kulak verdim.,Annemin sözlerini ben kulak verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Konferansa katılmaya ben karar verdim.,Konferansı katılmayı ben karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Bu oyunlara sen fazla kapılmamalısın.,Bu oyunları sen fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Sana ben dün yaptıklarından sonra çok kırıldım.,Seni ben dün yaptıklarından sonra çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Etkinliğe katılmayı onlar düşünüyorlar.,Etkinliğe katılmaya onlar düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Asıl gözden kaçan hataya ben üzüldüm.,Asıl gözden kaçan hatayı ben üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Tartışmaya girmeyi ben sevmem.,Tartışmaya girmeye ben sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Seni buralarda görmeye ben son zamanlarda iyice alıştım.,Seni buralarda görmeyi ben son zamanlarda iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Zorlu bir süreçten sonra elde ettiğin bu başarıya biz sevindik.,Zorlu bir süreçten sonra elde ettiğin bu başarıyı biz sevindik.,başarıya,başarıyı,sevindim,argument_structure,transitive
Yeni elbisesine Eda resmen hayran kaldı.,Yeni elbisesini Eda resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
İnternette her gördüğün habere sen körü körüne inanma.,İnternette her gördüğün haberi sen körü körüne inanma.,habere,haberi,inanma,argument_structure,transitive
Eşimin kararlarına ben çok güvenirim.,Eşimin kararlarını ben çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Ona ben artık sadece gülüyorum.,Onu ben artık sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Çocuk hastayla doktor bey özel olarak ilgileniyor.,Çocuk hastayı doktor bey özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Komşunun kedisinden bizim kuşumuz baya korkuyormuş.,Komşunun kedisini bizim kuşumuz baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Yeni yasada hükümet hala ısrar ediyor.,Yeni yasayı hükümet hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Genç garsonla kaba müşteri resmen dalga geçti.,Genç garsona kaba müşteri resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Senin bu tavırlarından ben bıktım.,Senin bu tavırlarına ben bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Tatil için Bodrum'da onlar karar kılmışlar.,Tatil için Bodrum'a onlar karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Bu soruna ben çok kafa yordum.,Bu sorunu ben çok kafa yordum.,soruna,sorunu,yordum,argument_structure,transitive
Onu ben bütün gece düşündüm.,Ondan ben bütün gece düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Bu türküye ben bayılıyorum.,Bu türküyü ben bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Kardeşimin mezuniyetini ben unuttum.,Kardeşimin mezuniyetine ben unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Onlara ben yarın uğrarım.,Onları ben yarın uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Bu müjdeye ben çok sevindim.,Bu müjdeyi ben çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Merdivenlerden oyuncağım düştü.,Merdivenleri oyuncağım düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Bana babam her zaman destek olur.,Beni babam her zaman destek olur.,bana,beni,destek olur,argument_structure,transitive
Bize müdürümüz çok kızdı.,Bizi müdürümüz çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Bu diziye biz bayılıyoruz.,Bu diziyi biz bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Bu kasabayı ben çok seviyorum.,Bu kasabaya ben çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Bu saati ben çok beğendim.,Bu saate ben çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Yeni bir spora biz başladık.,Yeni bir sporu biz başladık.,spora,sporu,başladık,argument_structure,transitive
Bu fikre o sıcak baktı.,Bu fikri o sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Akrabalarımla ben iyi geçiniyorum.,Akrabalarımı ben iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Bu film serisine ben bayıldım.,Bu film serisini ben bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Onun doğruyu söylediğine ben inanıyorum.,Onun doğruyu söylediğini ben inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Tatile çıkma planına ben çok ısındım.,Tatile çıkma planını ben çok ısındım.,planına,planını,ısındım,argument_structure,transitive
Bu olaya onlar çok üzüldüler.,Bu olayı onlar çok üzüldüler.,olaya,olayı,üzüldüler,argument_structure,transitive
Yeni projeye başlamaya onlar karar verdiler.,Yeni projeye başlamayı onlar karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
