good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Özellikle kışın bu köyde erken yatılır.;Özellikle kışın köylüler tarafından bu köyde erken yatılır.;∅;köylüler tarafından;yatılır;passives
Ağır karla kaplı yollarda dikkatli yürünür.;Ağır karla kaplı yollarda işe gidenler tarafından dikkatli yürünür.;∅;işe gidenler tarafından;yürünür;passives
İkinci sınav haftasında gece geç saatlere kadar çalışıldı.;İkinci sınav haftasında üniversiteliler tarafından gece geç saatlere kadar çalışıldı.;∅;üniversiteliler tarafından;çalışıldı;passives
4 otobüs yolda kalınca soğukta donuldu.;4 otobüs yolda kalınca yolcular tarafından soğukta donuldu.;∅;yolcular tarafından;donuldu;passives
Bu uzay simülatöründe ağırlıksız ortama alışılınca rahatça uyunur.;Bu uzay simülatöründe adaylar tarafından ağırlıksız ortama alışılınca rahatça uyunur.;∅;adaylar tarafından;uyunur;passives
Program köy meydanında davul zurna eşliğinde dans edildi.;Program köy meydanında köylüler tarafından davul zurna eşliğinde dans edildi.;∅;köylüler tarafından;dans edildi;passives
Amerikan uçak gemisinin güvertesinden denize atlandı.;Amerikan uçak gemisinin güvertesinden denizciler tarafından denize atlandı.;∅;denizciler tarafından;atlandı;passives
Bir kütüphanede fısıltıyla bile konuşulmaz.;Bir kütüphanede öğrenciler tarafından fısıltıyla bile konuşulmaz.;∅;öğrenciler tarafından;konuşulmaz;passives
Gece konser alanında coşkuyla dans edildi.;Gece konser alanında hayranlar tarafından coşkuyla dans edildi.;∅;hayranlar tarafından;dans edildi;passives
Çocuklar yaz tatilinde bol bol uyunur.;Çocuklar yaz tatilinde öğrenciler tarafından bol bol uyunur.;∅;öğrenciler tarafından;uyunur;passives
İlk yamaç paraşütüyle uçurumdan atlandı.;İlk yamaç paraşütüyle maceracılar tarafından uçurumdan atlandı.;∅;maceracılar tarafından;atlandı;passives
Kamp kumsalda sabah erken saatlerde koşulur.;Kamp kumsalda sporcular tarafından sabah erken saatlerde koşulur.;∅;sporcular tarafından;koşulur;passives
İlk parkurda engellerin üzerinden atlanır.;İlk parkurda yarışmacılar tarafından engellerin üzerinden atlanır.;∅;yarışmacılar tarafından;atlanır;passives
