good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Polis cüzdanını takside unuttuğunu iş işten geçince fark etti.;Polis cüzdanını takside unutmasını iş işten geçince fark etti.;unuttuğunu;unutmasını;fark etti;nominalization
Ve yönetimin alınan kararları gözden geçirmesini talep ettik.;Ve yönetimin alınan kararları gözden geçirdiğini talep ettik.;geçirmesini;geçirdiğini;talep ettik;nominalization
Bir otelde çarşafların değiştirildiğine bile emin olamadık.;Bir otelde çarşafların değiştirilmesine bile emin olamadık.;değiştirildiğine;değiştirilmesine;emin olamadık;nominalization
Annesiyle ne kadar gurur duyduğundan hep bahsederdi.;Annesiyle ne kadar gurur duymasından hep bahsederdi.;gurur duyduğundan;gurur duymasından;bahsederdi;nominalization
Kendi yaptığının doğru olmadığını içten içe biliyor.;Kendi yaptığının doğru olmasını içten içe biliyor.;olmadığını;olmasını;biliyor;nominalization
Çelik ev sahibinin dairenin temiz olduğunu belirtti.;Çelik ev sahibinin dairenin temiz olmasını belirtti.;olduğunu;olmasını;belirtti;nominalization
Ayrıca ev sahibinin dairenin temiz olduğunu belirtti.;Ayrıca ev sahibinin dairenin temiz olmasını belirtti.;olduğunu;olmasını;belirtti;nominalization
Tüm öğrencilerin derse teşrif etmesini bekliyoruz.;Tüm öğrencilerin derse teşrif ettiğini bekliyoruz.;etmesini;ettiğini;bekliyoruz;nominalization
Erdoğan i̇şten kendi isteğiyle ayrıldığını üstüne basarak belirtti.;Erdoğan i̇şten kendi isteğiyle ayrılmasını üstüne basarak belirtti.;ayrıldığını;ayrılmasını;belirtti;nominalization
Allah kendisinin de bu yollardan geçtiğini bize her fırsatta hatırlatır.;Allah kendisinin de bu yollardan geçmesini bize her fırsatta hatırlatır.;geçtiğini;geçmesini;hatırlatır;nominalization
Ve kendisinin de bu yollardan geçtiğini bize her fırsatta hatırlatır.;Ve kendisinin de bu yollardan geçmesini bize her fırsatta hatırlatır.;geçtiğini;geçmesini;hatırlatır;nominalization
Kız cüzdanını takside unuttuğunu iş işten geçince fark etti.;Kız cüzdanını takside unutmasını iş işten geçince fark etti.;unuttuğunu;unutmasını;fark etti;nominalization
Proje çalışmalarının sonunda başarılı olduğunu belirtti.;Proje çalışmalarının sonunda başarılı olmasını belirtti.;olduğunu;olmasını;belirtti;nominalization
Tüm dizinin aslında komedi türünde olduğunu bile rahatlıkla iddia edebiliriz.;Tüm dizinin aslında komedi türünde olmasını bile rahatlıkla iddia edebiliriz.;olduğunu;olmasını;iddia edebiliriz;nominalization
Öğrenciler kitapları zamanında teslim ettiğini iddia etti.;Öğrenciler kitapları zamanında teslim etmesini iddia etti.;ettiğini;etmesini;iddia etti;nominalization
Ve yapılan analizlerin doğru sonuçlar verdiğini belirtti.;Ve yapılan analizlerin doğru sonuçlar vermesini belirtti.;verdiğini;vermesini;belirtti;nominalization
Onlar bu zorlu süreçte yanımızda olduklarını tekrar ifade ettiler.;Onlar bu zorlu süreçte yanımızda olmalarını tekrar ifade ettiler.;olduklarını;olmalarını;ifade ettiler;nominalization
Bu konunun yeterince tartışıldığını düşünüyorum.;Bu konunun yeterince tartışılmasını düşünüyorum.;tartışıldığını;tartışılmasını;düşünüyorum;nominalization
Yeni ürünün piyasaya sürülmesini heyecanla bekliyoruz.;Yeni ürünün piyasaya sürüldüğünü heyecanla bekliyoruz.;sürülmesini;sürüldüğünü;bekliyoruz;nominalization
Ama havanın birden soğumasına kimse hazırlıklı değildi.;Ama havanın birden soğuduğuna kimse hazırlıklı değildi.;soğumasına;soğuduğuna;hazırlıklı değildi;nominalization
Biz planın kusursuz işlediğini sanıyorduk.;Biz planın kusursuz işlemesini sanıyorduk.;işlediğini;işlemesini;sanıyorduk;nominalization
Ama onun her zaman dürüst olduğunu biliyorum.;Ama onun her zaman dürüst olmasını biliyorum.;olduğunu;olmasını;biliyorum;nominalization
Genel müdürün bu öneriyi desteklemesini bekliyorduk.;Genel müdürün bu öneriyi desteklediğini bekliyorduk.;desteklemesini;desteklediğini;bekliyorduk;nominalization
Mehmet kardeşinin doğruyu söylediğine canı gönülden inanıyor.;Mehmet kardeşinin doğruyu söylemesine canı gönülden inanıyor.;söylediğine;söylemesine;inanıyor;nominalization
Toplantının geç saatlere kadar sürmesine katılımcılar itiraz etti.;Toplantının geç saatlere kadar sürdüğüne katılımcılar itiraz etti.;sürmesine;sürdüğüne;itiraz etti;nominalization
Ve toplantının ertelenmesine katılımcılar tepki gösterdi.;Ve toplantının ertelendiğine katılımcılar tepki gösterdi.;ertelenmesine;ertelendiğine;tepki gösterdi;nominalization
Onların bu zorlu süreçte yanımızda olduklarını tekrar ifade ettiler.;Onların bu zorlu süreçte yanımızda olmalarını tekrar ifade ettiler.;olduklarını;olmalarını;ifade ettiler;nominalization
Ama söylediklerimizin yanlış anlaşıldığını fark ettik.;Ama söylediklerimizin yanlış anlaşılmasını fark ettik.;anlaşıldığını;anlaşılmasını;fark ettik;nominalization
Kız arkadaşının ona yalan söylediğini öğrenmiş.;Kız arkadaşının ona yalan söylemesini öğrenmiş.;söylediğini;söylemesini;öğrenmiş;nominalization
Ancak havanın birden soğumasına kimse hazırlıklı değildi.;Ancak havanın birden soğuduğuna kimse hazırlıklı değildi.;soğumasına;soğuduğuna;hazırlıklı değildi;nominalization
Ve çocukların dışarıda oynamasını uzaktan izledik.;Ve çocukların dışarıda oynadığını uzaktan izledik.;oynamasını;oynadığını;izledik;nominalization
İşte yeni kuralın uygulanmasını herkes destekledi.;İşte yeni kuralın uygulandığını herkes destekledi.;uygulanmasını;uygulandığını;destekledi;nominalization
Çalışmalarının sonunda başarılı olduğunu belirtti.;Çalışmalarının sonunda başarılı olmasını belirtti.;olduğunu;olmasını;belirtti;nominalization
Başkan yeni kuralların herkesi bağladığını belirtti.;Başkan yeni kuralların herkesi bağlamasını belirtti.;bağladığını;bağlamasını;belirtti;nominalization
Artık çocuklar bayramın gelmesini heyecanla bekliyor.;Artık çocuklar bayramın geldiğini heyecanla bekliyor.;gelmesini;geldiğini;bekliyor;nominalization
Doktorun hastalarla daha fazla ilgilenmesini bekliyoruz.;Doktorun hastalarla daha fazla ilgilendiğini bekliyoruz.;ilgilenmesini;ilgilendiğini;bekliyoruz;nominalization
Ayrıca toplantının geç saatlere kadar sürmesine katılımcılar itiraz etti.;Ayrıca toplantının geç saatlere kadar sürdüğüne katılımcılar itiraz etti.;sürmesine;sürdüğüne;itiraz etti;nominalization
Hiç bu kadar kaba biri olduğunu hiç düşünmemiştim.;Hiç bu kadar kaba biri olmasını hiç düşünmemiştim.;olduğunu;olmasını;düşünmemiştim;nominalization
Ayrıca öğrencilerin sınavlara düzenli çalışmasını bekliyoruz.;Ayrıca öğrencilerin sınavlara düzenli çalıştığını bekliyoruz.;çalışmasını;çalıştığını;bekliyoruz;nominalization
Bütün öğrencilerin projelerini zamanında teslim etmesini istiyoruz.;Bütün öğrencilerin projelerini zamanında teslim ettiğini istiyoruz.;etmesini;ettiğini;istiyoruz;nominalization
Yüksek müdürün bu öneriyi desteklemesini bekliyorduk.;Yüksek müdürün bu öneriyi desteklediğini bekliyorduk.;desteklemesini;desteklediğini;bekliyorduk;nominalization
Bu i̇ş görüşmesinin oldukça başarılı geçtiğini ifade etti.;Bu i̇ş görüşmesinin oldukça başarılı geçmesini ifade etti.;geçtiğini;geçmesini;ifade etti;nominalization
Ayrıca i̇şten kendi isteğiyle ayrıldığını üstüne basarak belirtti.;Ayrıca i̇şten kendi isteğiyle ayrılmasını üstüne basarak belirtti.;ayrıldığını;ayrılmasını;belirtti;nominalization
Onlar yeni yöntemin verimli olduğunu iddia etti.;Onlar yeni yöntemin verimli olmasını iddia etti.;olduğunu;olmasını;iddia etti;nominalization
Adam kapıya gelen işportacının kendisini dolandırıldığını çok geç anladı.;Adam kapıya gelen işportacının kendisini dolandırmasını çok geç anladı.;dolandırıldığını;dolandırmasını;anladı;nominalization
Burada çocuklar bayramın gelmesini heyecanla bekliyor.;Burada çocuklar bayramın geldiğini heyecanla bekliyor.;gelmesini;geldiğini;bekliyor;nominalization
Ama bu konunun yeterince tartışıldığını düşünüyorum.;Ama bu konunun yeterince tartışılmasını düşünüyorum.;tartışıldığını;tartışılmasını;düşünüyorum;nominalization
Sonra toplantının ertelenmesine katılımcılar tepki gösterdi.;Sonra toplantının ertelendiğine katılımcılar tepki gösterdi.;ertelenmesine;ertelendiğine;tepki gösterdi;nominalization
Belki kendisinin de bu yollardan geçtiğini bize her fırsatta hatırlatır.;Belki kendisinin de bu yollardan geçmesini bize her fırsatta hatırlatır.;geçtiğini;geçmesini;hatırlatır;nominalization
İşte son yaşananlar hatalarımızdan ders çıkarmadığımızı bize bir kez daha gösterdi.;İşte son yaşananlar hatalarımızdan ders çıkarmamızı bize bir kez daha gösterdi.;ders çıkarmadığımızı;ders çıkarmamızı;gösterdi;nominalization
Fakat moderatörler konuşmacının tekrar söz almasına bir türlü fırsat vermedi.;Fakat moderatörler konuşmacının tekrar söz aldığına bir türlü fırsat vermedi.;söz almasına;söz aldığına;fırsat vermedi;nominalization
Bu teklifin mantıklı göründüğünü söyledi.;Bu teklifin mantıklı görünmesini söyledi.;göründüğünü;görünmesini;söyledi;nominalization
Başbakan yeni düzenlemelerin işleri kolaylaştırdığını belirtti.;Başbakan yeni düzenlemelerin işleri kolaylaştırmasını belirtti.;kolaylaştırdığını;kolaylaştırmasını;belirtti;nominalization
Ben bu konuyu enine boyuna düşündüğünü biliyorum.;Ben bu konuyu enine boyuna düşünmesini biliyorum.;düşündüğünü;düşünmesini;biliyorum;nominalization
Kız kardeşinin bu kadar sorumsuz davranmasına epey kızdı.;Kız kardeşinin bu kadar sorumsuz davrandığına epey kızdı.;davranmasına;davrandığına;kızdı;nominalization
Ve i̇şten kendi isteğiyle ayrıldığını üstüne basarak belirtti.;Ve i̇şten kendi isteğiyle ayrılmasını üstüne basarak belirtti.;ayrıldığını;ayrılmasını;belirtti;nominalization
Fakat şirketin yatırım kararlarını hızla almasına çoğu çalışan şaşırdı.;Fakat şirketin yatırım kararlarını hızla aldığına çoğu çalışan şaşırdı.;almasına;aldığına;şaşırdı;nominalization
Erdoğan yeni kuralların herkesi bağladığını belirtti.;Erdoğan yeni kuralların herkesi bağlamasını belirtti.;bağladığını;bağlamasını;belirtti;nominalization
Özellikle serviste yavaş kaldığını o da kabul ediyor.;Özellikle serviste yavaş kalmasını o da kabul ediyor.;kaldığını;kalmasını;kabul ediyor;nominalization
Koca cüzdanını takside unuttuğunu iş işten geçince fark etti.;Koca cüzdanını takside unutmasını iş işten geçince fark etti.;unuttuğunu;unutmasını;fark etti;nominalization
Tarafından yapılan analizlerin doğru sonuçlar verdiğini belirtti.;Tarafından yapılan analizlerin doğru sonuçlar vermesini belirtti.;verdiğini;vermesini;belirtti;nominalization
Tüm uzmanların bu konuda daha fazla araştırma yapmasını öneriyoruz.;Tüm uzmanların bu konuda daha fazla araştırma yaptığını öneriyoruz.;yapmasını;yaptığını;öneriyoruz;nominalization
Ama son yaşananlar hatalarımızdan ders çıkarmadığımızı bize bir kez daha gösterdi.;Ama son yaşananlar hatalarımızdan ders çıkarmamızı bize bir kez daha gösterdi.;ders çıkarmadığımızı;ders çıkarmamızı;gösterdi;nominalization
Kardeşinin bu kadar sorumsuz davranmasına epey kızdı.;Kardeşinin bu kadar sorumsuz davrandığına epey kızdı.;davranmasına;davrandığına;kızdı;nominalization
Küçük annesiyle ne kadar gurur duyduğundan hep bahsederdi.;Küçük annesiyle ne kadar gurur duymasından hep bahsederdi.;gurur duyduğundan;gurur duymasından;bahsederdi;nominalization
Ben onun her zaman dürüst olduğunu biliyorum.;Ben onun her zaman dürüst olmasını biliyorum.;olduğunu;olmasını;biliyorum;nominalization
