good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Eda resmen bayıldı hediyesine.,Eda resmen bayıldı hediyesini.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Sen körü körüne inanma internette her okuduğun şeye.,Sen körü körüne inanma internette her okuduğun şeyi.,şeye,şeyi,inanma,argument_structure,transitive
Ben çok güvenirim eşimin zevkine.,Ben çok güvenirim eşimin zevkini.,zevkine,zevkini,güvenirim,argument_structure,transitive
Ben artık sadece acıyorum sana.,Ben artık sadece acıyorum seni.,sana,seni,acıyorum,argument_structure,transitive
Hemşire hanım özel olarak ilgileniyor yaşlı hastayla.,Hemşire hanım özel olarak ilgileniyor yaşlı hastayı.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Bizim ufaklık baya hoşlanıyormuş sıra arkadaşından.,Bizim ufaklık baya hoşlanıyormuş sıra arkadaşını.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Muhalefet partisi ısrar ediyor erken seçimde.,Muhalefet partisi ısrar ediyor erken seçimi.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Saygısız çalışan resmen alay etti yaşlı kadınla.,Saygısız çalışan resmen alay etti yaşlı kadına.,kadınla,kadına,alay etti,argument_structure,transitive
Ben bıktım senin bu hallerinden.,Ben bıktım senin bu hallerine.,hallerinden,hallerine,bıktım,argument_structure,transitive
Onlar karar kılmışlar balayı için Urla'da.,Onlar karar kılmışlar balayı için Urla'ya.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Ben çok kafa yordum bu konuya.,Ben çok kafa yordum bu konuyu.,konuya,konuyu,yordum,argument_structure,transitive
Ben bütün gün düşündüm seni.,Ben bütün gün düşündüm senden.,seni,senden,düşündüm,argument_structure,transitive
Ben bayılıyorum bu şarkıya.,Ben bayılıyorum bu şarkıyı.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Ben unuttum arkadaşımın doğum gününü.,Ben unuttum arkadaşımın doğum gününe.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Ben yarın de gelirim size.,Ben yarın de gelirim sizi.,size,sizi,gelirim,argument_structure,transitive
Ben çok sevindim bu habere.,Ben çok sevindim bu haberi.,habere,haberi,sevindim,argument_structure,transitive
Kedim düştü balkondan.,Kedim düştü balkonu.,balkondan,balkonu,düştü,argument_structure,transitive
