good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Eda hediyesine resmen bayıldı sanıyor.,Eda hediyesini resmen bayıldı sanıyor.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
İnternette her okuduğun şeye körü körüne inanma sanıyor.,İnternette her okuduğun şeyi körü körüne inanma sanıyor.,şeye,şeyi,inanma,argument_structure,transitive
Eşimin zevkine çok güvenirim sanıyor.,Eşimin zevkini çok güvenirim sanıyor.,zevkine,zevkini,güvenirim,argument_structure,transitive
Ben artık sana sadece acıyorum sanıyor.,Ben artık seni sadece acıyorum sanıyor.,sana,seni,acıyorum,argument_structure,transitive
Hemşire hanım yaşlı hastayla özel olarak ilgileniyor sanıyor.,Hemşire hanım yaşlı hastayı özel olarak ilgileniyor sanıyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Bizim ufaklık sıra arkadaşından baya hoşlanıyormuş sanıyor.,Bizim ufaklık sıra arkadaşını baya hoşlanıyormuş sanıyor.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Muhalefet partisi erken seçimde hala ısrar ediyor sanıyor.,Muhalefet partisi erken seçimi hala ısrar ediyor sanıyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Saygısız çalışan yaşlı kadınla resmen alay etti sanıyor.,Saygısız çalışan yaşlı kadına resmen alay etti sanıyor.,kadınla,kadına,alay etti,argument_structure,transitive
Senin bu hallerinden bıktım sanıyor.,Senin bu hallerine bıktım sanıyor.,hallerinden,hallerine,bıktım,argument_structure,transitive
Balayı için Urla'da karar kılmışlar sanıyor.,Balayı için Urla'ya karar kılmışlar sanıyor.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Bu konuya çok kafa yordum sanıyor.,Bu konuyu çok kafa yordum sanıyor.,konuya,konuyu,yordum,argument_structure,transitive
Bütün gün seni düşündüm sanıyor.,Bütün gün senden düşündüm sanıyor.,seni,senden,düşündüm,argument_structure,transitive
Bu şarkıya bayılıyorum sanıyor.,Bu şarkıyı bayılıyorum sanıyor.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Arkadaşımın doğum gününü unuttum sanıyor.,Arkadaşımın doğum gününe unuttum sanıyor.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Yarın size de gelirim sanıyor.,Yarın sizi de gelirim sanıyor.,size,sizi,gelirim,argument_structure,transitive
Bu habere çok sevindim sanıyor.,Bu haberi çok sevindim sanıyor.,habere,haberi,sevindim,argument_structure,transitive
Kedim balkondan düştü sanıyor.,Kedim balkonu düştü sanıyor.,balkondan,balkonu,düştü,argument_structure,transitive
Annem her zaman bana destek olur sanıyor.,Annem her zaman beni destek olur sanıyor.,bana,beni,destek olur,argument_structure,transitive
Öğretmenimiz bize çok kızdı sanıyor.,Öğretmenimiz bizi çok kızdı sanıyor.,bize,bizi,kızdı,argument_structure,transitive
Bu filme bayılıyoruz sanıyor.,Bu filmi bayılıyoruz sanıyor.,filme,filmi,bayılıyoruz,argument_structure,transitive
Bu şehri çok seviyorum sanıyor.,Bu şehre çok seviyorum sanıyor.,şehri,şehre,seviyorum,argument_structure,transitive
Bu gözlüğü çok beğendim sanıyor.,Bu gözlüğe çok beğendim sanıyor.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Yeni bir hobiye başladık sanıyor.,Yeni bir hobiyi başladık sanıyor.,hobiye,hobiyi,başladık,argument_structure,transitive
Bu öneriye sıcak baktı sanıyor.,Bu öneriyi sıcak baktı sanıyor.,öneriye,öneriyi,baktı,argument_structure,transitive
Komşularımla iyi geçiniyorum sanıyor.,Komşularımı iyi geçiniyorum sanıyor.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Bu kitap serisine bayıldım sanıyor.,Bu kitap serisini bayıldım sanıyor.,serisine,serisini,bayıldım,argument_structure,transitive
Onun doğruyu söylediğine inanıyorum sanıyor.,Onun doğruyu söylediğini inanıyorum sanıyor.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Tatile çıkma fikrine çok ısındım sanıyor.,Tatile çıkma fikrini çok ısındım sanıyor.,fikrine,fikrini,ısındım,argument_structure,transitive
Bu duruma çok üzüldüler sanıyor.,Bu durumu çok üzüldüler sanıyor.,duruma,durumu,üzüldüler,argument_structure,transitive
Yeni projeye başlamaya karar verdiler sanıyor.,Yeni projeye başlamayı karar verdiler sanıyor.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Onun tepkisine çok şaşırdım sanıyor.,Onun tepkisini çok şaşırdım sanıyor.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Bu tabloya hayran kaldım sanıyor.,Bu tabloyu hayran kaldım sanıyor.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Ona büyük saygı duyuyorum sanıyor.,Onu büyük saygı duyuyorum sanıyor.,ona,onu,duyuyorum,argument_structure,transitive
Yeni bir işe girdim sanıyor.,Yeni bir işi girdim sanıyor.,işe,işi,girdim,argument_structure,transitive
