good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Kütüphanede kitabı Ela ve dergiyi Burak ödünç aldı.;Kütüphanede kitabı Ela ve Burak dergiyi ödünç aldı.;dergiyi Burak;Burak dergiyi;-;ellipsis
Antik tiyatroda bileti Kerem ve programı Pelin ayarladı.;Antik tiyatroda bileti Kerem ve Pelin programı ayarladı.;programı Pelin;Pelin programı;-;ellipsis
Yeni sinema salonunda biletleri Barış ve mısırı Deniz aldı.;Yeni sinema salonunda biletleri Barış ve Deniz mısırı aldı.;mısırı Deniz;Deniz mısırı;-;ellipsis
Pazarda karpuzu Onur ve kavunu Ceyda aldı.;Pazarda karpuzu Onur ve Ceyda kavunu aldı.;kavunu Ceyda;Ceyda kavunu;-;ellipsis
Aynı konserde ışıkları Ali ve mikrofonları Deniz ayarladı.;Aynı konserde ışıkları Ali ve Deniz mikrofonları ayarladı.;mikrofonları Deniz;Deniz mikrofonları;-;ellipsis
Yapılan törende ödülü Beren ve plaketi Serkan aldı.;Yapılan törende ödülü Beren ve Serkan plaketi aldı.;plaketi Serkan;Serkan plaketi;-;ellipsis
Modern sirk gösterisinde ipte cambaz ve halkada akrobat yürüdü.;Modern sirk gösterisinde ipte cambaz ve akrobat halkada yürüdü.;halkada akrobat;akrobat halkada;-;ellipsis
Bodrum gökdelende camları işçi ve elektrik sistemini teknisyen kontrol etti.;Bodrum gökdelende camları işçi ve teknisyen elektrik sistemini kontrol etti.;elektrik sistemini teknisyen;teknisyen elektrik sistemini;-;ellipsis
Kadın kafede kahveyi Emre ve tatlıyı Naz sipariş etti.;Kadın kafede kahveyi Emre ve Naz tatlıyı sipariş etti.;tatlıyı Naz;Naz tatlıyı;-;ellipsis
Yine yeni evde bahçeyi Suat mutfağı da Özgür tasarlamış.;Yine yeni evde bahçeyi Suat Özgür de mutfağı tasarlamış.;mutfağı da Özgür;Özgür de mutfağı;-;ellipsis
Sonra havuzda şnorkeli Kadir ve havluyu Duygu getirdi.;Sonra havuzda şnorkeli Kadir ve Duygu havluyu getirdi.;havluyu Duygu;Duygu havluyu;-;ellipsis
Bu market alışverişinde sebzeleri Zeynep ve meyveleri Can aldı.;Bu market alışverişinde sebzeleri Zeynep ve Can meyveleri aldı.;meyveleri Can;Can meyveleri;-;ellipsis
Yine bahçede köpeği Gökhan ve kediyi Melike besledi.;Yine bahçede köpeği Gökhan ve Melike kediyi besledi.;kediyi Melike;Melike kediyi;-;ellipsis
Ancak sinema salonunda biletleri Barış ve mısırı Deniz aldı.;Ancak sinema salonunda biletleri Barış ve Deniz mısırı aldı.;mısırı Deniz;Deniz mısırı;-;ellipsis
Eczanede ilacı Selin ve vitaminleri Okan aldı.;Eczanede ilacı Selin ve Okan vitaminleri aldı.;vitaminleri Okan;Okan vitaminleri;-;ellipsis
İlk düğünde dansı Derya müziği de Emre seçti.;İlk düğünde dansı Derya Emre de müziği seçti.;müziği de Emre;Emre de müziği;-;ellipsis
Ardından törende ödülü Beren ve plaketi Serkan aldı.;Ardından törende ödülü Beren ve Serkan plaketi aldı.;plaketi Serkan;Serkan plaketi;-;ellipsis
Arkadaşlar üniversitedeyken Meltem münazara kulübüne Ömer ise sinema kulübüne gidiyordu.;Arkadaşlar üniversitedeyken Meltem münazara kulübüne sinema kulübüne ise Ömer gidiyordu.;Ömer ise sinema kulübüne;sinema kulübüne ise Ömer;-;ellipsis
Ayrıca fuar alanında bileti Sarp ve broşürü Melisa aldı.;Ayrıca fuar alanında bileti Sarp ve Melisa broşürü aldı.;broşürü Melisa;Melisa broşürü;-;ellipsis
Özel kütüphanede rafları asistan ve katalogları memur düzenledi.;Özel kütüphanede rafları asistan ve memur katalogları düzenledi.;katalogları memur;memur katalogları;-;ellipsis
Şimdi bahçede hamakta Ayşe ve salıncakta Bora oturdu.;Şimdi bahçede hamakta Ayşe ve Bora salıncakta oturdu.;salıncakta Bora;Bora salıncakta;-;ellipsis
Bir kafede kahveyi Defne ve kurabiyeyi Uğur sipariş etti.;Bir kafede kahveyi Defne ve Uğur kurabiyeyi sipariş etti.;kurabiyeyi Uğur;Uğur kurabiyeyi;-;ellipsis
Bu doğa yürüyüşünde rotayı Hakan ve ekipmanları Büşra belirledi.;Bu doğa yürüyüşünde rotayı Hakan ve Büşra ekipmanları belirledi.;ekipmanları Büşra;Büşra ekipmanları;-;ellipsis
Kuru markette sebzeleri Zeynep ve bakliyatı Murat aldı.;Kuru markette sebzeleri Zeynep ve Murat bakliyatı aldı.;bakliyatı Murat;Murat bakliyatı;-;ellipsis
Gece müzik stüdyosunda gitarı solist ve davulu baterist çaldı.;Gece müzik stüdyosunda gitarı solist ve baterist davulu çaldı.;davulu baterist;baterist davulu;-;ellipsis
O piknikte örtüyü Selin ve sepeti Rıza getirdi.;O piknikte örtüyü Selin ve Rıza sepeti getirdi.;sepeti Rıza;Rıza sepeti;-;ellipsis
Kız doğum günü partisinde pastayı Mert ve süsleri Gamze ayarladı.;Kız doğum günü partisinde pastayı Mert ve Gamze süsleri ayarladı.;süsleri Gamze;Gamze süsleri;-;ellipsis
Bugün babalar gününde saati Deniz kravatı da Umut hediye etti.;Bugün babalar gününde saati Deniz Umut da kravatı hediye etti.;kravatı da Umut;Umut da kravatı;-;ellipsis
İlk resim dersinde paleti İsmail ve fırçayı Nuran aldı.;İlk resim dersinde paleti İsmail ve Nuran fırçayı aldı.;fırçayı Nuran;Nuran fırçayı;-;ellipsis
Sonra mutfakta makarnayı Alper ve salatayı Derin hazırladı.;Sonra mutfakta makarnayı Alper ve Derin salatayı hazırladı.;salatayı Derin;Derin salatayı;-;ellipsis
Antalya tatil köyünde güneş kremini Arda ve havluyu Derin getirdi.;Antalya tatil köyünde güneş kremini Arda ve Derin havluyu getirdi.;havluyu Derin;Derin havluyu;-;ellipsis
Tüm yolda müzikleri Alp ve rotayı Yasemin belirledi.;Tüm yolda müzikleri Alp ve Yasemin rotayı belirledi.;rotayı Yasemin;Yasemin rotayı;-;ellipsis
