good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
İnsan zor zamanlardan geçtiği için bu aralar kendine iyi davranıyor.;İnsan zor zamanlardan geçtiği için bu aralar kendine iyi davranıyor.;kendine;kendine;davranıyor;anaphor_agreement
Nobel ödülünü alırken kendimi gerçekten gururlu hissettim.;Nobel ödülünü alırken kendini gerçekten gururlu hissettim.;kendimi;kendini;hissettim;anaphor_agreement
Erkek öğrenciler konferansın web sitesini kendileri hazırlamış.;Erkek öğrenciler konferansın web sitesini kendiniz hazırlamış.;kendileri;kendiniz;hazırlamış;anaphor_agreement
İnsan bu kadar baskı altında kendini bir türlü toparlayamadı.;İnsan bu kadar baskı altında kendimi bir türlü toparlayamadı.;kendini;kendimi;toparlayamadı;anaphor_agreement
Ancak kendi sınırlarını zorlamayı seven biri olarak kendimi hep daha iyisini yapmaya koşullarım.;Ancak kendi sınırlarını zorlamayı seven biri olarak kendini hep daha iyisini yapmaya koşullarım.;kendimi;kendini;koşullarım;anaphor_agreement
Onlar talimatı kendileri kimseden izin almadan vermişler.;Onlar talimatı kendimiz kimseden izin almadan vermişler.;kendileri;kendimiz;vermişler;anaphor_agreement
Kadın canını acıttığını fark edince kendini geri çekti.;Kadın canını acıttığını fark edince kendimi geri çekti.;kendini;kendimi;çekti;anaphor_agreement
Ben herkesin gözü önündeyken kendimi rahat hissedemem.;Ben herkesin gözü önündeyken kendini rahat hissedemem.;kendimi;kendini;hissedemem;anaphor_agreement
Son mezuniyet fotoğraflarını kendimiz okul meydanında çektik.;Son mezuniyet fotoğraflarını kendiniz okul meydanında çektik.;kendimiz;kendiniz;çektik;anaphor_agreement
Böylece uzun ve sağlıklı bir yaşam için kendimize daha iyi bakmaya karar verdik.;Böylece uzun ve sağlıklı bir yaşam için kendinize daha iyi bakmaya karar verdik.;kendimize;kendinize;verdik;anaphor_agreement
Mutlu uzun ve sağlıklı bir yaşam için kendimize daha iyi bakmaya karar verdik.;Mutlu uzun ve sağlıklı bir yaşam için kendinize daha iyi bakmaya karar verdik.;kendimize;kendinize;verdik;anaphor_agreement
Sonra herkes bana sırt çevirdiğinde bile kendime güvenmeye devam ettim.;Sonra herkes bana sırt çevirdiğinde bile kendine güvenmeye devam ettim.;kendime;kendine;ettim;anaphor_agreement
Sizin geçen günkü konuşmamızdan sonra kendinizi yok yere gaza getirmişsiniz.;Sizin geçen günkü konuşmamızdan sonra kendimizi yok yere gaza getirmişsiniz.;kendinizi;kendimizi;getirmişsiniz;anaphor_agreement
Ve i̇leriye hazırlık için işleri kendim görüyorum.;Ve i̇leriye hazırlık için işleri kendin görüyorum.;kendim;kendin;görüyorum;anaphor_agreement
Kadın haksız olduğunu kabul etmek istemediği için kendini canhıraş savundu.;Kadın haksız olduğunu kabul etmek istemediği için kendimi canhıraş savundu.;kendini;kendimi;savundu;anaphor_agreement
Sınavdan düşük not alınca kendini çok başarısız hissetti.;Sınavdan düşük not alınca kendimi çok başarısız hissetti.;kendini;kendimi;hissetti;anaphor_agreement
O i̇lk kitabımı kendim her türlü maddi sıkıntıyı göze alarak bastırdım.;O i̇lk kitabımı kendi her türlü maddi sıkıntıyı göze alarak bastırdım.;kendim;kendi;bastırdım;anaphor_agreement
Ayrıca düğün fotoğraflarını kendimiz fotoğrafçı tutmadan çektik.;Ayrıca düğün fotoğraflarını kendiniz fotoğrafçı tutmadan çektik.;kendimiz;kendiniz;çektik;anaphor_agreement
Ben senaryoyu vermeden önce kendim yapımcıyla görüştüm.;Ben senaryoyu vermeden önce kendi yapımcıyla görüştüm.;kendim;kendi;görüştüm;anaphor_agreement
Ve gün içinde stres seviyesini azaltmak için kendime olumlu şeyler telkin ediyorum.;Ve gün içinde stres seviyesini azaltmak için kendine olumlu şeyler telkin ediyorum.;kendime;kendine;ediyorum;anaphor_agreement
Ve her şeye böyle evet dedikçe kendinizi hiç olmayacak işlerin içinde bulursunuz.;Ve her şeye böyle evet dedikçe kendimizi hiç olmayacak işlerin içinde bulursunuz.;kendinizi;kendimizi;bulursunuz;anaphor_agreement
Ama bu kadar sert eleştirildikten sonra kendini değersiz hissetmeye başladı.;Ama bu kadar sert eleştirildikten sonra kendimi değersiz hissetmeye başladı.;kendini;kendimi;başladı;anaphor_agreement
Sonra başkalarına yardım edebilmek için kendine öncelik vermelisin.;Sonra başkalarına yardım edebilmek için kendime öncelik vermelisin.;kendine;kendime;vermelisin;anaphor_agreement
Çünkü malum olaydan beri kendimi ona karşı mahcup hissediyorum.;Çünkü malum olaydan beri kendini ona karşı mahcup hissediyorum.;kendimi;kendini;hissediyorum;anaphor_agreement
Çok yoğun antrenman temposu yüzünden eve gelince kendimi çok yorgun hissediyorum.;Çok yoğun antrenman temposu yüzünden eve gelince kendini çok yorgun hissediyorum.;kendimi;kendini;hissediyorum;anaphor_agreement
Olayın sorumlusu ben olduğum için kendini açıklamak zorunda değilsin.;Olayın sorumlusu ben olduğum için kendimi açıklamak zorunda değilsin.;kendini;kendimi;değilsin;anaphor_agreement
Ben kendi sınırlarını zorlamayı seven biri olarak kendimi hep daha iyisini yapmaya koşullarım.;Ben kendi sınırlarını zorlamayı seven biri olarak kendini hep daha iyisini yapmaya koşullarım.;kendimi;kendini;koşullarım;anaphor_agreement
• i̇leriye hazırlık için işleri kendim görüyorum.;• i̇leriye hazırlık için işleri kendin görüyorum.;kendim;kendin;görüyorum;anaphor_agreement
Bundan i̇leriye hazırlık için işleri kendim görüyorum.;Bundan i̇leriye hazırlık için işleri kendin görüyorum.;kendim;kendin;görüyorum;anaphor_agreement
İkinci sınavdan düşük not alınca kendini çok başarısız hissetti.;İkinci sınavdan düşük not alınca kendimi çok başarısız hissetti.;kendini;kendimi;hissetti;anaphor_agreement
Bugün yoğun antrenman temposu yüzünden eve gelince kendimi çok yorgun hissediyorum.;Bugün yoğun antrenman temposu yüzünden eve gelince kendini çok yorgun hissediyorum.;kendimi;kendini;hissediyorum;anaphor_agreement
Sosyal baskıdan etkilenmemek için kendimize daha fazla güvenmeliyiz.;Sosyal baskıdan etkilenmemek için kendinize daha fazla güvenmeliyiz.;kendimize;kendinize;güvenmeliyiz;anaphor_agreement
Uzun ve sağlıklı bir yaşam için kendimize daha iyi bakmaya karar verdik.;Uzun ve sağlıklı bir yaşam için kendinize daha iyi bakmaya karar verdik.;kendimize;kendinize;verdik;anaphor_agreement
Ve annem mağazadan almak yerine kendi evde dikti.;Ve annem mağazadan almak yerine kendim evde dikti.;kendi;kendim;dikti;anaphor_agreement
İnsanlar zor zamanlardan geçtiği için bu aralar kendine iyi davranıyor.;İnsanlar zor zamanlardan geçtiği için bu aralar kendine iyi davranıyor.;kendine;kendine;davranıyor;anaphor_agreement
Çocuk yeni bir ortama girerken kendini ilk etapta çekingen hisseder.;Çocuk yeni bir ortama girerken kendimi ilk etapta çekingen hisseder.;kendini;kendimi;hisseder;anaphor_agreement
Yanlış anlaşılınca kendimi açıklamak zorunda kaldım.;Yanlış anlaşılınca kendini açıklamak zorunda kaldım.;kendimi;kendini;kaldım;anaphor_agreement
Ben kendi sınırlarını zorlamayı seven biri olarak kendimi hep daha iyisini yapmaya koşullarım.;Ben kendi sınırlarını zorlamayı seven biri olarak kendini hep daha iyisini yapmaya koşullarım.;kendimi;kendini;koşullarım;anaphor_agreement
Fakat bütün çabalara rağmen sonuç değişmeyince kendimizi çaresiz hissettik.;Fakat bütün çabalara rağmen sonuç değişmeyince kendinizi çaresiz hissettik.;kendimizi;kendinizi;hissettik;anaphor_agreement
Öncelikle yoğun antrenman temposu yüzünden eve gelince kendimi çok yorgun hissediyorum.;Öncelikle yoğun antrenman temposu yüzünden eve gelince kendini çok yorgun hissediyorum.;kendimi;kendini;hissediyorum;anaphor_agreement
