good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Kız ablasına hediyeyi hiç beklemeden verdi sanıyor.,Kız ablasından hediyeyi hiç beklemeden verdi sanıyor.,ablasına,ablasından,verdi,argument_structure,ditransitive
Doğum günüm diye barmen bana bira ısmarladı sanıyor.,Doğum günüm diye barmen beni bira ısmarladı sanıyor.,bana,beni,ısmarladı,argument_structure,ditransitive
Küçük çocuk annesine vitrindeki oyuncağı gösterdi sanıyor.,Küçük çocuk annesini vitrindeki oyuncağı gösterdi sanıyor.,annesine,annesini,gösterdi,argument_structure,ditransitive
Babam bugün markette ilkokul öğretmenime rastlamış sanıyor.,Babam bugün marketi ilkokul öğretmenime rastlamış sanıyor.,markette,marketi,rastlamış,argument_structure,ditransitive
Annem kekin içine biraz tarçın koyar sanıyor.,Annem kekin içini biraz tarçın koyar sanıyor.,içine,içini,koyar,argument_structure,ditransitive
Dün gece oğlanı apar topar hastaneye götürdük sanıyor.,Dün gece oğlana apar topar hastaneye götürdük sanıyor.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Asistanı dosyaları masasına getirdi sanıyor.,Asistanı dosyalarla masasına getirdi sanıyor.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Takı töreninde damadın yakasına çeyrek altın taktılar sanıyor.,Takı töreninde damadın yakasını çeyrek altın taktılar sanıyor.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Üzerime koca bir fincan kahveyi döktüm sanıyor.,Üzerimde koca bir fincan kahveyi döktüm sanıyor.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Yanlış politikalar halkı yoksulluğa mahkum etti sanıyor.,Yanlış politikalar halkla yoksulluğa mahkum etti sanıyor.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Mahalledeki çocuklar dükkanın camına yine top atıyor sanıyor.,Mahalledeki çocuklar dükkanın camını yine top atıyor sanıyor.,camına,camını,atıyor,argument_structure,ditransitive
Dün ekmeği ben aldığım için annem bakkala kardeşimi yolladı sanıyor.,Dün ekmeği ben aldığım için annem bakkalda kardeşimi yolladı sanıyor.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Evlerinin bahçesine zeytin ağacı dikmişler sanıyor.,Evlerinin bahçesinden zeytin ağacı dikmişler sanıyor.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Belki sana bu konudaki fikirlerinden bahsetmiştir sanıyor.,Belki seni bu konudaki fikirlerinden bahsetmiştir sanıyor.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Yıllardır kendini sadece işine adamış sanıyor.,Yıllardır kendinden sadece işine adamış sanıyor.,kendini,kendinden,adamış,argument_structure,ditransitive
Bu ödülü düzen bozan kadınlara ithaf ediyorum sanıyor.,Bu ödüle düzen bozan kadınlara ithaf ediyorum sanıyor.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki vestiyere astı sanıyor.,Ayakkabılarını çıkarıp paltosuna girişteki vestiyere astı sanıyor.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Küçükken ekmeğimi hep salatanın suyuna banardım sanıyor.,Küçükken ekmeğimde hep salatanın suyuna banardım sanıyor.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın dalına bağladı sanıyor.,Dileklerini yazdığı kağıda bir ağacın dalına bağladı sanıyor.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta ununa bulayın sanıyor.,Kılçıklarını temizlediğiniz mezgite galeta ununa bulayın sanıyor.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Öğretmen öğrencilere yeni konuyu anlattı sanıyor.,Öğretmen öğrencileri yeni konuyu anlattı sanıyor.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Çocuk babasına en sevdiği oyuncağı verdi sanıyor.,Çocuk babasını en sevdiği oyuncağı verdi sanıyor.,babasına,babasını,verdi,argument_structure,ditransitive
Arkadaşım bana doğum günü hediyesi aldı sanıyor.,Arkadaşım beni doğum günü hediyesi aldı sanıyor.,bana,beni,aldı,argument_structure,ditransitive
Garson müşterilere yemekleri servis etti sanıyor.,Garson müşterileri yemekleri servis etti sanıyor.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Şirket çalışanlarına yeni görevler verdi sanıyor.,Şirket çalışanlarını yeni görevler verdi sanıyor.,çalışanlarına,çalışanlarını,verdi,argument_structure,ditransitive
