good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Hediyesine resmen bayıldı Eda.,Hediyesini resmen bayıldı Eda.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Internette her okuduğun şeye körü körüne inanma sen.,Internette her okuduğun şeyi körü körüne inanma sen.,şeye,şeyi,inanma,argument_structure,transitive
Eşimin zevkine çok güvenirim ben.,Eşimin zevkini çok güvenirim ben.,zevkine,zevkini,güvenirim,argument_structure,transitive
Sana artık sadece acıyorum ben.,Seni artık sadece acıyorum ben.,sana,seni,acıyorum,argument_structure,transitive
Yaşlı hastayla özel olarak ilgileniyor hemşire hanım.,Yaşlı hastayı özel olarak ilgileniyor hemşire hanım.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Sıra arkadaşından baya hoşlanıyormuş bizim ufaklık.,Sıra arkadaşını baya hoşlanıyormuş bizim ufaklık.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Erken seçimde ısrar ediyor muhalefet partisi.,Erken seçimi ısrar ediyor muhalefet partisi.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Yaşlı kadınla resmen alay etti saygısız çalışan.,Yaşlı kadına resmen alay etti saygısız çalışan.,kadınla,kadına,alay etti,argument_structure,transitive
Senin bu hallerinden bıktım ben.,Senin bu hallerine bıktım ben.,hallerinden,hallerine,bıktım,argument_structure,transitive
Balayı için Urla'da karar kılmışlar onlar.,Balayı için Urla'ya karar kılmışlar onlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Bu konuya çok kafa yordum ben.,Bu konuyu çok kafa yordum ben.,konuya,konuyu,yordum,argument_structure,transitive
Seni bütün gün düşündüm ben.,Senden bütün gün düşündüm ben.,seni,senden,düşündüm,argument_structure,transitive
Bu şarkıya bayılıyorum ben.,Bu şarkıyı bayılıyorum ben.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Arkadaşımın doğum gününü unuttum ben.,Arkadaşımın doğum gününe unuttum ben.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Size yarın de gelirim ben.,Sizi yarın de gelirim ben.,size,sizi,gelirim,argument_structure,transitive
Bu habere çok sevindim ben.,Bu haberi çok sevindim ben.,habere,haberi,sevindim,argument_structure,transitive
Balkondan düştü kedim.,Balkonu düştü kedim.,balkondan,balkonu,düştü,argument_structure,transitive
Bana her zaman destek olur annem.,Beni her zaman destek olur annem.,bana,beni,destek olur,argument_structure,transitive
Bize çok kızdı öğretmenimiz.,Bizi çok kızdı öğretmenimiz.,bize,bizi,kızdı,argument_structure,transitive
Bu filme bayılıyoruz biz.,Bu filmi bayılıyoruz biz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Bu şehri çok seviyorum ben.,Bu şehre çok seviyorum ben.,şehri,şehre,seviyorum,argument_structure,transitive
Bu gözlüğü çok beğendim ben.,Bu gözlüğe çok beğendim ben.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Yeni bir hobiye başladık biz.,Yeni bir hobiyi başladık biz.,hobiye,hobiyi,başladık,argument_structure,transitive
Bu öneriye sıcak baktı Kerem.,Bu öneriyi sıcak baktı Kerem.,öneriye,öneriyi,baktı,argument_structure,transitive
Komşularımla iyi geçiniyorum ben.,Komşularımı iyi geçiniyorum ben.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Bu kitap serisine bayıldım ben.,Bu kitap serisini bayıldım ben.,serisine,serisini,bayıldım,argument_structure,transitive
Onun doğruyu söylediğine inanıyorum ben.,Onun doğruyu söylediğini inanıyorum ben.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
