good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Kız hediyeyi ablasına hiç beklemeden verdi.,Kız hediyeyi ablasından hiç beklemeden verdi.,ablasına,ablasından,verdi,argument_structure,ditransitive
Barmen doğum günü diye kıza ilk birasını ısmarladı.,Barmen doğum günü diye kızı ilk birasını ısmarladı.,kıza,kızı,ısmarladı,argument_structure,ditransitive
Küçük çocuk vitrindeki oyuncağı annesine gösterdi.,Küçük çocuk vitrindeki oyuncağı annesini gösterdi.,annesine,annesini,gösterdi,argument_structure,ditransitive
Babam bugün markette ilkokul öğretmenime rastlamış.,Babam bugün marketi ilkokul öğretmenime rastlamış.,markette,marketi,rastlamış,argument_structure,ditransitive
Annem tarçını kekin içine koyar.,Annem tarçını kekin içini koyar.,içine,içini,koyar,argument_structure,ditransitive
Biz oğlanı dün gece apar topar hastaneye götürdük.,Biz oğlana dün gece apar topar hastaneye götürdük.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Asistan dosyaları masasına getirdi.,Asistan dosyalarla masasına getirdi.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Onlar çeyrek altını damadın yakasına taktılar.,Onlar çeyrek altını damadın yakasını taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Ben koca bir fincan kahveyi üzerime döktüm.,Ben koca bir fincan kahveyi üzerimde döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Yanlış politikalar halkı yoksulluğa mahkum etti.,Yanlış politikalar halkla yoksulluğa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Mahalledeki çocuklar yine topu dükkanın camına atıyor.,Mahalledeki çocuklar yine topu dükkanın camını atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Annem dün ekmeği ben aldığım için kardeşimi bakkala yolladı.,Annem dün ekmeği ben aldığım için kardeşimi bakkalda yolladı.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
