good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Ben kurabiyeleri pişirdim ve soğumaya bıraktım.;Ben kurabiyeleri pişir ve soğumaya bıraktım.;pişirdim;pişir;bıraktım;suspended_affixation
Sabah kahvaltı hazırladı ve ailesiyle zaman geçirdi.;Sabah kahvaltı hazırla ve ailesiyle zaman geçirdi.;hazırladı;hazırla;geçirdi;suspended_affixation
Ardından ders notlarını temize çektim ve gruba attım.;Ardından ders notlarını temize çek ve gruba attım.;çektim;çek;attım;suspended_affixation
Herkes uçağa bindiler ve memlekete gittiler.;Herkes uçağa bin ve memlekete gittiler.;bindiler;bin;gittiler;suspended_affixation
Ben telefonu şarja koydum ve biraz dolunca açtım.;Ben telefonu şarja koy ve biraz dolunca açtım.;koydum;koy;açtım;suspended_affixation
Ben kapıyı açtım ve misafirleri karşıladım.;Ben kapıyı aç ve misafirleri karşıladım.;açtım;aç;karşıladım;suspended_affixation
Bu sabah ufaklığı bakkala gönderdim ve taze ekmek aldırdım.;Bu sabah ufaklığı bakkala gönder ve taze ekmek aldırdım.;gönderdim;gönder;aldırdım;suspended_affixation
Kitapları düzenlediler ve raflara yerleştirdiler.;Kitapları düzenle ve raflara yerleştirdiler.;düzenlediler;düzenle;yerleştirdiler;suspended_affixation
Sonra konser bileti aldım ve arkadaşıma haber verdim.;Sonra konser bileti al ve arkadaşıma haber verdim.;aldım;al;verdim;suspended_affixation
Biz çocuklara masal okudum ve uyuttum.;Biz çocuklara masal oku ve uyuttum.;okudum;oku;uyuttum;suspended_affixation
Sonra arabanın lastiklerini değiştirdim ve balans ayarı yaptırdım.;Sonra arabanın lastiklerini değiştir ve balans ayarı yaptırdım.;değiştirdim;değiştir;yaptırdım;suspended_affixation
Kadın kıyafetleri ütüledi ve oğluna verdi.;Kadın kıyafetleri ütüle ve oğluna verdi.;ütüledi;ütüle;verdi;suspended_affixation
Bu yemeği ısıttım ve yedim.;Bu yemeği ısıt ve yedim.;ısıttım;ısıt;yedim;suspended_affixation
Bende dün pazara uğradım ve bir sürü sebze aldım.;Bende dün pazara uğra ve bir sürü sebze aldım.;uğradım;uğra;aldım;suspended_affixation
Evde spor yaptım ve duş aldım.;Evde spor yap ve duş aldım.;yaptım;yap;aldım;suspended_affixation
2 kurabiye pişirdim ve komşulara dağıttım.;2 kurabiye pişir ve komşulara dağıttım.;pişirdim;pişir;dağıttım;suspended_affixation
Ben çok çalıştım ve sınavı geçtim.;Ben çok çalış ve sınavı geçtim.;çalıştım;çalış;geçtim;suspended_affixation
Dün trafikte sıkıştım ve geç kaldım.;Dün trafikte sıkış ve geç kaldım.;sıkıştım;sıkış;kaldım;suspended_affixation
Bu kitapları düzenlediler ve raflara yerleştirdiler.;Bu kitapları düzenle ve raflara yerleştirdiler.;düzenlediler;düzenle;yerleştirdiler;suspended_affixation
Kurabiye pişirdim ve komşulara dağıttım.;Kurabiye pişir ve komşulara dağıttım.;pişirdim;pişir;dağıttım;suspended_affixation
Bir sabah ufaklığı bakkala gönderdim ve taze ekmek aldırdım.;Bir sabah ufaklığı bakkala gönder ve taze ekmek aldırdım.;gönderdim;gönder;aldırdım;suspended_affixation
Diğer arkadaşlarımla buluştuk ve sinemaya gittik.;Diğer arkadaşlarımla buluş ve sinemaya gittik.;buluştuk;buluş;gittik;suspended_affixation
Uluslararası festivale yüksek katılım sağlandı ve yoğun ilgi gösterildi.;Uluslararası festivale yüksek katılım sağlan ve yoğun ilgi gösterildi.;sağlandı;sağlan;gösterildi;suspended_affixation
Ben raporu inceledim ve onayladım.;Ben raporu incele ve onayladım.;inceledim;incele;onayladım;suspended_affixation
İlk konsere gittim ve çok eğlendim.;İlk konsere git ve çok eğlendim.;gittim;git;eğlendim;suspended_affixation
