good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Eda'nın hediyesine resmen bayıldığını sanıyor.,Eda'nın hediyesini resmen bayıldığını sanıyor.,hediyesine,hediyesini,bayıldığını,argument_structure,transitive
İnternette her okuduğun şeye körü körüne inanmadığını sanıyor.,İnternette her okuduğun şeyi körü körüne inanmadığını sanıyor.,şeye,şeyi,inanmadığını,argument_structure,transitive
Eşimin zevkine çok güvendiğimi sanıyor.,Eşimin zevkini çok güvendiğimi sanıyor.,zevkine,zevkini,güvendiğimi,argument_structure,transitive
Benim artık sana sadece acıdığımı sanıyor.,Benim artık seni sadece acıdığımı sanıyor.,sana,seni,acıdığımı,argument_structure,transitive
Hemşire hanımın yaşlı hastayla özel olarak ilgilendiğini sanıyor.,Hemşire hanımın yaşlı hastayı özel olarak ilgilendiğini sanıyor.,hastayla,hastayı,ilgilendiğini,argument_structure,transitive
Bizim ufaklığın sıra arkadaşından baya hoşlandığını sanıyor.,Bizim ufaklığın sıra arkadaşını baya hoşlandığını sanıyor.,arkadaşından,arkadaşını,hoşlandığını,argument_structure,transitive
Muhalefet partisinin erken seçimde hala ısrar ettiğini sanıyor.,Muhalefet partisinin erken seçimi hala ısrar ettiğini sanıyor.,seçimde,seçimi,ısrar ettiğini,argument_structure,transitive
Saygısız çalışanın yaşlı kadınla resmen alay ettiğini sanıyor.,Saygısız çalışanın yaşlı kadına resmen alay ettiğini sanıyor.,kadınla,kadına,alay ettiğini,argument_structure,transitive
Senin bu hallerinden bıktığımı sanıyor.,Senin bu hallerine bıktığımı sanıyor.,hallerinden,hallerine,bıktığımı,argument_structure,transitive
Balayı için Urla'da karar kıldıklarını sanıyor.,Balayı için Urla'ya karar kıldıklarını sanıyor.,Urla'da,Urla'ya,karar kıldıklarını,argument_structure,transitive
Bu konuya çok kafa yorduğumu sanıyor.,Bu konuyu çok kafa yorduğumu sanıyor.,konuya,konuyu,yorduğumu,argument_structure,transitive
Bütün gün seni düşündüğümü sanıyor.,Bütün gün senden düşündüğümü sanıyor.,seni,senden,düşündüğümü,argument_structure,transitive
Bu şarkıya bayıldığımı sanıyor.,Bu şarkıyı bayıldığımı sanıyor.,şarkıya,şarkıyı,bayıldığımı,argument_structure,transitive
Arkadaşımın doğum gününü unuttuğumu sanıyor.,Arkadaşımın doğum gününe unuttuğumu sanıyor.,doğum gününü,doğum gününe,unuttuğumu,argument_structure,transitive
Yarın size de geleceğimi sanıyor.,Yarın sizi de geleceğimi sanıyor.,size,sizi,geleceğimi,argument_structure,transitive
Bu habere çok sevindiğimi sanıyor.,Bu haberi çok sevindiğimi sanıyor.,habere,haberi,sevindiğimi,argument_structure,transitive
Kedimin balkondan düştüğünü sanıyor.,Kedimin balkonu düştüğünü sanıyor.,balkondan,balkonu,düştüğünü,argument_structure,transitive
Annemin her zaman bana destek olduğunu sanıyor.,Annemin her zaman beni destek olduğunu sanıyor.,bana,beni,olduğunu,argument_structure,transitive
Öğretmenimizin bize çok kızdığını sanıyor.,Öğretmenimizin bizi çok kızdığını sanıyor.,bize,bizi,kızdığını,argument_structure,transitive
Bu filme bayıldığımızı sanıyor.,Bu filmi bayıldığımızı sanıyor.,filme,filmi,bayıldığımızı,argument_structure,transitive
Bu şehri çok sevdiğimi sanıyor.,Bu şehre çok sevdiğimi sanıyor.,şehri,şehre,sevdiğimi,argument_structure,transitive
Bu gözlüğü çok beğendiğimi sanıyor.,Bu gözlüğe çok beğendiğimi sanıyor.,gözlüğü,gözlüğe,beğendiğimi,argument_structure,transitive
Yeni bir hobiye başladığımızı sanıyor.,Yeni bir hobiyi başladığımızı sanıyor.,hobiye,hobiyi,başladığımızı,argument_structure,transitive
Bu öneriye sıcak baktığını sanıyor.,Bu öneriyi sıcak baktığını sanıyor.,öneriye,öneriyi,baktığını,argument_structure,transitive
Komşularımla iyi geçindiğimi sanıyor.,Komşularımı iyi geçindiğimi sanıyor.,komşularımla,komşularımı,geçindiğimi,argument_structure,transitive
Bu kitap serisine bayıldığımı sanıyor.,Bu kitap serisini bayıldığımı sanıyor.,serisine,serisini,bayıldığımı,argument_structure,transitive
Onun doğruyu söylediğine inandığımı sanıyor.,Onun doğruyu söylediğini inandığımı sanıyor.,söylediğine,söylediğini,inandığımı,argument_structure,transitive
