good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Bu bitkiler susuz kalınca ölür.;Bu bitkiler susuz kalınca öler.;ölür;öler;-;irregular_forms
Fransız bilim insanları mikroskop altında hücreyi görür.;Fransız bilim insanları mikroskop altında hücreyi görer.;görür;görer;-;irregular_forms  
Bir polis şüpheli aracı görünce durur.;Bir polis şüpheli aracı görünce durar.;durur;durar;-;irregular_forms
Kız öğrenciler sınavda zor soruları görünce şaşırır ama çalışanlar hepsini bilir.;Kız öğrenciler sınavda zor soruları görünce şaşırır ama çalışanlar hepsini biler.;bilir;biler;-;irregular_forms  
Bu memlekete her döndüğünde ilk iş babaannesini görür.;Bu memlekete her döndüğünde ilk iş babaannesini görer.;görür;görer;-;irregular_forms
7 yönetici toplantıda son kararı verir.;7 yönetici toplantıda son kararı verer.;verir;verer;-;irregular_forms  
İki müzisyen kalabalığı her akşam görür.;İki müzisyen kalabalığı her akşam görer.;görür;görer;-;irregular_forms
İşte bu ağaçlar sonbaharda yapraklarını dökmeyip yeşil kalır.;İşte bu ağaçlar sonbaharda yapraklarını dökmeyip yeşil kalar.;kalır;kalar;-;irregular_forms  
Bir uygulamayı açınca hesap bakiyesini görür.;Bir uygulamayı açınca hesap bakiyesini görer.;görür;görer;-;irregular_forms
Bir çocuk kaybolan köpeğini parkta bulur.;Bir çocuk kaybolan köpeğini parkta bular.;bulur;bular;-;irregular_forms
Bir doğum gününde güzel hediyeler gelir.;Bir doğum gününde güzel hediyeler geler.;gelir;geler;-;irregular_forms  
2. parkuru ilk bitiren şampiyon olur.;2. parkuru ilk bitiren şampiyon olar.;olur;olar;-;irregular_forms
Film festivaline gitmek için harçlıklarını biriktip bilet alır.;Film festivaline gitmek için harçlıklarını biriktip bilet alar.;alır;alar;-;irregular_forms
Bu konserde sahneyi iyi görmek için ön sırada durur.;Bu konserde sahneyi iyi görmek için ön sırada durar.;durur;durar;-;irregular_forms
Hazi define avcısı haritada gösterilen yerleri kazar ve hazineyi bulur.;Hazi define avcısı haritada gösterilen yerleri kazar ve hazineyi bular.;bulur;bular;-;irregular_forms
Bu postacı her sabah erken gelir.;Bu postacı her sabah erken geler.;gelir;geler;-;irregular_forms
Kız anneleri çocuklara aldığı oyuncakları verir.;Kız anneleri çocuklara aldığı oyuncakları verer.;verir;verer;-;irregular_forms
Gerçek aşçı yemeğin tadına bakınca bilir.;Gerçek aşçı yemeğin tadına bakınca biler.;bilir;biler;-;irregular_forms
2 uçak yoğun sis nedeniyle muhtemelen geç varır.;2 uçak yoğun sis nedeniyle muhtemelen geç varar.;varır;varar;-;irregular_forms  
Evet anneannem her pazar bize gelir.;Evet anneannem her pazar bize geler.;gelir;geler;-;irregular_forms
Yeni otobüs şehir merkezine her saat başı varır.;Yeni otobüs şehir merkezine her saat başı varar.;varır;varar;-;irregular_forms
Doğru kaptan doğru rotayı her zaman bilir.;Doğru kaptan doğru rotayı her zaman biler.;bilir;biler;-;irregular_forms
Milli futbolcu penaltı atarken topa sert vurur.;Milli futbolcu penaltı atarken topa sert vurar.;vurur;vurar;-;irregular_forms
İşte doktor hastayı muayene edince görür.;İşte doktor hastayı muayene edince görer.;görür;görer;-;irregular_forms
5. müşteri sipariş bedelini kapıda nakit olarak verir.;5. müşteri sipariş bedelini kapıda nakit olarak verer.;verir;verer;-;irregular_forms  
O her hafta bizimle okey oynamaya gelir.;O her hafta bizimle okey oynamaya geler.;gelir;geler;-;irregular_forms
Her şef yemeğin tadına bakınca eksikleri bilir.;Her şef yemeğin tadına bakınca eksikleri biler.;bilir;biler;-;irregular_forms
Küçük kuşlar kış gelince güneye gitmez burada kalır.;Küçük kuşlar kış gelince güneye gitmez burada kalar.;kalır;kalar;-;irregular_forms
Benim anneannem her pazar bize gelir.;Benim anneannem her pazar bize geler.;gelir;geler;-;irregular_forms
Bir balıkçı ağını denizden alır.;Bir balıkçı ağını denizden alar.;alır;alar;-;irregular_forms
Her kaptan pusula kullanmadan yönü bilir.;Her kaptan pusula kullanmadan yönü biler.;bilir;biler;-;irregular_forms  
