good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Sadece biz nöroplastisite araştırmalarına fon sağlıyoruz.;Sadece siz nöroplastisite araştırmalarına fon sağlıyoruz.;Biz;Siz;sağlıyoruz;subject_verb_agreement
Ve biz bu projeyi tamamladık.;Ve siz bu projeyi tamamladık.;Biz;Siz;tamamladık;subject_verb_agreement
Artık onlar bu sefer hiç zorlanmadılar.;Artık o bu sefer hiç zorlanmadılar.;Onlar;O;zorlanmadılar;subject_verb_agreement
Yalnız biz bu filmi daha önce izlemiştik.;Yalnız onlar bu filmi daha önce izlemiştik.;Biz;Onlar;izlemiştik;subject_verb_agreement
Ama ben bu oyunu daha önce oynamadım.;Ama o bu oyunu daha önce oynamadım.;Ben;O;oynamadım;subject_verb_agreement
Ama siz bu kararı tek başınıza almamalıydınız.;Ama biz bu kararı tek başınıza almamalıydınız.;Siz;Biz;almamalıydınız;subject_verb_agreement
Diğer yöneticiler bu durumu görüşmek üzere toplandılar.;Diğer yönetici bu durumu görüşmek üzere toplandılar.;Yöneticiler;Yönetici;toplandılar;subject_verb_agreement
Şimdi ben bu problemi çözdüm.;Şimdi o bu problemi çözdüm.;Ben;O;çözdüm;subject_verb_agreement
Küçük arılar çiçeklerin etrafında uçuşuyorlar.;Küçük arı çiçeklerin etrafında uçuşuyorlar.;Arılar;Arı;uçuşuyorlar;subject_verb_agreement
Büyük çocuklar parkta oyun oynuyorlar.;Büyük çocuk parkta oyun oynuyorlar.;Çocuklar;Çocuk;oynuyorlar;subject_verb_agreement
İşte biz tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.;İşte sen tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.;Biz;Sen;unutmuşuz;subject_verb_agreement
Beyaz arılar çiçeklerin etrafında uçuşuyorlar.;Beyaz arı çiçeklerin etrafında uçuşuyorlar.;Arılar;Arı;uçuşuyorlar;subject_verb_agreement
Şimdi ben bu filmi izledim.;Şimdi biz bu filmi izledim.;Ben;Biz;izledim;subject_verb_agreement
Sonra ben bu problemi çözdüm.;Sonra o bu problemi çözdüm.;Ben;O;çözdüm;subject_verb_agreement
Ayrıca askerler gece nöbet tutuyorlar.;Ayrıca asker gece nöbet tutuyorlar.;Askerler;Asker;tutuyorlar;subject_verb_agreement
Yok ben bu şarkıyı ezbere biliyorum.;Yok biz bu şarkıyı ezbere biliyorum.;Ben;Biz;biliyorum;subject_verb_agreement
Halbuki onlar dün akşam konsere gitmişler.;Halbuki sen dün akşam konsere gitmişler.;Onlar;Sen;gitmişler;subject_verb_agreement
