good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Ve sizin de açılışa katılmanızı çok isteriz.;Ve sizin de katılmanızı açılışa çok isteriz.;açılışa katılmanızı;katılmanızı açılışa;-;scrambling
Ve çiftçilerin gerekli hazırlıkları tamamladığını söylediler.;Ve çiftçilerin tamamladığını gerekli hazırlıkları söylediler.;gerekli hazırlıkları tamamladığını;tamamladığını gerekli hazırlıkları;-;scrambling
Erdoğan belediye başkanının şehir planını revize ettiğini açıkladı.;Erdoğan belediye başkanının ettiğini şehir planını revize açıkladı.;şehir planını revize ettiğini;ettiğini şehir planını revize;-;scrambling
Ayrıca öğrencilerin kütüphanedeki kitapları incelediğini fark ettik.;Ayrıca öğrencilerin incelediğini kütüphanedeki kitapları fark ettik.;kütüphanedeki kitapları incelediğini;incelediğini kütüphanedeki nadir kitapları;-;scrambling
Ve çocukların oyuncakları paylaşmasını izledim.;Ve çocukların paylaşmasını oyuncakları izledim.;oyuncakları paylaşmasını;paylaşmasını oyuncakları;-;scrambling
Çocukların parktaki salıncağı kırdığını gördük.;Çocukların kırdığını parktaki salıncağı gördük.;parktaki salıncağı kırdığını;kırdığını parktaki salıncağı;-;scrambling
Polis hizmetlinin odasını topladığını söyledi.;Polis hizmetlinin topladığını odasını söyledi.;odasını topladığını;topladığını odasını;-;scrambling  
Ve çocukların topu kaçırdığını gördük.;Ve çocukların kaçırdığını topu gördük.;topu kaçırdığını;kaçırdığını topu;-;scrambling  
Anne kızın kedisini sevmesine izin verdi.;Anne kızın sevmesine kedisini izin verdi.;kedisini sevmesine;sevmesine kedisini;-;scrambling 
O kızın kedisini sevmesine izin verdi.;O kızın sevmesine kedisini izin verdi.;kedisini sevmesine;sevmesine kedisini;-;scrambling 
Diğer çocukların duvarı boyadığını gördüm.;Diğer çocukların boyadığını duvarı gördüm.;duvarı boyadığını;boyadığını duvarı;-;scrambling
Ve köpeğin komşunun bahçesini kazdığını gördüm.;Ve köpeğin kazdığını komşunun bahçesini gördüm.;komşunun bahçesini kazdığını;kazdığını komşunun bahçesini;-;scrambling  
Yine mimarın proje için gerekli izinleri aldığını öğrendik.;Yine mimarın aldığını proje için gerekli izinleri öğrendik.;proje için gerekli izinleri aldığını;aldığını proje için gerekli izinleri;-;scrambling
Burada i̇şçilerin bahçedeki ağacı budamasını izlediler.;Burada i̇şçilerin budamasını bahçedeki ağacı izlediler.;bahçedeki ağacı budamasını;budamasını bahçedeki ağacı;-;scrambling
İl müdürün yeni kararları açıkladığını bildirdi.;İl müdürün açıkladığını yeni kararları bildirdi.;yeni kararları açıkladığını;açıkladığını yeni kararları;-;scrambling
Koca kızının resim yaptığını bile bilmiyormuş.;Koca kızının yaptığını resim bile bilmiyormuş;resim yaptığını;yaptığını resim;-;scrambling  
Ardından eylemcilerin alanı temizlediğini gördük.;Ardından eylemcilerin temizlediğini alanı gördük.;alanı temizlediğini;temizlediğini alanı;-;scrambling
CHP belediye başkanının şehir planını revize ettiğini açıkladı.;CHP belediye başkanının ettiğini şehir planını revize açıkladı.;şehir planını revize ettiğini;ettiğini şehir planını revize;-;scrambling
Sayın müdürün kararı açıkladığını duydum.;Sayın müdürün açıkladığını kararı duydum.;kararı açıkladığını;açıkladığını kararı;-;scrambling  
Ama babaaannem üniversiteyi kazanmana çok sevinmiş.;Ama babaaannem kazanmana üniversiteyi çok sevinmiş.;üniversiteyi kazanmana;kazanmana üniversiteyi;-;scrambling
Genç i̇şçilerin bahçedeki ağacı budamasını izlediler.;Genç i̇şçilerin budamasını bahçedeki ağacı izlediler.;bahçedeki ağacı budamasını;budamasını bahçedeki ağacı;-;scrambling
Kız kardeşinin doğruyu söylediğine inanıyor.;Kız kardeşinin söylediğine doğruyu inanıyor.;doğruyu söylediğine;söylediğine doğruyu;-;scrambling
Ryanair yolcuların valizlerini kaybettiğini duyurdu.;Ryanair yolcuların kaybettiğini valizlerini duyurdu.;valizlerini kaybettiğini;kaybettiğini valizlerini;-;scrambling  
Sonra hizmetlinin okul bahçesindeki ağaçları suladığını gördüm.;Sonra hizmetlinin suladığını okul bahçesindeki ağaçları gördüm.;okul bahçesindeki ağaçları suladığını;suladığını okul bahçesindeki ağaçları;-;scrambling
Kuzenimin yeni telefonunu kaybettiğini söyledi.;Kuzenimin kaybettiğini yeni telefonunu söyledi.;yeni telefonunu kaybettiğini;kaybettiğini yeni telefonunu;-;scrambling
Diğer adayların görüşmeleri başarıyla tamamladığını duydum.;Diğer adayların başarıyla tamamladığını görüşmeleri duydum.;görüşmeleri başarıyla tamamladığını;başarıyla tamamladığını görüşmeleri;-;scrambling
Genç yazarın yeni romanını bitirdiğini söyledi.;Genç yazarın bitirdiğini yeni romanını söyledi.;yeni romanını bitirdiğini;bitirdiğini yeni romanını;-;scrambling
Özellikle çocuklar bayramın gelmesini heyecanla bekliyor.;Özellikle çocuklar gelmesini bayramın heyecanla bekliyor.;bayramın gelmesini;gelmesini bayramın;-;scrambling
Ancak müşterinin faturayı ödediğini söylediler.;Ancak müşterinin ödediğini faturayı söylediler.;faturayı ödediğini;ödediğini faturayı;-;scrambling  
Burada doktorun hastayı muayene ettiğini duydum.;Burada doktorun muayene ettiğini hastayı duydum.;hastayı muayene ettiğini;muayane ettiğini hastayı;-;scrambling  
Müdürün kararı açıkladığını duydum.;Müdürün açıkladığını kararı duydum.;kararı açıkladığını;açıkladığını kararı;-;scrambling  
Bir doktorun ilacı yazdığını unutmuş.;Bir doktorun yazdığını ilacı unutmuş.;ilacı yazdığını;yazdığını ilacı;-;scrambling  
Biz dedemin tapu evraklarını bulduğunu öğrendik.;Biz dedemin bulduğunu tapu evraklarını öğrendik.;tapu evraklarını bulduğunu;bulduğunu tapu evraklarını;-;scrambling
Kız kızım oyuncağını bozmasına üzüldü.;Kız kızım bozmasına oyuncağını üzüldü.;oyuncağını bozmasına;bozmasına oyuncağını;-;scrambling  
Genç patronu arayıp bacağını kırdığını haber verdi.;Genç patronu arayıp kırdığını bacağını haber verdi.;bacağını kırdığını;kırdığını bacağını;-;scrambling
Bütün öğrencilerin laboratuvar malzemelerini temizlediğini gördüm.;Bütün öğrencilerin temizlediğini laboratuvar malzemelerini gördüm.;laboratuvar malzemelerini temizlediğini;temizlediğini laboratuvar malzemelerini;-;scrambling
Doktor doktorun ilacı yazdığını unutmuş.;Doktor doktorun yazdığını ilacı unutmuş.;ilacı yazdığını;yazdığını ilacı;-;scrambling  
Bana evde defterini unuttuğunu haber ettim.;Bana evde unuttuğunu defterini haber ettim.;defterini unuttuğunu;unuttuğunu defterini;-;scrambling
Şimdi çocuklar bayramın gelmesini heyecanla bekliyor.;Şimdi çocuklar gelmesini bayramın heyecanla bekliyor.;bayramın gelmesini;gelmesini bayramın;-;scrambling
Özel teknisyenlerin sistemi yenilediğini açıkladılar.;Özel teknisyenlerin yenilediğini sistemi açıkladılar.;sistemi yenilediğini;yenilediğini sistemi;-;scrambling
Ama polislerin hırsızın izini sürdüğünü duyduk.;Ama polislerin sürdüğünü hırsızın izini duyduk.;hırsızın izini sürdüğünü;sürdüğünü hırsızın izini;-;scrambling
Ve polislerin hırsızı yakaladığını duyduk.;Ve polislerin yakaladığını hırsızı duyduk.;hırsızı yakaladığını;yakaladığını hırsızı;-;scrambling  
Mimarın proje için gerekli izinleri aldığını öğrendik.;Mimarın aldığını proje için gerekli izinleri öğrendik.;proje için gerekli izinleri aldığını;aldığını proje için gerekli izinleri;-;scrambling
Ayrıca teknisyenlerin fabrikadaki arızayı giderdiğini bildirdiler.;Ayrıca teknisyenlerin giderdiğini fabrikadaki arızayı bildirdiler.;fabrikadaki arızayı giderdiğini;giderdiğini fabrikadaki arızayı;-;scrambling
Bütün çocukların oyuncakları paylaşmasını izledim.;Bütün çocukların paylaşmasını oyuncakları izledim.;oyuncakları paylaşmasını;paylaşmasını oyuncakları;-;scrambling
Hüseyin hasan'ın makaleyi yazdığını biliyorum.;Hüseyin hasan'ın yazdığını makaleyi biliyorum.;makaleyi yazdığını ;yazdığını makaleyi;-;scrambling
Bu çocukların topu kaçırdığını gördük.;Bu çocukların kaçırdığını topu gördük.;topu kaçırdığını;kaçırdığını topu;-;scrambling  
Sonra öğretmenin soruyu yanıtlamasını dinlediler.;Sonra öğretmenin yanıtlamasını soruyu dinlediler.;soruyu yanıtlamasını;yanıtlamasını soruyu;-;scrambling  
Baş müdürün yeni kararları açıkladığını bildirdi.;Baş müdürün açıkladığını yeni kararları bildirdi.;yeni kararları açıkladığını;açıkladığını yeni kararları;-;scrambling
Baba her sabah aynı fırından ekmek aldığını söyledi.;Baba her sabah aynı fırından aldığını ekmek söyledi.;ekmek aldığını;aldığını ekmek;-;scrambling
Okul müdürünün öğrencileri azarlamasına inanamadık.;Okul müdürünün azarlamasına öğrencileri inanamadık.;öğrencileri azarlamasına;azarlamasına öğrencileri;-;scrambling
2 köpeğin komşunun bahçesini kazdığını gördüm.;2 köpeğin kazdığını komşunun bahçesini gördüm.;komşunun bahçesini kazdığını;kazdığını komşunun bahçesini;-;scrambling  
İki çocuğun şekerleri yediğini gördüm.;İki çocuğun yediğini şekerleri gördüm.;şekerleri yediğini;yediğini şekerleri;-;scrambling
Biz sizin de açılışa katılmanızı çok isteriz.;Biz sizin de katılmanızı açılışa çok isteriz.;açılışa katılmanızı;katılmanızı açılışa;-;scrambling
Kadın kardeşimin bisikleti çaldığını itiraf etti.;Kadın kardeşimin çaldığını bisikleti itiraf etti.;bisikleti çaldığını;çaldığını bisikleti;-;scrambling  
Ardından mimarın proje için gerekli izinleri aldığını öğrendik.;Ardından mimarın aldığını proje için gerekli izinleri öğrendik.;proje için gerekli izinleri aldığını;aldığını proje için gerekli izinleri;-;scrambling
Gazete yöneticinin kararı ertelettiğini duyurdu.;Gazete yöneticinin ertelettiğini kararı duyurdu.;kararı ertelettiğini;ertelettiğini kararı;-;scrambling
Allah seni dışarıya çıkmaya ikna etmiş sonunda.;Allah seni çıkmaya dışarıya ikna etmiş sonunda.;dışarıya çıkmaya;çıkmaya dışarıya;-;scrambling
Küçük bebeğe mamasını yedirdiğini gördük.;Küçük bebeğe yedirdiğini mamasını gördük.;mamasını yedirdiğini;yedirdiğini mamasını;-;scrambling  
O kızının resim yaptığını bile bilmiyormuş.;O kızının yaptığını resim bile bilmiyormuş;resim yaptığını;yaptığını resim;-;scrambling  
Garsonun siparişleri karıştırdığını fark ettiler.;Garsonun karıştırdığını siparişleri fark ettiler.;siparişleri karıştırdığını;karıştırdığını siparişleri;-;scrambling
Ayrıca her fırsatta işini çok sevdiğini söyler.;Ayrıca her fırsatta çok sevdiğini işini söyler.;işini çok sevdiğini;çok sevdiğini işini;-;scrambling
Bir adamın yalan söylediğini anladık.;Bir adamın söylediğini yalan anladık.;yalan söylediğini;söylediğini yalan;-;scrambling  
Ama her fırsatta işini çok sevdiğini söyler.;Ama her fırsatta çok sevdiğini işini söyler.;işini çok sevdiğini;çok sevdiğini işini;-;scrambling
Kaptanın rotayı değiştirdiğini duyurdu.;Kaptanın değiştirdiğini rotayı duyurdu.;rotayı değiştirdiğini;değiştirdiğini rotayı;-;scrambling
Onlar çiftçilerin gerekli hazırlıkları tamamladığını söylediler.;Onlar çiftçilerin tamamladığını gerekli hazırlıkları söylediler.;gerekli hazırlıkları tamamladığını;tamamladığını gerekli hazırlıkları;-;scrambling
Ve çocuğun şekerleri yediğini gördüm.;Ve çocuğun yediğini şekerleri gördüm.;şekerleri yediğini;yediğini şekerleri;-;scrambling
Vali müdürün yeni çalışma saatlerini onayladığını duyurdu.;Vali müdürün onayladığını yeni çalışma saatlerini duyurdu.;yeni çalışma saatlerini onayladığını;onayladığını yeni çalışma saatlerini;-;scrambling
Ancak mimarın proje detaylarını değiştirdiğini öğrendik.;Ancak mimarın değiştirdiğini proje detaylarını öğrendik.;proje detaylarını değiştirdiğini;değiştirdiğini proje detaylarını;-;scrambling
Ve polislerin hırsızı yakaladığını duyduk.;Ve polislerin yakaladığını hırsızı duyduk.;hırsızı yakaladığını;yakaladığını hırsızı;-;scrambling  
Bazı çocukların parktaki salıncağı kırdığını gördük.;Bazı çocukların kırdığını parktaki salıncağı gördük.;parktaki salıncağı kırdığını;kırdığını parktaki salıncağı;-;scrambling
Dün müdürün raporu imzaladığını duydum.;Dün müdürün imzaladığını raporu duydum.;raporu imzaladığını;imzaladığını raporu;-;scrambling  
İki görevlinin evrakları kaybettiğini öğrendik.;İki görevlinin kaybettiğini evrakları öğrendik.;evrakları kaybettiğini;kaybettiğini evrakları;-;scrambling
Genç öğrencilerin deney tüplerini kırdığını duydum.;Genç öğrencilerin kırdığını deney tüplerini duydum.;deney tüplerini kırdığını;kırdığını deney tüplerini;-;scrambling
O her sabah aynı fırından ekmek aldığını söyledi.;O her sabah aynı fırından aldığını ekmek söyledi.;ekmek aldığını;aldığını ekmek;-;scrambling
CHP i̇şçilerin greve çıkacağını haber verdi.;CHP i̇şçilerin çıkacağını greve haber verdi.;greve çıkacağını;çıkacağını greve;-;scrambling
Okul müdürün yeni çalışma saatlerini onayladığını duyurdu.;Okul müdürün onayladığını yeni çalışma saatlerini duyurdu.;yeni çalışma saatlerini onayladığını;onayladığını yeni çalışma saatlerini;-;scrambling
O ufaklığın ödevlerini bitirmesine sevindim.;O ufaklığın bitirmesine ödevlerini sevindim.;ödevlerini bitirmesine;bitirmesine ödevlerini;-;scrambling  
Annemin pastayı yaptığını sanıyordum.;Annemin yaptığını pastayı sanıyordum.;pastayı yaptığını;yaptığını pastayı;-;scrambling  
Koca kızın kedisini sevmesine izin verdi.;Koca kızın sevmesine kedisini izin verdi.;kedisini sevmesine;sevmesine kedisini;-;scrambling 
Diğer öğrencilerin kütüphanedeki kitapları incelediğini fark ettik.;Diğer öğrencilerin incelediğini kütüphanedeki kitapları fark ettik.;kütüphanedeki kitapları incelediğini;incelediğini kütüphanedeki nadir kitapları;-;scrambling
Ben öğrencilerin barikatı aşmasını izledim.;Ben öğrencilerin aşmasını barikatı izledim.;barikatı aşmasını;aşmasını barikatı;-;scrambling  
İki adamın cep telefonunu düşürdüğünü gördüm.;İki adamın düşürdüğünü cep telefonunu gördüm.;cep telefonunu düşürdüğünü;düşürdüğünü cep telefonunu;-;scrambling  
İki köpeğin komşunun bahçesini kazdığını gördüm.;İki köpeğin kazdığını komşunun bahçesini gördüm.;komşunun bahçesini kazdığını;kazdığını komşunun bahçesini;-;scrambling  
İl müdürün yeni çalışma saatlerini onayladığını duyurdu.;İl müdürün onayladığını yeni çalışma saatlerini duyurdu.;yeni çalışma saatlerini onayladığını;onayladığını yeni çalışma saatlerini;-;scrambling
Tüm öğrencilerin laboratuvar malzemelerini temizlediğini gördüm.;Tüm öğrencilerin temizlediğini laboratuvar malzemelerini gördüm.;laboratuvar malzemelerini temizlediğini;temizlediğini laboratuvar malzemelerini;-;scrambling
Eski arkadaşımın arabasını sattığını öğrendim.;Eski arkadaşımın sattığını arabasını öğrendim.;arabasını sattığını;sattığını arabasını;-;scrambling  
Sadece annemin pastayı yaptığını sanıyordum.;Sadece annemin yaptığını pastayı sanıyordum.;pastayı yaptığını;yaptığını pastayı;-;scrambling  
Bazı çocukların duvarı boyadığını gördüm.;Bazı çocukların boyadığını duvarı gördüm.;duvarı boyadığını;boyadığını duvarı;-;scrambling
Öğretmenin sınav sonuçlarını açıkladığını haber verdi.;Öğretmenin açıkladığını sınav sonuçlarını haber verdi.;sınav sonuçlarını açıkladığını;açıkladığını sınav sonuçlarını;-;scrambling
Kadın patronu arayıp bacağını kırdığını haber verdi.;Kadın patronu arayıp kırdığını bacağını haber verdi.;bacağını kırdığını;kırdığını bacağını;-;scrambling
Hakan kaptanın rotayı değiştirdiğini anons etti.;Hakan kaptanın değiştirdiğini rotayı anons etti.;rotayı değiştirdiğini;değiştirdiğini rotayı;-;scrambling
Ardından öğretmenin soruları yanıtlamasını bekledik.;Ardından öğretmenin yanıtlamasını soruları bekledik.;soruları yanıtlamasını;yanıtlamasını soruları;-;scrambling
Ünlü mimarın proje detaylarını değiştirdiğini öğrendik.;Ünlü mimarın değiştirdiğini proje detaylarını öğrendik.;proje detaylarını değiştirdiğini;değiştirdiğini proje detaylarını;-;scrambling
Büyükşehir belediye başkanının şehir planını revize ettiğini açıkladı.;Büyükşehir belediye başkanının ettiğini şehir planını revize açıkladı.;şehir planını revize ettiğini;ettiğini şehir planını revize;-;scrambling
3 görevlinin evrakları kaybettiğini öğrendik.;3 görevlinin kaybettiğini evrakları öğrendik.;evrakları kaybettiğini;kaybettiğini evrakları;-;scrambling
Ardından polislerin hırsızın izini sürdüğünü duyduk.;Ardından polislerin sürdüğünü hırsızın izini duyduk.;hırsızın izini sürdüğünü;sürdüğünü hırsızın izini;-;scrambling
Kız küçük kızın şarkıyı yanlış söylemesine güldü.;Kız küçük kızın yanlış söylemesine şarkıyı güldü.;şarkıyı yanlış söylemesine;yanlış söylemesine şarkıyı;-;scrambling
Bu adamın cep telefonunu düşürdüğünü gördüm.;Bu adamın düşürdüğünü cep telefonunu gördüm.;cep telefonunu düşürdüğünü;düşürdüğünü cep telefonunu;-;scrambling  
Yabancı öğrencilerin deney tüplerini kırdığını duydum.;Yabancı öğrencilerin kırdığını deney tüplerini duydum.;deney tüplerini kırdığını;kırdığını deney tüplerini;-;scrambling
Ve teknisyenlerin sistemi yenilediğini açıkladılar.;Ve teknisyenlerin yenilediğini sistemi açıkladılar.;sistemi yenilediğini;yenilediğini sistemi;-;scrambling
Köpeğin komşunun bahçesini kazdığını gördüm.;Köpeğin kazdığını komşunun bahçesini gördüm.;komşunun bahçesini kazdığını;kazdığını komşunun bahçesini;-;scrambling  
İstanbul belediye başkanının şehir planını revize ettiğini açıkladı.;İstanbul belediye başkanının ettiğini şehir planını revize açıkladı.;şehir planını revize ettiğini;ettiğini şehir planını revize;-;scrambling
Benim babaaannem üniversiteyi kazanmana çok sevinmiş.;Benim babaaannem kazanmana üniversiteyi çok sevinmiş.;üniversiteyi kazanmana;kazanmana üniversiteyi;-;scrambling
Ayrıca sizin de açılışa katılmanızı çok isteriz.;Ayrıca sizin de katılmanızı açılışa çok isteriz.;açılışa katılmanızı;katılmanızı açılışa;-;scrambling
Ayrıca mimarın projeyi değiştirdiğini öğrendik.;Ayrıca mimarın değiştirdiğini projeyi öğrendik.;projeyi değiştirdiğini;değiştirdiğini projeyi;-;scrambling
Bu kızın kedisini sevmesine izin verdi.;Bu kızın sevmesine kedisini izin verdi.;kedisini sevmesine;sevmesine kedisini;-;scrambling 
Ve kızım oyuncağını bozmasına üzüldü.;Ve kızım bozmasına oyuncağını üzüldü.;oyuncağını bozmasına;bozmasına oyuncağını;-;scrambling  
Genç çiftçilerin tarlayı sulamasına yardım ettiler.;Genç çiftçilerin sulamasına tarlayı yardım ettiler.;tarlayı sulamasına;sulamasına tarlayı;-;scrambling
Garsonun müşterinin siparişini unuttuğunu fark ettik.;Garsonun unuttuğunu müşterinin siparişini fark ettik.;müşterinin siparişini unuttuğunu;unuttuğunu müşterinin siparişini;-;scrambling
Doktor kuzenimin yeni telefonunu kaybettiğini söyledi.;Doktor kuzenimin kaybettiğini yeni telefonunu söyledi.;yeni telefonunu kaybettiğini;kaybettiğini yeni telefonunu;-;scrambling
