good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Kız ablasına hediyeyi hiç beklemeden verdi.,Kız ablasından hediyeyi hiç beklemeden verdi.,ablasına,ablasından,verdi,argument_structure,ditransitive
Doğum günüm diye barmen bana bira ısmarladı.,Doğum günüm diye barmen beni bira ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
Küçük çocuk annesine vitrindeki oyuncağı gösterdi.,Küçük çocuk annesini vitrindeki oyuncağı gösterdi.,annesine,annesini,gösterdi,argument_structure,ditransitive
Babam bugün markette ilkokul öğretmenime rastlamış.,Babam bugün marketi ilkokul öğretmenime rastlamış.,markette,marketi,rastlamış,argument_structure,ditransitive
Annem kekin içine biraz tarçın koyar.,Annem kekin içini biraz tarçın koyar.,içine,içini,koyar,argument_structure,ditransitive
Dün gece oğlanı apar topar hastaneye götürdük.,Dün gece oğlana apar topar hastaneye götürdük.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Asistanı dosyaları masasına getirdi.,Asistanı dosyalarla masasına getirdi.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Takı töreninde damadın yakasına çeyrek altın taktılar.,Takı töreninde damadın yakasını çeyrek altın taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Üzerime koca bir fincan kahveyi döktüm.,Üzerimde koca bir fincan kahveyi döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Yanlış politikalar halkı yoksulluğa mahkum etti.,Yanlış politikalar halkla yoksulluğa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Mahalledeki çocuklar dükkanın camına yine top atıyor.,Mahalledeki çocuklar dükkanın camını yine top atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Dün ekmeği ben aldığım için annem bakkala kardeşimi yolladı.,Dün ekmeği ben aldığım için annem bakkalda kardeşimi yolladı.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Evlerinin bahçesine zeytin ağacı dikmişler.,Evlerinin bahçesinden zeytin ağacı dikmişler.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Belki sana bu konudaki fikirlerinden bahsetmiştir.,Belki seni bu konudaki fikirlerinden bahsetmiştir.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Yıllardır kendini sadece işine adamış.,Yıllardır kendinden sadece işine adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Bu ödülü düzen bozan kadınlara ithaf ediyorum.,Bu ödüle düzen bozan kadınlara ithaf ediyorum.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki vestiyere astı.,Ayakkabılarını çıkarıp paltosuna girişteki vestiyere astı.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Küçükken ekmeğimi hep salatanın suyuna banardım.,Küçükken ekmeğimde hep salatanın suyuna banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın dalına bağladı.,Dileklerini yazdığı kağıda bir ağacın dalına bağladı.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta ununa bulayın.,Kılçıklarını temizlediğiniz mezgite galeta ununa bulayın.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Öğretmen öğrencilere yeni konuyu anlattı.,Öğretmen öğrencileri yeni konuyu anlattı.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Çocuk babasına en sevdiği oyuncağı verdi.,Çocuk babasını en sevdiği oyuncağı verdi.,babasına,babasını,verdi,argument_structure,ditransitive
Arkadaşım bana doğum günü hediyesi aldı.,Arkadaşım beni doğum günü hediyesi aldı.,bana,beni,aldı,argument_structure,ditransitive
Garson müşterilere yemekleri servis etti.,Garson müşterileri yemekleri servis etti.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Şirket çalışanlarına yeni görevler verdi.,Şirket çalışanlarını yeni görevler verdi.,çalışanlarına,çalışanlarını,verdi,argument_structure,ditransitive
Yönetmen oyunculara rollerini dağıttı.,Yönetmen oyuncuları rollerini dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Anne bebeğine sütü biberonla verdi.,Anne bebeğini sütü biberonla verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Dedem torunlarına masallar anlattı.,Dedem torunlarını masallar anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Yazar okurlarına yeni kitabını tanıttı.,Yazar okurlarını yeni kitabını tanıttı.,okurlarına,okurlarını,tanıttı,argument_structure,ditransitive
Antrenör sporculara yeni taktikler öğretti.,Antrenör sporcuları yeni taktikler öğretti.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Çocuk annesine yeni bir şarkı söyledi.,Çocuk annesini yeni bir şarkı söyledi.,annesine,annesini,söyledi,argument_structure,ditransitive
Arkadaşım bana en son haberleri verdi.,Arkadaşım beni en son haberleri verdi.,bana,beni,verdi,argument_structure,ditransitive
Yönetmen oyunculara son talimatları verdi.,Yönetmen oyuncuları son talimatları verdi.,oyunculara,oyuncuları,verdi,argument_structure,ditransitive
Antrenör sporculara antrenman programı hazırladı.,Antrenör sporcuları antrenman programı hazırladı.,sporculara,sporcuları,hazırladı,argument_structure,ditransitive
Annem kardeşime yeni bir kitap aldı.,Annem kardeşimi yeni bir kitap aldı.,kardeşime,kardeşimi,aldı,argument_structure,ditransitive
Arkadaşım bana doğum günü hediyesi aldı.,Arkadaşım beni doğum günü hediyesi aldı.,bana,beni,aldı,argument_structure,ditransitive
Kız kardeşim kediyi veterinere götürdü.,Kız kardeşim kediye veterinere götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Babam yeni telefonunu bana verdi.,Babam yeni telefonuna bana verdi.,telefonunu,telefonuna,verdi,argument_structure,ditransitive
Dedem bana eski hikayeler anlattı.,Dedem beni eski hikayeler anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Halam bana el örgüsü bir kazak hediye etti.,Halam beni el örgüsü bir kazak hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Teyzem oyuncakları çocuklara dağıttı.,Teyzem oyuncaklara çocuklara dağıttı.,oyuncakları,oyuncaklara,dağıttı,argument_structure,ditransitive
Arkadaşım bana yeni bir film önerdi.,Arkadaşım benle yeni bir film önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Kuzenim köpeği parka götürdü.,Kuzenim köpeğe parka götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Komşumuz bize taze meyve getirdi.,Komşumuz bizi taze meyve getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Öğretmen öğrencilere bol bol kitap okumalarını tavsiye etti.,Öğretmen öğrencileri bol bol kitap okumalarını tavsiye etti.,öğrencilere,öğrencileri,tavsiye etti,argument_structure,ditransitive
Gelin altın bileziği görümcesine hediye etti.,Gelin altın bilezikle görümcesine hediye etti.,bileziği,bilezikle,hediye etti,argument_structure,ditransitive
Oğlum topu arkadaşına ödünç verdi.,Oğlum topla arkadaşına ödünç verdi.,topu,topla,ödünç verdi,argument_structure,ditransitive
Manav bize en taze meyvelerden ayırdı.,Manav bizi en taze meyvelerden ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Kasap bana en güzel etlerden ayırdı.,Kasap beni en güzel etlerden ayırdı.,bana,benle,ayırdı,argument_structure,ditransitive
Arkadaşım bana yeni bir şarkı önerdi.,Arkadaşım beni yeni bir şarkı önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Kız arkadaşına çikolatayı hiç düşünmeden verdi.,Kız arkadaşından çikolatayı hiç düşünmeden verdi.,arkadaşına,arkadaşından,verdi,argument_structure,ditransitive
Doğum günüm diye garson bana limonata ısmarladı.,Doğum günüm diye garson beni limonata ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
