good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Kız hiç beklemeden verdi hediyeyi ablasına.,Kız hiç beklemeden verdi hediyeyi ablasından.,ablasına,ablasından,verdi,argument_structure,ditransitive
Barmen doğum günü diye ısmarladı kıza ilk birasını.,Barmen doğum günü diye ısmarladı kızı ilk birasını.,kıza,kızı,ısmarladı,argument_structure,ditransitive
Küçük çocuk gösterdi vitrindeki oyuncağı annesine.,Küçük çocuk gösterdi vitrindeki oyuncağı annesini.,annesine,annesini,gösterdi,argument_structure,ditransitive
Babam bugün rastlamış markette ilkokul öğretmenime.,Babam bugün rastlamış marketi ilkokul öğretmenime.,markette,marketi,rastlamış,argument_structure,ditransitive
Annem koyar tarçını kekin içine.,Annem koyar tarçını kekin içini.,içine,içini,koyar,argument_structure,ditransitive
Biz dün gece apar topar götürdük oğlanı hastaneye.,Biz dün gece apar topar götürdük oğlana hastaneye.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Asistan getirdi dosyaları masasına.,Asistan getirdi dosyalarla masasına.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Onlar taktılar çeyrek altını damadın yakasına.,Onlar taktılar çeyrek altını damadın yakasını.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Ben döktüm koca bir fincan kahveyi üzerime.,Ben döktüm koca bir fincan kahveyi üzerimde.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Yanlış politikalar mahkum etti halkı yoksulluğa.,Yanlış politikalar mahkum etti halkla yoksulluğa.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Mahalledeki çocuklar yine atıyor topu dükkanın camına.,Mahalledeki çocuklar yine atıyor topu dükkanın camını.,camına,camını,atıyor,argument_structure,ditransitive
Annem dün yolladı kardeşimi bakkala ben aldığım için ekmeği.,Annem dün yolladı kardeşimi bakkalda ben aldığım için ekmeği.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Onlar dikmişler zeytin ağacını evlerinin bahçesine.,Onlar dikmişler zeytin ağacını evlerinin bahçesinden.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
O belki bahsetmiştir sana bu konudaki fikirlerinden.,O belki bahsetmiştir seni bu konudaki fikirlerinden.,sana,seni,bahsetmiştir,argument_structure,ditransitive
O adamış yıllardır kendini sadece işine.,O adamış yıllardır kendinden sadece işine.,kendini,kendinden,adamış,argument_structure,ditransitive
Ben ithaf ediyorum bu ödülü düzen bozan kadınlara.,Ben ithaf ediyorum bu ödüle düzen bozan kadınlara.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Ahmet astı ayakkabılarını çıkarıp paltosunu girişteki vestiyere.,Ahmet astı ayakkabılarını çıkarıp paltosuna girişteki vestiyere.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Ben banardım küçükken ekmeğimi hep salatanın suyuna.,Ben banardım küçükken ekmeğimde hep salatanın suyuna.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Melike bağladı dileklerini yazdığı kağıdı bir ağacın dalına.,Melike bağladı dileklerini yazdığı kağıda bir ağacın dalına.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Siz bulayın kılçıklarını temizlediğiniz mezgiti galeta ununa.,Siz bulayın kılçıklarını temizlediğiniz mezgite galeta ununa.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Öğretmen anlattı yeni konuyu öğrencilere.,Öğretmen anlattı yeni konuyu öğrencileri.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Çocuk verdi en sevdiği oyuncağı babasına.,Çocuk verdi en sevdiği oyuncağı babasını.,babasına,babasını,verdi,argument_structure,ditransitive
Arkadaşım aldı doğum günüm için bana yeni albümlerini.,Arkadaşım aldı doğum günüm için beni yeni albümlerini.,bana,beni,aldı,argument_structure,ditransitive
Garson servis etti yemekleri müşterilere.,Garson servis etti yemekleri müşterileri.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Şirket bildirdi yeni görevleri çalışanlarına.,Şirket bildirdi yeni görevleri çalışanlarını.,çalışanlarına,çalışanlarını,bildirdi,argument_structure,ditransitive
Yönetmen dağıttı rolleri oyunculara.,Yönetmen dağıttı rolleri oyuncuları.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Anne verdi sütü bebeğine biberonla.,Anne verdi sütü bebeğini biberonla.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Dedem anlattı masallarını torunlarına.,Dedem anlattı masallarını torunlarını.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Yazar tanıttı yeni kitabını okurlarına.,Yazar tanıttı yeni kitabını okurlarını.,okurlarına,okurlarını,tanıttı,argument_structure,ditransitive
Antrenör öğretti yeni taktikleri sporculara.,Antrenör öğretti yeni taktikleri sporcuları.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Çocuk söyledi yeni şarkıyı annesine.,Çocuk söyledi yeni şarkıyı annesini.,annesine,annesini,söyledi,argument_structure,ditransitive
Arkadaşım verdi havadisleri bana.,Arkadaşım verdi havadisleri beni.,bana,beni,verdi,argument_structure,ditransitive
Yönetmen verdi talimatlarını oyunculara.,Yönetmen verdi talimatlarını oyuncuları.,oyunculara,oyuncuları,verdi,argument_structure,ditransitive
Hoca anlattı antrenman programını sporculara.,Hoca anlattı antrenman programını sporculara.,sporculara,sporcuları,anlattı,argument_structure,ditransitive
Annem aldı kardeşime yeni kitabı.,Annem aldı kardeşimi yeni kitabı.,kardeşime,kardeşimi,aldı,argument_structure,ditransitive
Arkadaşım aldı vitrinde beğendiğim fuları bana.,Arkadaşım aldı vitrinde beğendiğim fuları beni.,bana,beni,aldı,argument_structure,ditransitive
Kız kardeşim götürdü kediyi veterinere.,Kız kardeşim götürdü kediye veterinere.,kediyi,kediye,götürdü,argument_structure,ditransitive
Babam verdi yeni telefonunu bana.,Babam verdi yeni telefonuna bana.,telefonunu,telefonuna,verdi,argument_structure,ditransitive
Dedem anlattı eski hikayeleri bana.,Dedem anlattı eski hikayeleri beni.,bana,beni,anlattı,argument_structure,ditransitive
Halam hediye etti el örgüsü kazağı bana.,Halam hediye etti el örgüsü kazağı beni.,bana,beni,hediye etti,argument_structure,ditransitive
Teyzem dağıttı oyuncakları çocuklara.,Teyzem dağıttı oyuncaklara çocuklara.,oyuncakları,oyuncaklara,dağıttı,argument_structure,ditransitive
Arkadaşım önerdi yeni filmi bana.,Arkadaşım önerdi yeni filmi benle.,bana,benle,önerdi,argument_structure,ditransitive
Kuzenim götürdü köpeği parka.,Kuzenim götürdü köpeğe parka.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Komşumuz getirdi topladığı taze meyveleri bize.,Komşumuz getirdi topladığı taze meyveleri bizi.,bize,bizi,getirdi,argument_structure,ditransitive
Öğretmen tavsiye etti öğrencilere bol bol kitap okumalarını.,Öğretmen tavsiye etti öğrencileri bol bol kitap okumalarını.,öğrencilere,öğrencileri,tavsiye etti,argument_structure,ditransitive
Gelin hediye etti altın bileziği görümcesine.,Gelin hediye etti altın bilezikle görümcesine.,bileziği,bilezikle,hediye etti,argument_structure,ditransitive
Oğlum ödünç verdi topu arkadaşına.,Oğlum ödünç verdi topla arkadaşına.,topu,topla,ödünç verdi,argument_structure,ditransitive
Manav ayırdı en taze meyveleri bize.,Manav ayırdı en taze meyveleri bizi.,bize,bizi,ayırdı,argument_structure,ditransitive
Kasap ayırdı en güzel etleri bana.,Kasap ayırdı en güzel etleri beni.,bana,beni,ayırdı,argument_structure,ditransitive
Arkadaşım önerdi yeni bir şarkıyı bana.,Arkadaşım önerdi yeni bir şarkıyı beni.,bana,beni,önerdi,argument_structure,ditransitive
Kız hiç düşünmeden verdi çikolatayı arkadaşına.,Kız hiç düşünmeden verdi çikolatayı arkadaşından.,arkadaşına,arkadaşından,verdi,argument_structure,ditransitive
Amcam ödünç verdi gitarını bana.,Amcam ödünç verdi gitarına bana.,gitarını,gitarına,ödünç verdi,argument_structure,ditransitive
Küçük çocuk gösterdi mağazadaki oyuncağı teyzesine.,Küçük çocuk gösterdi mağazadaki oyuncağı teyzesini.,teyzesine,teyzesini,gösterdi,argument_structure,ditransitive
Babam rastlamış parkta lise öğretmenine.,Babam rastlamış parkı lise öğretmenine.,parkta,parkı,rastlamış,argument_structure,ditransitive
Annem koyar çikolatayı pastanın üstüne.,Annem koyar çikolatayı pastanın üstünü.,üstüne,üstünü,koyar,argument_structure,ditransitive
Biz dün gece apar topar götürdük kızı kliniğe.,Biz dün gece apar topar götürdük kıza kliniğe.,kızı,kıza,götürdük,argument_structure,ditransitive
Asistan getirdi belgeleri masasına.,Asistan getirdi belgelerle masasına.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
Onlar taktılar burma bileziği geline.,Onlar taktılar burma bileziği gelini.,geline,gelini,taktılar,argument_structure,ditransitive
Ben döktüm koca bir bardak çayı üzerime.,Ben döktüm koca bir bardak çayı üzerimde.,üzerime,üzerimde,döktüm,argument_structure,ditransitive
Yanlış kararlar mahkum etti halkı adaletsizliğe.,Yanlış kararlar mahkum etti halkla adaletsizliğe.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Mahalledeki çocuklar yine attı taşı evin camına.,Mahalledeki çocuklar yine attı taşı evin camını.,camına,camını,attı,argument_structure,ditransitive
Annem dün yolladı kardeşimi markete ben aldığım için sütü.,Annem dün yolladı kardeşimi markette ben aldığım için sütü.,markete,markette,yolladı,argument_structure,ditransitive
Onlar dikmişler elma ağacını evlerinin arka bahçesine.,Onlar dikmişler elma ağacını evlerinin arka bahçesinden.,arka bahçesine,arka bahçesinden,dikmişler,argument_structure,ditransitive
O bahsetmiştir size bu konudaki düşüncelerinden.,O bahsetmiştir sizi bu konudaki düşüncelerinden.,size,sizi,bahsetmiştir,argument_structure,ditransitive
O adamış yıllardır kendini sadece sanatına.,O adamış yıllardır kendinden sadece sanatına.,kendini,kendinden,adamış,argument_structure,ditransitive
Ben ithaf ediyorum bu sergiyi neşesini kaybetmeyen kadınlara.,Ben ithaf ediyorum bu sergiye neşesini kaybetmeyen kadınlara.,sergiyi,sergiye,ithaf ediyorum,argument_structure,ditransitive
Uğur astı şapkasını girişteki dolaba.,Uğur astı şapkasına girişteki dolaba.,şapkasını,şapkasına,astı,argument_structure,ditransitive
Ben banardım küçükken ekmeğimi çorbaya.,Ben banardım küçükken ekmeğimde çorbaya.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Selen bağladı dileklerini yazdığı kartı bir ağacın dalına.,Selen bağladı dileklerini yazdığı karta bir ağacın dalına.,kartı,karta,bağladı,argument_structure,ditransitive
Siz bulayın kılçıklarını temizlediğiniz balığı pane ununa.,Siz bulayın kılçıklarını temizlediğiniz balığa pane ununa.,balığı,balığa,bulayın,argument_structure,ditransitive
Öğretmen öğretti yeni şarkıyı öğrencilere.,Öğretmen öğretti yeni şarkıyı öğrencileri.,öğrencilere,öğrencileri,öğretti,argument_structure,ditransitive
Çocuk verdi en sevdiği kitabı dedesine.,Çocuk verdi en sevdiği kitabı dedesini.,dedesine,dedesini,verdi,argument_structure,ditransitive
Arkadaşım verdi yılbaşı hediyesini bana.,Arkadaşım verdi yılbaşı hediyesini beni.,bana,beni,verdi,argument_structure,ditransitive
Garson servis etti tatlıları misafirlerimize.,Garson servis etti tatlıları misafirlerimizi.,misafirlerimize,misafirlerimizi,servis etti,argument_structure,ditransitive
Şirket dağıttı yeni projeleri personeline.,Şirket dağıttı yeni projeleri personelini.,personeline,personelini,dağıttı,argument_structure,ditransitive
Yönetmen dağıttı rolleri sanatçılara.,Yönetmen dağıttı rolleri sanatçıları.,sanatçılara,sanatçıları,dağıttı,argument_structure,ditransitive
Anne yedirdi bebeğe mamasını.,Anne yedirdi bebeği mamasını.,bebeğe,bebeği,yedirdi,argument_structure,ditransitive
Dedem anlattı bildiği fıkraları torunlarına.,Dedem anlattı bildiği fıkraları torunlarını.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Şair tanıttı yeni şiir kitabını dinleyicilerine.,Şair tanıttı yeni şiir kitabını dinleyicilerini.,dinleyicilerine,dinleyicilerini,tanıttı,argument_structure,ditransitive
Antrenör öğretti kendi stratejilerini takıma.,Antrenör öğretti kendi stratejilerini takımı.,takıma,takımı,öğretti,argument_structure,ditransitive
Çocuk okudu okulda öğrendiği şiiri babasına.,Çocuk okudu okulda öğrendiği şiiri babasını.,babasına,babasını,okudu,argument_structure,ditransitive
Arkadaşım anlattı son gelişmeleri bana.,Arkadaşım anlattı son gelişmeleri beni.,bana,beni,anlattı,argument_structure,ditransitive
Yönetmen verdi son direktifleri ekibine.,Yönetmen verdi son direktifleri ekibini.,ekibine,ekibini,verdi,argument_structure,ditransitive
Antrenör anlattı beslenme planını atletlere.,Antrenör anlattı beslenme planını atletleri.,atletlere,atletleri,anlattı,argument_structure,ditransitive
Annem almış gardırobu abime.,Annem almış gardırobu abimi.,abime,abimi,almış,argument_structure,ditransitive
Arkadaşım aldı istediğim konser biletini bana.,Arkadaşım aldı istediğim konser biletini beni.,bana,beni,aldı,argument_structure,ditransitive
Kız kardeşim götürdü kediyi komşuya.,Kız kardeşim götürdü kediye komşuya.,kediyi,kediye,götürdü,argument_structure,ditransitive
Babam verdi yeni saatini bana.,Babam verdi yeni saatine bana.,saatini,saatine,verdi,argument_structure,ditransitive
Dedem anlattı devrimci anılarını bana.,Dedem anlattı devrimci anılarını beni.,bana,beni,anlattı,argument_structure,ditransitive
Halam hediye etti eldiveni bana.,Halam hediye etti eldiveni beni.,bana,beni,hediye etti,argument_structure,ditransitive
Teyzem dağıttı kitapları çocuklara.,Teyzem dağıttı kitaplara çocuklara.,kitapları,kitaplara,dağıttı,argument_structure,ditransitive
