good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Verdi hediyeyi ablasına kız hiç beklemeden.,Verdi hediyeyi ablasından kız hiç beklemeden.,ablasına,ablasından,verdi,argument_structure,ditransitive
Ismarladı doğum günü diye kıza ilk birasını barmen.,Ismarladı doğum günü diye kızı ilk birasını barmen.,kıza,kızı,ısmarladı,argument_structure,ditransitive
Gösterdi vitrindeki oyuncağı annesine küçük çocuk.,Gösterdi vitrindeki oyuncağı annesini küçük çocuk.,annesine,annesini,gösterdi,argument_structure,ditransitive
Rastlamış bugün markette ilkokul öğretmenime babam.,Rastlamış bugün marketi ilkokul öğretmenime babam.,markette,marketi,rastlamış,argument_structure,ditransitive
Koyar tarçını kekin içine annem.,Koyar tarçını kekin içini annem.,içine,içini,koyar,argument_structure,ditransitive
Götürdük oğlanı dün gece apar topar hastaneye biz.,Götürdük oğlanı dün gece apar topar hastaneye biz.,Oğlanı,Oğlana,götürdük,argument_structure,ditransitive
Getirdi dosyaları masasına asistan.,Getirdi dosyalarla masasına asistan.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Taktılar çeyrek altını damadın yakasına onlar.,Taktılar çeyrek altını damadın yakasını onlar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Döktüm koca bir fincan kahveyi üzerime ben.,Döktüm koca bir fincan kahveyi üzerimde ben.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Mahkum etti halkı yoksulluğa yanlış politikalar.,Mahkum etti halkla yoksulluğa yanlış politikalar.,Halkı,Halkla,mahkum etti,argument_structure,ditransitive
Atıyor yine topu dükkanın camına mahalledeki çocuklar.,Atıyor yine topu dükkanın camını mahalledeki çocuklar.,camına,camını,atıyor,argument_structure,ditransitive
Yolladı dün ekmeği ben aldığım için bakkala kardeşimi annem.,Yolladı dün ekmeği ben aldığım için bakkalda kardeşimi annem.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Dikmişler zeytin ağacını evlerinin bahçesine onlar.,Dikmişler zeytin ağacını evlerinin bahçesinden onlar.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Bahsetmiştir belki sana bu konudaki fikirlerinden o.,Bahsetmiştir belki seni bu konudaki fikirlerinden o.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Adamış kendini işine yıllardır o.,Adamış kendini işine yıllardır o.,kendini,kendinden,adamış,argument_structure,ditransitive
İthaf ediyorum bu ödülü düzen bozan kadınlara ben.,İthaf ediyorum bu ödüle düzen bozan kadınlara ben.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Astı paltosunu girişteki vestiyere Ahmet.,Astı paltosuna girişteki vestiyere Ahmet.,Paltosunu,Paltosuna,astı,argument_structure,ditransitive
Banardım küçükken ekmeğimi salatanın suyuna hep ben.,Banardım küçükken ekmeğimde salatanın suyuna hep ben.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
