good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Aslında bu kadar duygusal olduğum için kendime bazen kızıyorum.;Aslında bu kadar duygusal olduğum için bana bazen kızıyorum.;kendime;bana;kızıyorum;binding
Hemen terfi aldıktan sonra kendime hediye aldım.;Hemen terfi aldıktan sonra bana hediye aldım.;kendime;bana;aldım;binding
Ben davul çalarken kendimi tamamen ritme kaptırıyorum.;Ben davul çalarken beni tamamen ritme kaptırıyorum.;kendimi;beni;kaptırıyorum;binding
Her tatilden dönünce kendimizi sıkı bir beslenme programına sokarız.;Her tatilden dönünce bizi sıkı bir beslenme programına sokarız.;kendimizi;bizi;sokarız;binding
Bir gün içinde bazen kendimi kötü şeyler düşünürken buluyorum.;Bir gün içinde bazen beni kötü şeyler düşünürken buluyorum.;kendimi;beni;buluyorum;binding
Çünkü ne kadar öfkelensek de kendimizi kontrol etmek zorundayız.;Çünkü ne kadar öfkelensek de bizi kontrol etmek zorundayız.;kendimizi;bizi;zorundayız;binding
Sosyal ortam gerilince kendinizi sakinleştirmeyi bilmelisiniz.;Sosyal ortam gerilince sizi sakinleştirmeyi bilmelisiniz.;kendinizi;sizi;bilmelisiniz;binding
Ayrıca geceleri çalışırken kendimi verimli hissediyorum.;Ayrıca geceleri çalışırken beni verimli hissediyorum.;kendimi;beni;hissediyorum;binding
Ancak çalışmaya başlamadan önce kendimi düzene soktum..;Ancak çalışmaya başlamadan önce beni düzene soktum.;kendimi;beni;soktum;binding
Ben dans ederken kendimi fazla kaptırıyorum.;Ben dans ederken beni fazla kaptırıyorum.;kendimi;beni;kaptırıyorum;binding
Bundan i̇lerisi için adım atarken kendime güveniyorum.;Bundan i̇lerisi için adım atarken bana güveniyorum.;kendime;bana;güveniyorum;binding
Senin elle tutulur bir derdin olmayınca kendine yapay dertler yaratıyorsun.;Senin elle tutulur bir derdin olmayınca sana yapay dertler yaratıyorsun.;kendine;sana;yaratıyorsun;binding
Yürüyüşe çıkarken kendimi daha huzurlu hissediyorum.;Yürüyüşe çıkarken beni daha huzurlu hissediyorum.;kendimi;beni;hissediyorum;binding
Gece kamp yaparken zorlansam da kendimi doğayla iç içe buluyorum.;Gece kamp yaparken zorlansam da beni doğayla iç içe buluyorum.;kendimi;beni;buluyorum;binding
Tabi i̇şe dönmeden önce kendimize bir güzellik yapıp masaj aldık.;Tabi i̇şe dönmeden önce bize bir güzellik yapıp masaj aldık.;kendimize;bize;aldık;binding
Uzun tatil için kendimize birkaç parça bir şeyler aldık.;Uzun tatil için bize birkaç parça bir şeyler aldık.;kendimize;bize;aldık;binding
Bu sahneye hazırlanırken kendini karakterin ruh haline sokuyorsun.;Bu sahneye hazırlanırken seni karakterin ruh haline sokuyorsun.;kendini;seni;sokuyorsun;binding
Kendimi özgür hissetmek için kendimi dışarıda vakit geçirmeye zorladım.;Kendimi özgür hissetmek için beni dışarıda vakit geçirmeye zorladım.;kendimi;beni;zorladım;binding
Ayrıca trafikte sinirlendiğimde kendimi derin derin nefes alarak sakinleştiriyorum.;Ayrıca trafikte sinirlendiğimde beni derin derin nefes alarak sakinleştiriyorum.;kendimi;beni;sakinleştiriyorum;binding
Bazı öğrenci kulüplerine katıldığımda kendimi sosyal hissediyorum.;Bazı öğrenci kulüplerine katıldığımda beni sosyal hissediyorum.;kendimi;beni;hissediyorum;binding
Yine her sabah uyandığımda kendimi enerjik hissediyorum.;Yine her sabah uyandığımda beni enerjik hissediyorum.;kendimi;beni;hissediyorum;binding
Artık onunla yüzleşmek için kendimi uzun süre hazırladım.;Artık onunla yüzleşmek için beni uzun süre hazırladım.;kendimi;beni;hazırladım;binding
Evet kendimi uzun bir süredir huzurlu hissediyorum.;Evet beni uzun bir süredir huzurlu hissediyorum.;kendimi;beni;hissediyorum;binding
Ayrıca bahar gelince kendimi daha çocuksu hissediyorum.;Ayrıca bahar gelince beni daha çocuksu hissediyorum.;kendimi;beni;hissediyorum;binding
Ama elle tutulur bir derdin olmayınca kendine yapay dertler yaratıyorsun.;Ama elle tutulur bir derdin olmayınca sana yapay dertler yaratıyorsun.;kendine;sana;yaratıyorsun;binding
Son sınavdan sonra kendine ödül olarak tatlı alırsın.;Son sınavdan sonra sana ödül olarak tatlı alırsın.;kendine;sana;alırsın;binding
Eğitim seminerinde kendimi profesyonel hissediyorum.;Eğitim seminerinde beni profesyonel hissediyorum.;kendimi;beni;hissediyorum;binding
Bir seyahate çıkınca kendimi sürekli olarak yeni yerler keşfetmeye teşvik ediyorum.;Bir seyahate çıkınca beni sürekli olarak yeni yerler keşfetmeye teşvik ediyorum.;kendimi;beni;teşvik ediyorum;binding
Ben bir toplantıya hazırlık yaparken kendimi tamamen odaklanmış hissediyorum.;Ben bir toplantıya hazırlık yaparken beni tamamen odaklanmış hissediyorum.;kendimi;beni;hissediyorum;binding
Eğer bunu başardığımda kendimi çok gururlu hissedeceğim.;Eğer bunu başardığımda beni çok gururlu hissedeceğim.;kendimi;beni;hissedeceğim;binding
Artık kamp yaparken zorlansam da kendimi doğayla iç içe buluyorum.;Artık kamp yaparken zorlansam da beni doğayla iç içe buluyorum.;kendimi;beni;buluyorum;binding
Çünkü yürüyüşe çıkarken kendimi daha huzurlu hissediyorum.;Çünkü yürüyüşe çıkarken beni daha huzurlu hissediyorum.;kendimi;beni;hissediyorum;binding
Bir toplantıya hazırlık yaparken kendimi tamamen odaklanmış hissediyorum.;Bir toplantıya hazırlık yaparken beni tamamen odaklanmış hissediyorum.;kendimi;beni;hissediyorum;binding
Müze gezmeye giderken kendimi sanata daha yakın hissediyorum.;Müze gezmeye giderken beni sanata daha yakın hissediyorum.;kendimi;beni;hissediyorum;binding
Lütfen yanlış anlaşılmamak için kendimi daha iyi ifade etmeye çalışıyorum.;Lütfen yanlış anlaşılmamak için beni daha iyi ifade etmeye çalışıyorum.;kendimi;beni;çalışıyorum;binding
Önce kendimi sakinleştirmek için derin nefes alıyorum.;Önce beni sakinleştirmek için derin nefes alıyorum.;kendimi;beni;alıyorum;binding
Bir kitap okurken genellikle kendimi baş karakterle özdeşleştiririm.;Bir kitap okurken genellikle beni baş karakterle özdeşleştiririm.;kendimi;beni;özdeşleştiririm;binding
Özellikle spor yaparak kendini daha zinde hissedebilirsin.;Özellikle spor yaparak seni daha zinde hissedebilirsin.;kendini;seni;hissedebilirsin;binding
Her i̇ş yerinde kendimi çok rahat hissediyorum.;Her i̇ş yerinde beni çok rahat hissediyorum.;kendimi;beni;hissediyorum;binding
Yolda yürürken kendimi düşüncelere dalmış buluyorum.;Yolda yürürken beni düşüncelere dalmış buluyorum.;kendimi;beni;buluyorum;binding
Bugün yeni projeye başlamak için kendimi motive ediyorum.;Bugün yeni projeye başlamak için beni motive ediyorum.;kendimi;beni;ediyorum;binding
Sahneye çıkmadan önce kendine aynada son bir kez bak.;Sahneye çıkmadan önce sana aynada son bir kez bak.;kendine;sana;bak;binding
Öncelikle ortam gerilince kendinizi sakinleştirmeyi bilmelisiniz.;Öncelikle ortam gerilince sizi sakinleştirmeyi bilmelisiniz.;kendinizi;sizi;bilmelisiniz;binding
Ben dikkat dağınıklığımla başa çıkmak için kendime yeni çalışma yöntemleri buldum.;Ben dikkat dağınıklığımla başa çıkmak için bana yeni çalışma yöntemleri buldum.;kendime;bana;buldum;binding
Ancak müze gezmeye giderken kendimi sanata daha yakın hissediyorum.;Ancak müze gezmeye giderken beni sanata daha yakın hissediyorum.;kendimi;beni;hissediyorum;binding
Bütün arkadaşlarımla eğlenirken kendimi daha enerjik hissediyorum.;Bütün arkadaşlarımla eğlenirken beni daha enerjik hissediyorum.;kendimi;beni;hissediyorum;binding
Ve ailemi uzun süre görmeyince kendimi eksik hissettim.;Ve ailemi uzun süre görmeyince beni eksik hissettim.;kendimi;beni;hissettim;binding
Özellikle müze gezmeye giderken kendimi sanata daha yakın hissediyorum.;Özellikle müze gezmeye giderken beni sanata daha yakın hissediyorum.;kendimi;beni;hissediyorum;binding
3- ortam gerilince kendinizi sakinleştirmeyi bilmelisiniz.;3- ortam gerilince sizi sakinleştirmeyi bilmelisiniz.;kendinizi;sizi;bilmelisiniz;binding
Ve yeni işimde kendime daha çok güveniyorum.;Ve yeni işimde bana daha çok güveniyorum.;kendime;bana;güveniyorum;binding
Büyük bir toplantıya hazırlık yaparken kendimi tamamen odaklanmış hissediyorum.;Büyük bir toplantıya hazırlık yaparken beni tamamen odaklanmış hissediyorum.;kendimi;beni;hissediyorum;binding
Ve kendimi sakinleştirmek için derin nefes alıyorum.;Ve beni sakinleştirmek için derin nefes alıyorum.;kendimi;beni;alıyorum;binding
1 hata yaptığında kendini affetmeyi bilmelisin.;1 hata yaptığında seni affetmeyi bilmelisin.;kendini;seni;bilmelisin;binding
Arkadaşlar arkadaşlarımla eğlenirken kendimi daha enerjik hissediyorum.;Arkadaşlar arkadaşlarımla eğlenirken beni daha enerjik hissediyorum.;kendimi;beni;hissediyorum;binding
Bugün artık işe gitmeden önce kendime beslenme çantası hazırlıyorum.;Bugün artık işe gitmeden önce bana beslenme çantası hazırlıyorum.;kendime;bana;hazırlıyorum;binding
Bu i̇şlerin yoğunluğu arasında kendimi birkaç dakikalığına huzurlu bir ortamda buldum.;Bu i̇şlerin yoğunluğu arasında beni birkaç dakikalığına huzurlu bir ortamda buldum.;kendimi;beni;buldum;binding
Ben i̇lk defa tek başıma seyahate çıktığımda kendimi biraz kaybolmuş hissettim.;Ben i̇lk defa tek başıma seyahate çıktığımda beni biraz kaybolmuş hissettim.;kendimi;beni;hissettim;binding
